measured_on,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Generation,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Quantity Consumed For Electricity,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Total Fuel Consumed
2022-07-01,22459.757,76633.0,76633.0
2022-08-01,22234.067,75863.0,75863.0
2022-09-01,21478.549,73285.0,73285.0
2022-10-01,21905.925,74743.0,74743.0
2022-11-01,21474.329,73270.0,73270.0
2022-12-01,22920.373,78204.0,78204.0
2023-01-01,28053.0,95717.0,95717.0
2023-02-01,24638.0,84065.0,84065.0
2023-03-01,27092.0,92438.0,92438.0
2023-04-01,23325.0,79585.0,79585.0
2023-05-01,17174.0,58598.0,58598.0
2023-06-01,20258.0,69120.0,69120.0
2023-07-01,18099.0,61754.0,61754.0
2023-08-01,19591.0,66844.0,66844.0
2023-09-01,20969.0,71546.0,71546.0
2023-10-01,22145.0,75559.0,75559.0
2023-11-01,24879.0,84887.0,84887.0
2023-12-01,26088.0,89012.0,89012.0
2024-01-01,26516.0,90473.0,90473.0
2024-02-01,23139.0,78950.0,78950.0
2024-03-01,25069.0,85535.0,85535.0
2024-04-01,22979.0,78404.0,78404.0
2024-05-01,21826.0,74470.0,74470.0
2024-06-01,19234.0,65626.0,65626.0
2024-07-01,20122.0,68656.0,68656.0
2024-08-01,20915.0,71362.0,71362.0
2024-09-01,21638.0,73829.0,73829.0
2024-10-01,24036.0,82011.0,82011.0
2024-11-01,25770.0,87927.0,87927.0
2024-12-01,25692.0,87661.0,87661.0
