measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,-404.0,0.0,0.0
2003-02-01,-358.0,0.0,0.0
2003-03-01,-376.0,0.0,0.0
2003-04-01,1853.0,20008.0,20008.0
2003-05-01,28754.0,363506.0,363506.0
2003-06-01,10504.0,150283.0,150283.0
2003-07-01,4987.0,76996.0,76996.0
2003-08-01,9595.0,128762.0,128762.0
2003-09-01,6126.0,91912.0,91912.0
2003-10-01,-338.0,0.0,0.0
2003-11-01,-340.0,0.0,0.0
2003-12-01,-342.0,0.0,0.0
2004-01-01,-312.0,0.0,0.0
2004-02-01,-252.0,0.0,0.0
2004-03-01,-306.0,0.0,0.0
2004-04-01,-338.0,0.0,0.0
2004-05-01,-387.0,0.0,0.0
2004-06-01,-418.0,1125.0,1125.0
2004-07-01,7444.0,102565.0,102565.0
2004-08-01,9047.0,121694.0,121694.0
2004-09-01,7264.0,96599.0,96599.0
2004-10-01,5514.0,78337.0,78337.0
2004-11-01,3263.0,50207.0,50207.0
2004-12-01,2267.0,37196.0,37196.0
2005-01-01,-376.0,0.0,0.0
2005-02-01,-324.0,0.0,0.0
2005-03-01,-332.0,0.0,0.0
2005-04-01,-278.0,0.0,0.0
2005-05-01,-238.0,0.0,0.0
2005-06-01,-184.0,0.0,0.0
2005-07-01,-170.0,0.0,0.0
2005-08-01,-190.0,0.0,0.0
2005-09-01,-128.0,0.0,0.0
2005-10-01,-133.0,0.0,0.0
2005-11-01,-133.0,0.0,0.0
2005-12-01,-130.0,0.0,0.0
