measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2013-04-01,1688.824,15992.0,15992.0
2013-05-01,1791.856,16968.0,16968.0
2013-06-01,1858.392,17598.0,17598.0
2013-07-01,2437.957,23087.0,23087.0
2013-08-01,2332.716,22090.0,22090.0
2013-09-01,1998.99,18930.0,18930.0
2013-10-01,1916.967,18153.0,18153.0
2013-11-01,1899.221,17985.0,17985.0
2013-12-01,2019.077,19120.0,19120.0
2014-01-01,1667.967,14348.0,14348.0
2014-02-01,1508.079,12973.0,12973.0
2014-03-01,1711.224,14720.0,14720.0
2014-04-01,1366.946,11759.0,11759.0
2014-05-01,1802.33,15504.0,15504.0
2014-06-01,2182.28,18772.0,18772.0
2014-07-01,2466.098,21214.0,21214.0
2014-08-01,2436.86,20961.0,20961.0
2014-09-01,2284.857,19654.0,19654.0
2014-10-01,2328.571,20030.0,20030.0
2014-11-01,1644.076,14143.0,14143.0
2014-12-01,2104.052,18099.0,18099.0
2015-01-01,1859.735,15996.0,15996.0
2015-02-01,1494.5,12853.0,12853.0
2015-03-01,1915.81,16478.0,16478.0
2015-04-01,1728.176,14863.0,14863.0
2015-05-01,1723.668,14824.0,14824.0
2015-06-01,2078.537,17877.0,17877.0
2015-07-01,2568.718,22093.0,22093.0
2015-08-01,2546.648,21903.0,21903.0
2015-09-01,2174.456,18702.0,18702.0
2015-10-01,2113.375,18177.0,18177.0
2015-11-01,1952.249,16791.0,16791.0
2015-12-01,2041.308,17557.0,17557.0
2016-01-01,1724.673,14740.0,14740.0
2016-02-01,1605.184,13718.0,13718.0
2016-03-01,1746.315,14924.0,14924.0
2016-04-01,1530.591,13081.0,13081.0
2016-05-01,1651.618,14115.0,14115.0
2016-06-01,2123.799,18150.0,18150.0
2016-07-01,2602.641,22243.0,22243.0
2016-08-01,2636.27,22529.0,22529.0
2016-09-01,2233.476,19087.0,19087.0
2016-10-01,1794.08,15333.0,15333.0
2016-11-01,1901.247,16248.0,16248.0
2016-12-01,1895.106,16196.0,16196.0
2017-01-01,1767.203,15737.0,15737.0
2017-02-01,1654.688,14737.0,14737.0
2017-03-01,1636.075,14571.0,14571.0
2017-04-01,1349.846,12021.0,12021.0
2017-05-01,1427.569,12714.0,12714.0
2017-06-01,1804.863,16074.0,16074.0
2017-07-01,2318.782,20650.0,20650.0
2017-08-01,2247.869,20019.0,20019.0
2017-09-01,2087.974,18595.0,18595.0
2017-10-01,2064.982,18390.0,18390.0
2017-11-01,1656.895,14756.0,14756.0
2017-12-01,1773.254,15792.0,15792.0
2018-01-01,1257.149,12291.0,12291.0
2018-02-01,1319.518,12902.0,12902.0
2018-03-01,1470.365,14377.0,14377.0
2018-04-01,1280.492,12521.0,12521.0
2018-05-01,1245.382,12177.0,12177.0
2018-06-01,1571.965,15370.0,15370.0
2018-07-01,1864.771,18233.0,18233.0
2018-08-01,1836.351,17955.0,17955.0
2018-09-01,1594.966,15595.0,15595.0
2018-10-01,1472.317,14396.0,14396.0
2018-11-01,1185.134,11588.0,11588.0
2018-12-01,1210.59,11837.0,11837.0
2019-01-01,1593.684,14255.0,14255.0
2019-02-01,1524.216,13634.0,13634.0
2019-03-01,1577.807,14114.0,14114.0
2019-04-01,1084.336,9699.0,9699.0
2019-05-01,1465.774,13111.0,13111.0
2019-06-01,1722.591,15409.0,15409.0
2019-07-01,2180.381,19503.0,19503.0
2019-08-01,2132.074,19071.0,19071.0
2019-09-01,1829.931,16368.0,16368.0
2019-10-01,1738.735,15553.0,15553.0
2019-11-01,1515.733,13558.0,13558.0
2019-12-01,1702.738,15231.0,15231.0
2020-01-01,1904.563,25726.0,25726.0
2020-02-01,1741.077,23517.0,23517.0
2020-03-01,1721.895,23258.0,23258.0
2020-04-01,1351.64,18257.0,18257.0
2020-05-01,1417.986,19153.0,19153.0
2020-06-01,1890.397,25534.0,25534.0
2020-07-01,2393.854,32335.0,32335.0
2020-08-01,2364.311,31935.0,31935.0
2020-09-01,2116.731,28592.0,28592.0
2020-10-01,1829.413,24711.0,24711.0
2020-11-01,1389.134,18763.0,18763.0
2020-12-01,1964.999,26542.0,26542.0
2021-01-01,2063.927,26999.0,26999.0
2021-02-01,1846.272,24152.0,24152.0
2021-03-01,1834.711,24001.0,24001.0
2021-04-01,1553.798,20326.0,20326.0
2021-05-01,1790.719,23425.0,23425.0
2021-06-01,2061.019,26961.0,26961.0
2021-07-01,2256.451,29518.0,29518.0
2021-08-01,2252.381,29465.0,29465.0
2021-09-01,2018.047,26399.0,26399.0
2021-10-01,1760.131,23025.0,23025.0
2021-11-01,1825.384,23879.0,23879.0
2021-12-01,2104.16,27525.0,27525.0
2022-01-01,1315.916,11490.0,11490.0
