measured_on,Gaseous Propane Generation,Gaseous Propane Quantity Consumed For Electricity,Gaseous Propane Total Fuel Consumed,Lignite Coal Generation,Lignite Coal Quantity Consumed For Electricity,Lignite Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2011-01-01,,,,844.977,9907.0,30590.0,,,,,,
2011-02-01,,,,730.815,8569.0,26460.0,,,,,,
2011-03-01,,,,768.479,9010.0,27825.0,,,,,,
2011-04-01,,,,388.561,4556.0,14070.0,,,,,,
2011-05-01,,,,371.55,4356.0,13454.0,,,,,,
2011-06-01,,,,280.639,3291.0,10164.0,,,,,,
2011-07-01,,,,655.243,7683.0,23730.0,,,,,,
2011-08-01,,,,853.774,10011.0,30919.0,,,,,,
2011-09-01,,,,878.193,10297.0,31801.0,,,,,,
2011-10-01,,,,970.546,11380.0,35147.0,,,,,,
2011-11-01,,,,905.675,10619.0,32795.0,,,,,,
2011-12-01,,,,932.168,10930.0,33754.0,,,,,,
2012-01-01,,,,969.48,11367.0,78885.0,,,,,,
2012-02-01,,,,937.903,10997.0,76323.0,,,,,,
2012-03-01,,,,640.439,7509.0,52115.0,,,,,,
2012-04-01,,,,351.649,4123.0,28619.0,,,,,,
2012-05-01,,,,205.422,2409.0,16714.0,,,,,,
2012-06-01,,,,287.377,3370.0,23386.0,,,,,,
2012-07-01,,,,507.232,5947.0,41278.0,,,,,,
2012-08-01,,,,895.492,10500.0,72870.0,,,,,,
2012-09-01,,,,932.835,10938.0,75912.0,,,,,,
2012-10-01,,,,1004.2,11774.0,81721.0,,,,,,
2012-11-01,,,,996.745,11687.0,81104.0,,,,,,
2012-12-01,,,,923.626,10830.0,75158.0,,,,,,
2013-01-01,0.0,0.0,0.0,1114.298,12673.0,90014.0,,,,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,999.763,11371.0,80769.0,,,,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,1097.506,12482.0,88662.0,,,,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,934.808,10632.0,75526.0,,,,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,646.418,7352.0,52217.0,,,,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,591.598,6728.0,47793.0,,,,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,725.992,8257.0,58648.0,,,,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,762.593,8673.0,61611.0,,,,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,756.179,8600.0,61092.0,,,,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,746.279,8488.0,60287.0,,,,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,711.467,8092.0,57474.0,,,,0.0,0.0,0.0
