measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,0.0,0.0,0.0,429.0,8353.0,8353.0,0.0,0.0,0.0
2001-02-01,0.0,0.0,0.0,-102.0,0.0,0.0,0.0,0.0,0.0
2001-03-01,0.0,0.0,0.0,-102.0,0.0,0.0,0.0,0.0,0.0
2001-04-01,0.0,0.0,0.0,2564.0,27569.0,27569.0,0.0,0.0,0.0
2001-05-01,0.0,0.0,0.0,-103.0,99.0,99.0,0.0,0.0,0.0
2001-06-01,0.0,0.0,0.0,2125.0,32634.0,32634.0,0.0,0.0,0.0
2001-07-01,0.0,0.0,0.0,-115.0,0.0,0.0,0.0,0.0,0.0
2001-08-01,0.0,0.0,0.0,-120.0,0.0,0.0,0.0,0.0,0.0
2001-09-01,0.0,0.0,0.0,-106.0,0.0,0.0,0.0,0.0,0.0
2001-10-01,0.0,0.0,0.0,-102.0,0.0,0.0,0.0,0.0,0.0
2001-11-01,0.0,0.0,0.0,-96.0,0.0,0.0,0.0,0.0,0.0
2001-12-01,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,0.0,0.0,0.0,-104.0,0.0,0.0,0.0,0.0,0.0
2002-02-01,0.0,0.0,0.0,2294.0,36639.0,36639.0,0.0,0.0,0.0
2002-03-01,0.0,0.0,0.0,3514.0,45959.0,45959.0,0.0,0.0,0.0
2002-04-01,0.0,0.0,0.0,628.0,16564.0,16564.0,0.0,0.0,0.0
2002-05-01,0.0,0.0,0.0,9384.0,130027.0,130027.0,0.0,0.0,0.0
2002-06-01,0.0,0.0,0.0,-109.0,0.0,0.0,0.0,0.0,0.0
2002-07-01,0.0,0.0,0.0,14594.0,211045.0,211045.0,0.0,0.0,0.0
2002-08-01,0.0,0.0,0.0,1149.0,12595.0,12595.0,0.0,0.0,0.0
2002-09-01,0.0,0.0,0.0,-108.0,0.0,0.0,0.0,0.0,0.0
2002-10-01,0.0,0.0,0.0,-112.0,0.0,0.0,0.0,0.0,0.0
2002-11-01,0.0,0.0,0.0,-104.0,0.0,0.0,0.0,0.0,0.0
2002-12-01,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0
2003-01-01,,,,4424.0,31279.0,31279.0,,,
2003-02-01,,,,-102.0,0.0,0.0,,,
2003-03-01,,,,-107.0,0.0,0.0,,,
2003-05-01,,,,-107.0,0.0,0.0,,,
2003-06-01,,,,-104.0,0.0,0.0,,,
2003-07-01,,,,-106.0,0.0,0.0,,,
2003-08-01,,,,-109.0,0.0,0.0,,,
2003-09-01,,,,-100.0,0.0,0.0,,,
2003-10-01,,,,-108.0,0.0,0.0,,,
2003-11-01,,,,-99.0,0.0,0.0,,,
2003-12-01,,,,-111.0,0.0,0.0,,,
2004-01-01,,,,-36.419000000000004,510.0,510.0,,,
2004-02-01,,,,-39.434000000000005,552.0,552.0,,,
2004-03-01,,,,-22.558,316.0,316.0,,,
2004-04-01,,,,-71.033,995.0,995.0,,,
2004-05-01,,,,-55.896,783.0,783.0,,,
2004-06-01,,,,-70.56,989.0,989.0,,,
2004-07-01,,,,-83.56700000000001,1171.0,1171.0,,,
2004-08-01,,,,-47.081,660.0,660.0,,,
2004-09-01,,,,-47.925,671.0,671.0,,,
2004-10-01,,,,-82.50800000000001,1156.0,1156.0,,,
2004-11-01,,,,-27.194000000000003,381.0,381.0,,,
2004-12-01,,,,-34.823,488.0,488.0,,,
2005-01-01,,,,508.586,7445.9,7445.9,,,
2005-02-01,,,,422.199,6181.16,6181.16,,,
2005-03-01,,,,522.859,7654.87,7654.87,,,
2005-04-01,,,,515.178,7542.41,7542.41,,,
2005-05-01,,,,607.311,8891.28,8891.28,,,
2005-06-01,,,,766.4440000000001,11221.04,11221.04,,,
2005-07-01,,,,960.5830000000001,14063.32,14063.32,,,
2005-08-01,,,,995.06,14568.07,14568.07,,,
2005-09-01,,,,757.178,11085.39,11085.39,,,
2005-10-01,,,,604.893,8855.88,8855.88,,,
2005-11-01,,,,516.0740000000001,7555.53,7555.53,,,
2005-12-01,,,,503.635,7373.42,7373.42,,,
2006-01-01,,,,54.094,1701.0,1701.0,,,
2006-02-01,,,,64.178,2018.0,2018.0,,,
2006-03-01,,,,73.2,2302.0,2302.0,,,
2006-04-01,,,,81.876,2575.0,2575.0,,,
2006-05-01,,,,94.833,2982.0,2982.0,,,
2006-06-01,,,,120.843,3800.0,3800.0,,,
2006-07-01,,,,151.92600000000002,4778.0,4778.0,,,
2006-08-01,,,,153.842,4838.0,4838.0,,,
2006-09-01,,,,104.675,3292.0,3292.0,,,
2006-10-01,,,,94.774,2980.0,2980.0,,,
2006-11-01,,,,70.384,2213.0,2213.0,,,
2006-12-01,,,,73.37400000000001,2307.0,2307.0,,,
2007-01-01,,,,-100.0,0.0,0.0,,,
2007-02-01,,,,-94.0,0.0,0.0,,,
2007-03-01,,,,-99.0,0.0,0.0,,,
2007-04-01,,,,-95.0,0.0,0.0,,,
2007-05-01,,,,-99.0,0.0,0.0,,,
2007-06-01,,,,-98.0,0.0,0.0,,,
2007-07-01,,,,-101.0,0.0,0.0,,,
2007-08-01,,,,21066.0,309502.0,309502.0,,,
2007-09-01,,,,-93.0,0.0,0.0,,,
2007-10-01,,,,-86.0,0.0,0.0,,,
2007-11-01,,,,-73.0,0.0,0.0,,,
2007-12-01,,,,-72.0,0.0,0.0,,,
2008-01-01,,,,-79.0,0.0,0.0,,,
2008-02-01,,,,-73.0,0.0,0.0,,,
2008-03-01,,,,-76.0,0.0,0.0,,,
2008-04-01,,,,-75.0,0.0,0.0,,,
2008-05-01,,,,-82.0,0.0,0.0,,,
2008-06-01,,,,-85.0,0.0,0.0,,,
2008-07-01,,,,-93.0,0.0,0.0,,,
2008-08-01,,,,3077.0,48762.0,48762.0,,,
2008-09-01,,,,1017.0,13516.0,13516.0,,,
2008-10-01,,,,-93.0,0.0,0.0,,,
2008-11-01,,,,-95.0,138.0,138.0,,,
2008-12-01,,,,-101.0,0.0,0.0,,,
2009-01-01,,,,-99.0,0.0,0.0,,,
2009-02-01,,,,-87.0,0.0,0.0,,,
2009-03-01,,,,-97.0,0.0,0.0,,,
2009-04-01,,,,-93.0,0.0,0.0,,,
2009-05-01,,,,-99.0,0.0,0.0,,,
2009-06-01,,,,-101.0,0.0,0.0,,,
2009-07-01,,,,-110.0,0.0,0.0,,,
2009-08-01,,,,-104.0,0.0,0.0,,,
2009-09-01,,,,-99.0,0.0,0.0,,,
2009-10-01,,,,-101.0,0.0,0.0,,,
2009-11-01,,,,-95.0,0.0,0.0,,,
2009-12-01,,,,-103.0,0.0,0.0,,,
