measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed
2022-01-01,0.0,0.0,0.0,135.712,1729.0,1729.0
2022-02-01,0.0,0.0,0.0,56.331,720.0,720.0
2022-03-01,0.0,0.0,0.0,170.653,2177.0,2177.0
2022-04-01,0.0,0.0,0.0,59.716,760.0,760.0
2022-05-01,0.0,0.0,0.0,66.568,851.0,851.0
2022-06-01,0.0,0.0,0.0,78.118,998.0,998.0
2022-07-01,0.0,0.0,0.0,92.734,1185.0,1185.0
2022-08-01,0.0,0.0,0.0,79.764,1021.0,1021.0
2022-09-01,0.0,0.0,0.0,60.421,771.0,771.0
2022-10-01,0.0,0.0,0.0,54.314,692.0,692.0
2022-11-01,0.0,0.0,0.0,70.92,907.0,907.0
2022-12-01,0.0,0.0,0.0,269.749,3442.0,3442.0
