measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,,,,415.202,7109.0,7109.0
2001-02-01,,,,359.63300000000004,6158.0,6158.0
2001-03-01,,,,390.772,6691.0,6691.0
2001-04-01,,,,331.97,5684.0,5684.0
2001-05-01,,,,373.882,6402.0,6402.0
2001-06-01,,,,395.629,6774.0,6774.0
2001-07-01,,,,410.835,7034.0,7034.0
2001-08-01,,,,422.31100000000004,7231.0,7231.0
2001-09-01,,,,294.024,5034.0,5034.0
2001-10-01,,,,332.839,5699.0,5699.0
2001-11-01,,,,320.868,5494.0,5494.0
2001-12-01,,,,359.033,6147.0,6147.0
2002-01-01,0.0,0.0,0.0,,,
2002-02-01,0.0,0.0,0.0,,,
2002-03-01,0.0,0.0,0.0,,,
2002-04-01,345.0,5232.0,5232.0,,,
2002-05-01,31.0,684.0,684.0,,,
2002-06-01,0.0,0.0,0.0,,,
2002-07-01,0.0,0.0,0.0,,,
2002-08-01,0.0,0.0,0.0,,,
2002-09-01,1493.0,21153.0,21153.0,,,
2002-10-01,34.0,644.0,644.0,,,
2002-11-01,5215.0,73527.0,73527.0,,,
2002-12-01,2319.0,32004.0,32004.0,,,
2003-01-01,1460.0,21733.0,21733.0,,,
2003-02-01,2247.0,34365.0,34365.0,,,
2003-03-01,795.0,11728.0,11728.0,,,
2003-04-01,0.0,0.0,0.0,,,
2003-05-01,3801.0,59717.0,59717.0,,,
2003-06-01,1899.0,29191.0,29191.0,,,
2003-07-01,1899.0,29191.0,29191.0,,,
2003-08-01,783.0,12139.0,12139.0,,,
2003-09-01,373.0,5794.0,5794.0,,,
2003-10-01,1260.0,19505.0,19505.0,,,
2003-11-01,1227.0,17992.0,17992.0,,,
2003-12-01,2974.0,42166.0,42166.0,,,
2004-01-01,77.884,1158.0,1158.0,,,
2004-02-01,5249.351000000001,78021.0,78021.0,,,
