measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,18.772000000000002,214.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,16.184,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,15.826,181.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,14.526000000000002,166.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,18.258,208.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,19.149,218.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,21.2,242.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,22.022000000000002,251.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,18.401,210.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,16.41,187.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,16.258,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,17.994,205.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,30.917,357.0,357.0,0.0,0.0,0.0,,,
2004-02-01,30.917,357.0,357.0,0.0,0.0,0.0,,,
2004-03-01,30.917,357.0,357.0,0.0,0.0,0.0,,,
2004-04-01,30.917,357.0,357.0,0.0,0.0,0.0,,,
2004-05-01,30.917,357.0,357.0,0.0,0.0,0.0,,,
2004-06-01,30.917,357.0,357.0,0.0,0.0,0.0,,,
2004-07-01,30.917,357.0,357.0,0.0,0.0,0.0,,,
2004-08-01,30.917,357.0,357.0,0.0,0.0,0.0,,,
2004-09-01,30.917,357.0,357.0,0.0,0.0,0.0,,,
2004-10-01,30.917,357.0,357.0,0.0,0.0,0.0,,,
2004-11-01,30.917,357.0,357.0,0.0,0.0,0.0,,,
2004-12-01,30.917,357.0,357.0,0.0,0.0,0.0,,,
2005-01-01,71.255,847.72,847.72,,,,,,
2005-02-01,17.386,206.85,206.85,,,,,,
2005-03-01,24.843,295.56,295.56,,,,,,
2005-04-01,20.406000000000002,242.77,242.77,,,,,,
2005-05-01,21.102,251.05,251.05,,,,,,
2005-06-01,18.457,219.58,219.58,,,,,,
2005-07-01,53.846000000000004,640.62,640.62,,,,,,
2005-08-01,65.175,775.4,775.4,,,,,,
2005-09-01,53.81,640.18,640.18,,,,,,
2005-10-01,22.689,269.94,269.94,,,,,,
2005-11-01,22.739,270.53,270.53,,,,,,
2005-12-01,51.29,610.2,610.2,,,,,,
2006-01-01,47.389,567.0,567.0,,,,,,
2006-02-01,46.895,561.0,561.0,,,,,,
2006-03-01,41.117000000000004,492.0,492.0,,,,,,
2006-04-01,54.24,649.0,649.0,,,,,,
2006-05-01,49.02,587.0,587.0,,,,,,
2006-06-01,58.626000000000005,702.0,702.0,,,,,,
2006-07-01,56.871,681.0,681.0,,,,,,
2006-08-01,61.205,733.0,733.0,,,,,,
2006-09-01,43.481,521.0,521.0,,,,,,
2006-10-01,55.964000000000006,670.0,670.0,,,,,,
2006-11-01,48.848,585.0,585.0,,,,,,
2006-12-01,54.344,651.0,651.0,,,,,,
2007-01-01,74.525,781.0,781.0,0.0,0.0,0.0,,,
2007-02-01,89.833,939.0,939.0,0.0,0.0,0.0,,,
2007-03-01,71.872,750.0,750.0,0.0,0.0,0.0,,,
2007-04-01,69.895,732.0,732.0,0.0,0.0,0.0,,,
2007-05-01,114.093,1196.0,1196.0,0.0,0.0,0.0,,,
2007-06-01,67.218,702.0,702.0,0.0,0.0,0.0,,,
2007-07-01,47.246,494.0,494.0,0.0,0.0,0.0,,,
2007-08-01,59.437000000000005,622.0,622.0,0.0,0.0,0.0,,,
2007-09-01,37.608000000000004,390.0,390.0,0.0,0.0,0.0,,,
2007-10-01,45.76,476.0,476.0,0.0,0.0,0.0,,,
2007-11-01,40.046,421.0,421.0,0.0,0.0,0.0,,,
2007-12-01,75.468,787.0,787.0,0.0,0.0,0.0,,,
2008-01-01,114.893,1360.0,1360.0,0.0,0.0,0.0,,,
2008-02-01,40.063,470.0,470.0,0.0,0.0,0.0,,,
2008-03-01,40.977000000000004,482.0,482.0,0.0,0.0,0.0,,,
2008-04-01,59.196000000000005,695.0,695.0,0.0,0.0,0.0,,,
2008-05-01,45.398,537.0,537.0,0.0,0.0,0.0,,,
2008-06-01,56.408,665.0,665.0,0.0,0.0,0.0,,,
2008-07-01,48.172000000000004,567.0,567.0,0.0,0.0,0.0,,,
2008-08-01,53.753,634.0,634.0,0.0,0.0,0.0,,,
2008-09-01,54.097,634.0,634.0,0.0,0.0,0.0,,,
2008-10-01,51.297000000000004,604.0,604.0,0.0,0.0,0.0,,,
2008-11-01,63.32,744.0,744.0,0.0,0.0,0.0,,,
2008-12-01,50.426,592.0,592.0,0.0,0.0,0.0,,,
2009-01-01,94.397,1129.0,1129.0,0.0,0.0,0.0,,,
2009-02-01,77.97800000000001,933.0,933.0,0.0,0.0,0.0,,,
2009-03-01,71.757,860.0,860.0,0.0,0.0,0.0,,,
2009-04-01,48.86,586.0,586.0,0.0,0.0,0.0,,,
2009-05-01,47.149,561.0,561.0,0.0,0.0,0.0,,,
2009-06-01,47.291000000000004,567.0,567.0,0.0,0.0,0.0,,,
2009-07-01,57.507000000000005,689.0,689.0,0.0,0.0,0.0,,,
2009-08-01,47.516000000000005,567.0,567.0,0.0,0.0,0.0,,,
2009-09-01,43.466,519.0,519.0,0.0,0.0,0.0,,,
2009-10-01,57.293,683.0,683.0,0.0,0.0,0.0,,,
2009-11-01,55.807,665.0,665.0,0.0,0.0,0.0,,,
2009-12-01,82.979,994.0,994.0,0.0,0.0,0.0,,,
2010-01-01,211.001,2050.0,2050.0,0.0,0.0,0.0,,,
2010-02-01,79.26700000000001,775.0,775.0,0.0,0.0,0.0,,,
2010-03-01,84.339,824.0,824.0,0.0,0.0,0.0,,,
2010-04-01,93.22200000000001,909.0,909.0,0.0,0.0,0.0,,,
2010-05-01,79.03200000000001,769.0,769.0,0.0,0.0,0.0,,,
2010-06-01,60.522000000000006,592.0,592.0,0.0,0.0,0.0,,,
2010-07-01,78.678,769.0,769.0,0.0,0.0,0.0,,,
2010-08-01,72.452,708.0,708.0,0.0,0.0,0.0,,,
2010-09-01,54.132000000000005,531.0,531.0,0.0,0.0,0.0,,,
2010-10-01,75.409,738.0,738.0,0.0,0.0,0.0,,,
2010-11-01,86.79,848.0,848.0,0.0,0.0,0.0,,,
2010-12-01,144.156,1409.0,1409.0,0.0,0.0,0.0,,,
2011-01-01,80.806,1031.0,1031.0,0.0,0.0,0.0,,,
2011-02-01,77.474,988.0,988.0,0.0,0.0,0.0,,,
2011-03-01,58.373,744.0,744.0,0.0,0.0,0.0,,,
2011-04-01,62.467,793.0,793.0,0.0,0.0,0.0,,,
2011-05-01,85.412,1086.0,1086.0,0.0,0.0,0.0,,,
2011-06-01,62.958,799.0,799.0,0.0,0.0,0.0,,,
2011-07-01,50.29,641.0,641.0,0.0,0.0,0.0,,,
2011-08-01,48.608,616.0,616.0,0.0,0.0,0.0,,,
2011-09-01,54.708,695.0,695.0,0.0,0.0,0.0,,,
2011-10-01,41.683,531.0,531.0,0.0,0.0,0.0,,,
2011-11-01,37.096,470.0,470.0,0.0,0.0,0.0,,,
