measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,-25.0,0.0,0.0
2003-02-01,,,,-24.0,0.0,0.0
2003-03-01,-57.0,0.0,0.0,-20.0,0.0,0.0
2003-04-01,119.0,2564.0,2564.0,-20.0,0.0,0.0
2003-05-01,-11.0,0.0,0.0,-156.0,0.0,0.0
2003-06-01,-14.0,0.0,0.0,-14.0,0.0,0.0
2003-07-01,52.0,1090.0,1090.0,-13.0,0.0,0.0
2003-08-01,1218.0,22220.0,22220.0,38.0,568.0,568.0
2003-09-01,-25.0,0.0,0.0,-5.0,0.0,0.0
2003-10-01,,,,-26.0,0.0,0.0
2003-11-01,-2.0,0.0,0.0,-18.0,0.0,0.0
2003-12-01,-81.0,0.0,0.0,-25.0,0.0,0.0
2004-01-01,608.1890000000001,15693.0,15693.0,-3.3,3.0,3.0
2004-02-01,0.0,0.0,0.0,-1.655,2.0,2.0
2004-03-01,57.047000000000004,1472.0,1472.0,-18.445,19.0,19.0
2004-04-01,48.938,1263.0,1263.0,-26.187,26.0,26.0
2004-05-01,339.54900000000004,8761.0,8761.0,-45.85,46.0,46.0
2004-06-01,214.139,5525.0,5525.0,-14.695,15.0,15.0
2004-07-01,84.298,2175.0,2175.0,-16.001,16.0,16.0
2004-08-01,66.382,1713.0,1713.0,-46.078,46.0,46.0
2004-09-01,128.898,3326.0,3326.0,-12.038,12.0,12.0
2004-10-01,192.075,4956.0,4956.0,-17.678,18.0,18.0
2004-11-01,65.251,1684.0,1684.0,-3.198,3.0,3.0
2004-12-01,100.233,2586.0,2586.0,-1.874,2.0,2.0
2005-01-01,1163.64,29243.8,29243.8,-19.91,519.64,519.64
2005-02-01,399.79,10047.23,10047.23,-6.84,178.53,178.53
2005-03-01,443.117,11136.1,11136.1,-7.582000000000001,197.88,197.88
2005-04-01,536.741,13488.99,13488.99,-9.184000000000001,239.69,239.69
2005-05-01,498.495,12527.84,12527.84,-8.529,222.61,222.61
2005-06-01,646.999,16259.92,16259.92,-11.07,288.93,288.93
2005-07-01,658.565,16550.59,16550.59,-11.268,294.1,294.1
2005-08-01,773.655,19442.94,19442.94,-13.237,345.49,345.49
2005-09-01,506.442,12727.54,12727.54,-8.665,226.16,226.16
2005-10-01,562.4110000000001,14134.12,14134.12,-9.623000000000001,251.15,251.15
2005-11-01,452.13,11362.6,11362.6,-7.736000000000001,201.9,201.9
2005-12-01,956.0160000000001,24025.94,24025.94,-16.357,426.92,426.92
2006-01-01,524.275,14163.0,14163.0,-21.037000000000003,52.0,52.0
2006-02-01,274.337,7411.0,7411.0,-11.008000000000001,27.0,27.0
2006-03-01,230.446,6225.0,6225.0,-9.247,23.0,23.0
2006-04-01,441.428,11925.0,11925.0,-17.713,44.0,44.0
2006-05-01,412.624,11147.0,11147.0,-16.557000000000002,41.0,41.0
2006-06-01,375.047,10132.0,10132.0,-15.049000000000001,37.0,37.0
2006-07-01,543.264,14676.0,14676.0,-21.799,54.0,54.0
2006-08-01,526.9630000000001,14236.0,14236.0,-21.145,52.0,52.0
2006-09-01,242.095,6540.0,6540.0,-9.714,24.0,24.0
2006-10-01,255.73100000000002,6908.0,6908.0,-10.261000000000001,25.0,25.0
2006-11-01,301.13100000000003,8135.0,8135.0,-12.083,30.0,30.0
2006-12-01,333.65700000000004,9014.0,9014.0,-13.388,33.0,33.0
2007-01-01,1503.767,37475.0,37475.0,-8.549000000000001,111.0,111.0
2007-02-01,3340.243,83238.0,83238.0,-18.99,244.0,244.0
2007-03-01,904.915,22547.0,22547.0,-5.145,64.0,64.0
2007-04-01,877.066,21854.0,21854.0,-4.986000000000001,64.0,64.0
2007-05-01,985.2330000000001,24549.0,24549.0,-5.601,70.0,70.0
