measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2004-01-01,0.382,0.0,0.0,,,
2004-02-01,0.274,0.0,0.0,,,
2004-03-01,0.245,0.0,0.0,,,
2004-04-01,0.261,0.0,0.0,,,
2004-05-01,0.21100000000000002,0.0,0.0,,,
2004-06-01,0.222,0.0,0.0,,,
2004-07-01,0.24,0.0,0.0,,,
2004-08-01,0.186,0.0,0.0,,,
2004-09-01,0.22,0.0,0.0,,,
2004-10-01,0.227,0.0,0.0,,,
2004-11-01,0.20700000000000002,0.0,0.0,,,
2004-12-01,0.235,0.0,0.0,,,
2005-01-01,0.0,0.0,0.0,159.63400000000001,0.0,0.0
2005-02-01,0.0,0.0,0.0,160.08100000000002,0.0,0.0
2005-03-01,0.0,0.0,0.0,195.077,0.0,0.0
2005-04-01,0.0,0.0,0.0,177.31400000000002,0.0,0.0
2005-05-01,0.0,0.0,0.0,187.547,0.0,0.0
2005-06-01,0.0,0.0,0.0,179.642,0.0,0.0
2005-07-01,0.0,0.0,0.0,212.55100000000002,0.0,0.0
2005-08-01,0.0,0.0,0.0,205.329,0.0,0.0
2005-09-01,0.0,0.0,0.0,177.841,0.0,0.0
2005-10-01,0.0,0.0,0.0,148.495,0.0,0.0
2005-11-01,0.0,0.0,0.0,174.01600000000002,0.0,0.0
2005-12-01,0.0,0.0,0.0,165.472,0.0,0.0
2006-01-01,,,,161.334,0.0,0.0
2006-02-01,,,,145.155,0.0,0.0
2006-03-01,,,,170.07,0.0,0.0
2006-04-01,,,,140.208,0.0,0.0
2006-05-01,,,,113.16300000000001,0.0,0.0
2006-06-01,,,,154.032,0.0,0.0
2006-07-01,,,,155.207,0.0,0.0
2006-08-01,,,,172.511,0.0,0.0
2006-09-01,,,,142.804,0.0,0.0
2006-10-01,,,,144.114,0.0,0.0
2006-11-01,,,,95.592,0.0,0.0
2006-12-01,,,,152.809,0.0,0.0
2007-01-01,4.875,1019.0,1019.0,,,
2007-02-01,9.597000000000001,2006.0,2006.0,,,
2007-03-01,5.246,1097.0,1097.0,,,
2007-04-01,8.749,1829.0,1829.0,,,
2007-05-01,6.61,1381.0,1381.0,,,
2007-06-01,10.583,2212.0,2212.0,,,
2007-07-01,11.658000000000001,2437.0,2437.0,,,
2007-08-01,18.856,3942.0,3942.0,,,
2007-09-01,10.087,2109.0,2109.0,,,
2007-10-01,8.805,1841.0,1841.0,,,
2007-11-01,5.764,1205.0,1205.0,,,
2007-12-01,6.838,1429.0,1429.0,,,
2008-01-01,149.369,846.0,846.0,,,
2008-02-01,101.473,574.0,574.0,,,
2008-03-01,83.677,474.0,474.0,,,
2008-04-01,61.443000000000005,348.0,348.0,,,
2008-05-01,52.575,298.0,298.0,,,
2008-06-01,183.918,1041.0,1041.0,,,
2008-07-01,215.667,1221.0,1221.0,,,
2008-08-01,214.96800000000002,1217.0,1217.0,,,
2008-09-01,133.721,757.0,757.0,,,
2008-10-01,136.46800000000002,772.0,772.0,,,
2008-11-01,150.752,854.0,854.0,,,
2008-12-01,100.96900000000001,571.0,571.0,,,
2009-01-01,0.0,0.0,0.0,,,
2009-02-01,0.0,0.0,0.0,,,
2009-03-01,0.0,0.0,0.0,,,
2009-04-01,0.0,0.0,0.0,,,
2009-05-01,0.0,0.0,0.0,,,
2009-06-01,0.0,0.0,0.0,,,
2009-07-01,0.0,0.0,0.0,,,
2009-08-01,0.0,0.0,0.0,,,
2009-09-01,0.0,0.0,0.0,,,
2009-10-01,0.0,0.0,0.0,,,
2009-11-01,0.0,0.0,0.0,,,
2009-12-01,0.0,0.0,0.0,,,
