measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2013-10-01,12.238,204.0,204.0
2013-11-01,11.59,192.0,192.0
2013-12-01,14.172,239.0,239.0
2014-01-01,61.124,1103.0,1103.0
2014-02-01,63.962,1150.0,1150.0
2014-03-01,63.96,1144.0,1144.0
2014-04-01,94.139,1687.0,1687.0
2014-05-01,79.673,1427.0,1427.0
2014-06-01,35.05,630.0,630.0
2014-07-01,49.69,890.0,890.0
2014-08-01,78.733,1410.0,1410.0
2014-09-01,33.808,607.0,607.0
2014-10-01,52.307,936.0,936.0
2014-11-01,35.552,635.0,635.0
2014-12-01,58.002,1040.0,1040.0
2015-01-01,33.772,595.0,595.0
2015-02-01,38.809,692.0,692.0
2015-03-01,31.294,561.0,561.0
2015-04-01,63.676,1138.0,1138.0
2015-05-01,36.425,652.0,652.0
2015-06-01,35.227,629.0,629.0
2015-07-01,38.379,686.0,686.0
2015-08-01,27.337,486.0,486.0
2015-09-01,14.821,263.0,263.0
2015-10-01,18.219,326.0,326.0
2015-11-01,30.394,543.0,543.0
2015-12-01,30.647,549.0,549.0
2016-01-01,44.571,875.0,875.0
2016-02-01,34.035,675.0,675.0
2016-03-01,36.137,715.0,715.0
2016-04-01,37.084,732.0,732.0
2016-05-01,36.685,726.0,726.0
2016-06-01,15.097,297.0,297.0
2016-07-01,19.578,389.0,389.0
2016-08-01,19.97,395.0,395.0
2016-09-01,28.527,566.0,566.0
2016-10-01,11.489,229.0,229.0
2016-11-01,15.211,303.0,303.0
2016-12-01,38.616,766.0,766.0
2017-01-01,22.987,486.0,486.0
2017-02-01,19.726,412.0,412.0
2017-03-01,14.303,298.0,298.0
2017-04-01,17.376,366.0,366.0
2017-05-01,19.861,418.0,418.0
2017-06-01,17.059,355.0,355.0
2017-07-01,13.822,292.0,292.0
2017-08-01,11.534,240.0,240.0
2017-09-01,11.701,246.0,246.0
2017-10-01,13.944,292.0,292.0
2017-11-01,14.566,303.0,303.0
2017-12-01,19.121,401.0,401.0
2018-01-01,15.166,269.0,269.0
2018-02-01,13.827,246.0,246.0
2018-03-01,12.668,229.0,229.0
2018-04-01,15.518,275.0,275.0
2018-05-01,12.753,229.0,229.0
2018-06-01,16.817,297.0,297.0
2018-07-01,11.107,200.0,200.0
2018-08-01,12.313,217.0,217.0
2018-09-01,10.857,194.0,194.0
2018-10-01,24.003,429.0,429.0
2018-11-01,14.635,263.0,263.0
2018-12-01,9.336,166.0,166.0
2019-01-01,19.683,378.0,378.0
2019-02-01,19.065,366.0,366.0
2019-03-01,17.243,326.0,326.0
2019-04-01,16.3,309.0,309.0
2019-05-01,24.055,458.0,458.0
2019-06-01,16.999,326.0,326.0
2019-07-01,18.644,355.0,355.0
2019-08-01,15.414,292.0,292.0
2019-09-01,18.644,355.0,355.0
2019-10-01,14.453,275.0,275.0
2019-11-01,17.637,338.0,338.0
2019-12-01,32.863,629.0,629.0
2020-01-01,22.429,389.0,389.0
2020-02-01,17.888,309.0,309.0
2020-03-01,16.503,286.0,286.0
2020-04-01,22.094,378.0,378.0
2020-05-01,15.075,257.0,257.0
2020-06-01,19.08,326.0,326.0
2020-07-01,17.977,309.0,309.0
2020-08-01,19.947,343.0,343.0
2020-09-01,23.954,412.0,412.0
2020-10-01,20.364,349.0,349.0
2020-11-01,26.473,458.0,458.0
2020-12-01,24.216,418.0,418.0
2021-01-01,95.9,1465.0,1465.0
2021-02-01,110.244,1695.0,1695.0
2021-03-01,101.473,1557.0,1557.0
2021-04-01,128.28,1971.0,1971.0
2021-05-01,134.597,2068.0,2068.0
2021-06-01,80.277,1235.0,1235.0
2021-07-01,108.389,1666.0,1666.0
2021-08-01,76.386,1172.0,1172.0
2021-09-01,106.236,1632.0,1632.0
2021-10-01,102.271,1568.0,1568.0
2021-11-01,94.036,1442.0,1442.0
2021-12-01,105.911,1626.0,1626.0
2022-01-01,11.513,206.0,206.0
2022-02-01,15.072,269.0,269.0
2022-03-01,14.505,257.0,257.0
2022-04-01,12.968,229.0,229.0
2022-05-01,8.573,154.0,154.0
2022-06-01,16.127,286.0,286.0
2022-07-01,24.267,435.0,435.0
2022-08-01,9.665,172.0,172.0
2022-09-01,11.806,212.0,212.0
2022-10-01,12.057,217.0,217.0
2022-11-01,16.509,292.0,292.0
2022-12-01,16.938,303.0,303.0
2023-01-01,59.723,60674.0,60674.0
2023-02-01,61.406,62391.0,62391.0
2023-03-01,62.349,63348.0,63348.0
2023-04-01,79.562,80835.0,80835.0
2023-05-01,103.242,104893.0,104893.0
2023-06-01,93.584,95079.0,95079.0
2023-07-01,66.123,67181.0,67181.0
2023-08-01,62.679,63684.0,63684.0
2023-09-01,72.149,73306.0,73306.0
2023-10-01,68.878,69983.0,69983.0
2023-11-01,56.53,57432.0,57432.0
2023-12-01,71.775,72923.0,72923.0
2024-01-01,36.423,721.0,721.0
2024-02-01,19.505,383.0,383.0
2024-03-01,21.11,412.0,412.0
2024-04-01,32.235,629.0,629.0
2024-05-01,27.844,544.0,544.0
2024-06-01,42.357,830.0,830.0
2024-07-01,40.722,795.0,795.0
2024-08-01,23.795,463.0,463.0
2024-09-01,36.501,715.0,715.0
2024-10-01,39.31,772.0,772.0
2024-11-01,29.795,584.0,584.0
2024-12-01,28.403,555.0,555.0
