measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,35.345,747.0,747.0,146.66400000000002,2573.0,2573.0,,,,0.0,0.0,0.0
2003-02-01,33.089,699.0,699.0,137.30100000000002,2409.0,2409.0,,,,0.0,0.0,0.0
2003-03-01,31.966,675.0,675.0,132.645,2327.0,2327.0,,,,0.0,0.0,0.0
2003-04-01,30.608,647.0,647.0,127.007,2228.0,2228.0,,,,0.0,0.0,0.0
2003-05-01,31.053,656.0,656.0,128.856,2261.0,2261.0,,,,0.0,0.0,0.0
2003-06-01,32.405,685.0,685.0,134.463,2359.0,2359.0,,,,0.0,0.0,0.0
2003-07-01,37.369,790.0,790.0,155.061,2720.0,2720.0,,,,0.0,0.0,0.0
2003-08-01,37.887,801.0,801.0,157.213,2758.0,2758.0,,,,0.0,0.0,0.0
2003-09-01,32.83,694.0,694.0,136.228,2390.0,2390.0,,,,0.0,0.0,0.0
2003-10-01,34.041000000000004,719.0,719.0,141.25400000000002,2478.0,2478.0,,,,0.0,0.0,0.0
2003-11-01,34.939,738.0,738.0,144.981,2543.0,2543.0,,,,0.0,0.0,0.0
2003-12-01,36.468,771.0,771.0,151.326,2655.0,2655.0,,,,0.0,0.0,0.0
2004-01-01,30.554000000000002,774.0,774.0,65.473,1218.0,1218.0,,,,0.0,0.0,0.0
2004-02-01,5.25,133.0,133.0,59.443000000000005,1106.0,1106.0,,,,0.0,0.0,0.0
2004-03-01,1.4240000000000002,36.0,36.0,61.429,1143.0,1143.0,,,,0.0,0.0,0.0
2004-04-01,1.072,27.0,27.0,58.516000000000005,1088.0,1088.0,,,,0.0,0.0,0.0
2004-05-01,2.79,71.0,71.0,64.831,1206.0,1206.0,,,,0.0,0.0,0.0
2004-06-01,6.902,175.0,175.0,60.033,1117.0,1117.0,,,,0.0,0.0,0.0
2004-07-01,18.252000000000002,463.0,463.0,47.779,889.0,889.0,,,,0.0,0.0,0.0
2004-08-01,2.178,55.0,55.0,43.602000000000004,811.0,811.0,,,,0.0,0.0,0.0
2004-09-01,10.356,263.0,263.0,51.828,964.0,964.0,,,,0.0,0.0,0.0
2004-10-01,3.19,81.0,81.0,48.478,902.0,902.0,,,,0.0,0.0,0.0
2004-11-01,1.108,28.0,28.0,43.131,802.0,802.0,,,,0.0,0.0,0.0
2004-12-01,3.9240000000000004,99.0,99.0,61.457,1143.0,1143.0,,,,0.0,0.0,0.0
2005-01-01,34.933,753.52,753.52,192.01,3622.23,3622.23,,,,0.0,0.0,0.0
2005-02-01,27.947000000000003,602.82,602.82,153.609,2897.81,2897.81,,,,0.0,0.0,0.0
2005-03-01,38.781,836.52,836.52,213.161,4021.25,4021.25,,,,0.0,0.0,0.0
2005-04-01,36.813,794.07,794.07,202.345,3817.19,3817.19,,,,0.0,0.0,0.0
2005-05-01,35.202,759.32,759.32,193.49,3650.14,3650.14,,,,0.0,0.0,0.0
2005-06-01,66.45100000000001,1433.39,1433.39,365.25300000000004,6890.43,6890.43,,,,0.0,0.0,0.0
