measured_on,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,1357.526,84918.0,84918.0
2001-02-01,1125.6580000000001,70413.0,70413.0
2001-03-01,1362.074,85202.0,85202.0
2001-04-01,1321.5220000000002,82665.0,82665.0
2001-05-01,1152.415,72087.0,72087.0
2001-06-01,1266.43,79219.0,79219.0
2001-07-01,1286.28,80461.0,80461.0
2001-08-01,2130.63,133278.0,133278.0
2001-09-01,2112.277,132130.0,132130.0
2001-10-01,2043.476,127826.0,127826.0
2001-11-01,1791.41,112058.0,112058.0
2001-12-01,2327.302,145580.0,145580.0
2002-01-01,363.24,7835.0,7835.0
2002-02-01,375.11600000000004,8091.0,8091.0
2002-03-01,352.392,7601.0,7601.0
2002-04-01,200.053,4315.0,4315.0
2002-05-01,183.023,3948.0,3948.0
2002-06-01,276.885,5972.0,5972.0
2002-07-01,158.234,3413.0,3413.0
2002-08-01,335.457,7235.0,7235.0
2002-09-01,357.581,7713.0,7713.0
2002-10-01,389.394,8399.0,8399.0
2002-11-01,337.608,7282.0,7282.0
2002-12-01,348.01800000000003,7506.0,7506.0
2003-01-01,731.488,16460.0,16460.0
2003-02-01,659.695,14845.0,14845.0
2003-03-01,740.647,16666.0,16666.0
2003-04-01,668.456,15042.0,15042.0
2003-05-01,602.3620000000001,13554.0,13554.0
2003-06-01,686.3620000000001,15445.0,15445.0
2003-07-01,656.172,14765.0,14765.0
2003-08-01,631.35,14207.0,14207.0
2003-09-01,626.717,14103.0,14103.0
2003-10-01,641.828,14443.0,14443.0
2003-11-01,671.101,15101.0,15101.0
2003-12-01,727.821,16378.0,16378.0
2004-01-01,1403.018,93142.0,93142.0
2004-02-01,1229.259,81607.0,81607.0
2004-03-01,1424.913,94596.0,94596.0
2004-04-01,1408.96,93537.0,93537.0
2004-05-01,1396.732,92725.0,92725.0
2004-06-01,1405.279,93292.0,93292.0
2004-07-01,1331.729,88409.0,88409.0
2004-08-01,1548.525,102802.0,102802.0
2004-09-01,1144.65,75990.0,75990.0
2004-10-01,1773.432,117733.0,117733.0
2004-11-01,1311.901,87093.0,87093.0
2004-12-01,1287.602,85480.0,85480.0
2005-01-01,1345.723,32119.61,32119.61
2005-02-01,1248.909,29808.86,29808.86
2005-03-01,1350.2720000000002,32228.19,32228.19
2005-04-01,1160.931,27709.0,27709.0
2005-05-01,1288.3680000000002,30750.68,30750.68
2005-06-01,1247.3210000000001,29770.97,29770.97
2005-07-01,1381.415,32971.5,32971.5
2005-08-01,1422.271,33946.65,33946.65
2005-09-01,1338.861,31955.83,31955.83
2005-10-01,1276.164,30459.38,30459.38
2005-11-01,1299.6960000000001,31021.04,31021.04
2005-12-01,1404.07,33512.24,33512.24
2006-01-01,1027.049,24155.0,24155.0
2006-02-01,932.394,21929.0,21929.0
2006-03-01,1009.8610000000001,23751.0,23751.0
2006-04-01,933.395,21952.0,21952.0
2006-05-01,931.16,21900.0,21900.0
2006-06-01,929.589,21863.0,21863.0
2006-07-01,998.8960000000001,23493.0,23493.0
2006-08-01,1057.7540000000001,24877.0,24877.0
2006-09-01,989.815,23279.0,23279.0
