measured_on,"Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,,,,2883.74512,14848.65,118990.03,2449.52588,12612.82,101073.13
2004-02-01,,,,1611.43485,8297.42,66493.92,1706.56815,8787.27,70419.48
2004-03-01,,,,317.74001,1636.07,13113.91,1692.18099,8713.18,69840.46
2004-04-01,,,,1460.57951,7520.65,60260.36,596.60849,3071.99,24614.78
2004-05-01,,,,175.30176,902.64,7235.07,847.59224,4364.33,34981.9
2004-06-01,,,,1183.59669,6094.44,48836.72,858.33931,4419.66,35416.18
2004-07-01,,,,3005.57496,15475.97,124003.52,1228.43904,6325.34,50682.74
2004-08-01,,,,581.5558599999999,2994.48,23998.94,977.35014,5032.46,40332.1
2004-09-01,,,,191.7372,987.27,7913.19,712.3178,3667.78,29398.08
2004-10-01,,,,2669.29252,13744.42,110120.1,511.85348,2635.58,21116.22
2004-11-01,,,,1609.09358,8285.37,66392.04,1032.70142,5317.47,42609.8
2004-12-01,,,,2621.83442,13500.05,108176.19,1487.58758,7659.72,61377.47
2005-01-01,,,,211.09644,1086.95,10034.12,2665.96756,13727.3,126722.36
2005-02-01,,,,187.14256999999998,963.61,8895.51,1088.43643,5604.45,51737.01
2005-03-01,,,,223.32177,1149.9,10615.23,1497.85523,7712.59,71198.06
2005-04-01,,,,228.95979,1178.93,10883.21,864.82221,4453.04,41107.84
2005-05-01,,,,185.74088,956.4,8828.89,355.17611999999997,1828.83,16882.72
2005-06-01,,,,316.00025,1627.11,15020.55,1991.24875,10253.11,94650.72
2005-07-01,,,,407.21085,2096.76,19356.09,2427.15215,12497.62,115370.64
2005-08-01,,,,435.36951,2241.76,20694.56,2856.50149,14708.37,135779.01
2005-09-01,,,,288.00101,1482.94,13689.64,2230.64599,11485.79,106029.98
2005-10-01,,,,199.16764,1025.53,9467.1,2043.59236,10522.63,97138.74
2005-11-01,,,,178.77531,920.53,8497.79,944.26969,4862.13,44884.31
2005-12-01,,,,193.15523,994.57,9181.31,2804.62977,14441.28,133313.37
2006-01-01,,,,859.48397,4425.56,41937.98,763.70203,3932.37,37264.36
2006-02-01,,,,856.97917,4412.66,41815.74,703.85883,3624.23,34344.33
2006-03-01,,,,934.91751,4813.97,45618.71,668.2104899999999,3440.67,32604.91
2006-04-01,,,,786.04505,4047.41,38354.57,512.79895,2640.45,25021.7
2006-05-01,,,,762.51742,3926.27,37206.59,465.98458,2399.4,22737.44
2006-06-01,,,,975.40707,5022.46,47594.41,452.56393,2330.29,22082.59
2006-07-01,,,,1460.73187,7521.44,71275.62,539.66613,2778.79,26332.72
2006-08-01,,,,1375.23984,7081.23,67104.08,461.29616,2375.25,22508.7
2006-09-01,,,,975.4582800000001,5022.72,47596.93,482.56572,2484.77,23546.52
2006-10-01,,,,1087.8756,5601.56,53082.29,457.28340000000003,2354.59,22312.89
2006-11-01,,,,935.71891,4818.1,45657.87,560.32809,2885.18,27340.89
2006-12-01,,,,914.33076,4707.97,44614.21,769.74524,3963.49,37559.25
2007-01-01,,,,1.927,10.0,32.0,2259.782,11635.0,37264.0
2007-02-01,,,,1.707,9.0,29.0,2937.554,15123.0,48443.0
2007-03-01,,,,2.41,12.0,40.0,1563.718,8051.0,25786.0
2007-04-01,,,,3.063,15.0,51.0,927.254,4774.0,15293.0
2007-05-01,,,,2.505,13.0,42.0,724.31,3726.0,11948.0
