measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed"
2006-01-01,,,,0.0,0.0,0.0
2006-02-01,,,,0.0,0.0,0.0
2006-03-01,,,,0.0,0.0,0.0
2006-04-01,,,,0.0,0.0,0.0
2006-05-01,,,,1798.5,15209.0,15209.0
2006-06-01,,,,1883.999,15932.0,15932.0
2006-07-01,,,,1955.279,16535.0,16535.0
2006-08-01,,,,1943.52,16436.0,16436.0
2006-09-01,,,,1859.0230000000001,15721.0,15721.0
2006-10-01,,,,1929.0590000000002,16314.0,16314.0
2006-11-01,,,,1948.325,16476.0,16476.0
2006-12-01,,,,1877.294,15876.0,15876.0
2007-01-01,1800.958,15344.0,15344.0,,,
2007-02-01,1634.807,13928.0,13928.0,,,
2007-03-01,2103.817,17924.0,17924.0,,,
2007-04-01,1423.314,12126.0,12126.0,,,
2007-05-01,1708.1190000000001,14552.0,14552.0,,,
2007-06-01,1624.136,13837.0,13837.0,,,
2007-07-01,1684.777,14354.0,14354.0,,,
2007-08-01,2130.757,18153.0,18153.0,,,
2007-09-01,2066.616,17607.0,17607.0,,,
2007-10-01,2131.527,18160.0,18160.0,,,
2007-11-01,1717.5910000000001,14633.0,14633.0,,,
2007-12-01,1917.582,16337.0,16337.0,,,
2008-01-01,1626.067,14898.0,14898.0,,,
2008-02-01,1526.3790000000001,13985.0,13985.0,,,
2008-03-01,1641.545,15040.0,15040.0,,,
2008-04-01,1603.2920000000001,14690.0,14690.0,,,
2008-05-01,1525.51,13977.0,13977.0,,,
2008-06-01,1353.255,12398.0,12398.0,,,
2008-07-01,1199.73,10992.0,10992.0,,,
2008-08-01,1794.7450000000001,16444.0,16444.0,,,
2008-09-01,3487.231,31950.0,31950.0,,,
2008-10-01,3643.411,33381.0,33381.0,,,
2008-11-01,2017.315,18483.0,18483.0,,,
2008-12-01,1355.52,12419.0,12419.0,,,
2009-01-01,2267.474,24434.0,24434.0,,,
2009-02-01,894.022,9634.0,9634.0,,,
2009-03-01,2795.012,30118.0,30118.0,,,
2009-04-01,2502.397,26964.0,26964.0,,,
2009-05-01,2004.854,21603.0,21603.0,,,
2009-06-01,2146.809,23133.0,23133.0,,,
2009-07-01,2161.3,23289.0,23289.0,,,
2009-08-01,1973.777,21268.0,21268.0,,,
2009-09-01,1737.2060000000001,18719.0,18719.0,,,
2009-10-01,1861.431,20058.0,20058.0,,,
2009-11-01,1022.326,11016.0,11016.0,,,
2009-12-01,3557.3920000000003,38332.0,38332.0,,,
2010-01-01,3016.058,32070.0,32070.0,,,
2010-02-01,4407.058,46859.0,46859.0,,,
