measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed
2001-01-01,11.683,79.0,79.0
2001-02-01,10.119,69.0,69.0
2001-03-01,10.995,75.0,75.0
2001-04-01,9.341000000000001,63.0,63.0
2001-05-01,10.52,71.0,71.0
2001-06-01,11.132,75.0,75.0
2001-07-01,11.56,78.0,78.0
2001-08-01,11.883000000000001,81.0,81.0
2001-09-01,8.273,56.0,56.0
2001-10-01,9.365,63.0,63.0
2001-11-01,9.028,61.0,61.0
2001-12-01,10.102,68.0,68.0
2002-01-01,-11.11,0.0,61.0
2002-02-01,-10.019,0.0,55.0
2002-03-01,-11.42,0.0,63.0
2002-04-01,-11.009,0.0,60.0
2002-05-01,-10.221,0.0,56.0
2002-06-01,-12.25,0.0,67.0
2002-07-01,-14.089,0.0,77.0
2002-08-01,-13.836,0.0,76.0
2002-09-01,-12.4,0.0,68.0
2002-10-01,-11.928,0.0,65.0
2002-11-01,-12.18,0.0,67.0
2002-12-01,-12.539000000000001,0.0,69.0
2003-01-01,102.26700000000001,1123.0,1123.0
2003-02-01,86.903,954.0,954.0
2003-03-01,96.028,1054.0,1054.0
2003-04-01,83.28800000000001,914.0,914.0
2003-05-01,74.947,823.0,823.0
2003-06-01,89.626,984.0,984.0
2003-07-01,108.364,1190.0,1190.0
2003-08-01,102.19,1122.0,1122.0
2003-09-01,94.97,1043.0,1043.0
2003-10-01,92.872,1020.0,1020.0
2003-11-01,88.519,972.0,972.0
2003-12-01,100.02600000000001,1098.0,1098.0
2004-01-01,-9.316,185.0,185.0
2004-02-01,-8.488,168.0,168.0
2004-03-01,-7.867,156.0,156.0
2004-04-01,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0
2004-07-01,-17.758,352.0,352.0
2004-08-01,-8.45,167.0,167.0
2004-09-01,-20.12,399.0,399.0
2004-10-01,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0
2005-01-01,90.512,1490.53,1490.53
2005-02-01,31.097,512.1,512.1
2005-03-01,34.467,567.59,567.59
2005-04-01,41.75,687.52,687.52
2005-05-01,38.775,638.53,638.53
2005-06-01,50.326,828.75,828.75
2005-07-01,51.226,843.56,843.56
2005-08-01,60.178000000000004,990.99,990.99
2005-09-01,39.393,648.71,648.71
2005-10-01,43.746,720.4,720.4
2005-11-01,35.168,579.14,579.14
2005-12-01,74.36200000000001,1224.58,1224.58
2006-01-01,58.292,802.0,802.0
2006-02-01,30.502000000000002,419.0,419.0
2006-03-01,25.622,352.0,352.0
2006-04-01,49.081,675.0,675.0
2006-05-01,45.878,631.0,631.0
2006-06-01,41.7,573.0,573.0
2006-07-01,60.403000000000006,831.0,831.0
2006-08-01,58.591,806.0,806.0
2006-09-01,26.918000000000003,370.0,370.0
2006-10-01,28.434,391.0,391.0
2006-11-01,33.482,460.0,460.0
2006-12-01,37.098,510.0,510.0
2007-01-01,10.06,168.0,168.0
2007-02-01,54.427,922.0,922.0
2007-03-01,17.807000000000002,302.0,302.0
2007-04-01,10.582,180.0,180.0
2007-05-01,28.702,487.0,487.0
2007-06-01,26.588,452.0,452.0
2007-07-01,26.909000000000002,452.0,452.0
2007-08-01,60.2,1021.0,1021.0
2007-09-01,27.861,470.0,470.0
2007-10-01,37.413000000000004,632.0,632.0
2007-11-01,7.407,128.0,128.0
2007-12-01,14.043000000000001,238.0,238.0
2008-01-01,37.276,495.0,495.0
2008-02-01,46.849000000000004,627.0,627.0
2008-03-01,76.14200000000001,1023.0,1023.0
2008-04-01,32.486000000000004,435.0,435.0
2008-05-01,46.382000000000005,622.0,622.0
2008-06-01,111.301,1491.0,1491.0
2008-07-01,63.389,853.0,853.0
2008-08-01,46.142,622.0,622.0
2008-09-01,44.899,605.0,605.0
2008-10-01,21.357,286.0,286.0
2008-11-01,33.428000000000004,451.0,451.0
2008-12-01,41.349000000000004,556.0,556.0
2009-01-01,368.309,3893.0,3893.0
2009-02-01,173.93200000000002,1841.0,1841.0
2009-03-01,262.837,2782.0,2782.0
2009-04-01,263.548,2787.0,2787.0
2009-05-01,422.18800000000005,4469.0,4469.0
2009-06-01,467.891,4953.0,4953.0
2009-07-01,269.935,2856.0,2856.0
2009-08-01,321.874,3409.0,3409.0
2009-09-01,184.4,1949.0,1949.0
2009-10-01,261.945,2770.0,2770.0
2009-11-01,160.17100000000002,1693.0,1693.0
2009-12-01,183.97,1949.0,1949.0
2010-01-01,41.576,604.0,604.0
2010-02-01,33.276,490.0,490.0
2010-03-01,38.051,564.0,564.0
2010-04-01,38.463,570.0,570.0
2010-05-01,82.10600000000001,1214.0,1214.0
2010-06-01,58.332,861.0,861.0
2010-07-01,42.963,633.0,633.0
2010-08-01,53.327000000000005,787.0,787.0
2010-09-01,41.284,610.0,610.0
2010-10-01,21.717000000000002,319.0,319.0
2010-11-01,27.651,410.0,410.0
2010-12-01,51.254000000000005,758.0,758.0
2011-01-01,42.427,576.0,576.0
2011-02-01,30.134,410.0,410.0
2011-03-01,36.39,496.0,496.0
2011-04-01,108.001,1471.0,1471.0
2011-05-01,53.432,730.0,730.0
2011-06-01,59.944,815.0,815.0
2011-07-01,67.405,918.0,918.0
2011-08-01,61.312,832.0,832.0
2011-09-01,27.204,371.0,371.0
2011-10-01,38.019,519.0,519.0
2011-11-01,22.667,308.0,308.0
2011-12-01,31.065,422.0,422.0
2012-01-01,55.369,707.0,707.0
2012-02-01,53.911,684.0,684.0
2012-03-01,47.459,604.0,604.0
2012-04-01,153.416,1955.0,1955.0
2012-05-01,92.679,1180.0,1180.0
2012-06-01,75.341,958.0,958.0
2012-07-01,82.904,1055.0,1055.0
2012-08-01,61.712,787.0,787.0
2012-09-01,47.133,599.0,599.0
2012-10-01,82.631,1055.0,1055.0
2012-11-01,63.675,809.0,809.0
2012-12-01,56.77,724.0,724.0
2013-01-01,43.596,616.0,616.0
2013-02-01,27.136,382.0,382.0
2013-03-01,25.802,365.0,365.0
2013-04-01,31.223,439.0,439.0
2013-05-01,58.716,827.0,827.0
2013-06-01,61.714,872.0,872.0
2013-07-01,32.448,456.0,456.0
2013-08-01,31.688,445.0,445.0
2013-09-01,37.461,530.0,530.0
2013-10-01,25.997,365.0,365.0
2013-11-01,28.773,405.0,405.0
2013-12-01,42.446,599.0,599.0
2014-01-01,37.173,627.0,627.0
2014-02-01,34.12,570.0,570.0
2014-03-01,24.436,405.0,405.0
2014-04-01,22.004,365.0,365.0
2014-05-01,22.348,371.0,371.0
2014-06-01,27.624,462.0,462.0
2014-07-01,19.175,319.0,319.0
2014-08-01,28.226,467.0,467.0
2014-09-01,19.652,325.0,325.0
2014-10-01,17.856,296.0,296.0
2014-11-01,53.287,889.0,889.0
2014-12-01,23.099,382.0,382.0
2015-01-01,0.8,143.0,143.0
2015-02-01,0.855,148.0,148.0
2015-03-01,1.026,177.0,177.0
2015-04-01,1.425,245.0,245.0
2015-05-01,1.23,211.0,211.0
2015-06-01,0.984,171.0,171.0
2015-07-01,1.22,211.0,211.0
2015-08-01,1.329,228.0,228.0
2015-09-01,0.861,148.0,148.0
2015-10-01,0.669,114.0,114.0
2015-11-01,0.756,131.0,131.0
2015-12-01,0.845,148.0,148.0
2016-01-01,16.283,331.0,331.0
2016-02-01,14.396,296.0,296.0
2016-03-01,16.097,331.0,331.0
