measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,109710.0,1234621.0,1234621.0,-24.0,0.0,0.0,86.0,965.0,965.0,,,,,,,,,
2003-02-01,,,,90875.33,1085478.0,1085478.0,,,,26.082,316.0,316.0,,,,,,,,,
2003-03-01,,,,64268.0,732860.0,732860.0,-39.0,0.0,0.0,64.0,731.0,731.0,,,,,,,,,
2003-04-01,,,,124148.0,1378404.0,1378404.0,-24.0,0.0,0.0,30.0,333.0,333.0,,,,,,,,,
2003-05-01,,,,95044.0,1088605.0,1088605.0,-11.0,0.0,0.0,113.0,1299.0,1299.0,,,,,,,,,
2003-06-01,,,,108607.0,1225165.0,1225165.0,,,,71.0,796.0,796.0,,,,,,,,,
2003-07-01,,,,112636.0,1245964.0,1245964.0,41.0,1024.0,1024.0,105.0,1158.0,1158.0,,,,,,,,,
2003-08-01,,,,116335.0,1203770.0,1203770.0,51.0,626.0,626.0,67.0,690.0,690.0,,,,,,,,,
2003-09-01,,,,104658.0,1161948.0,1161948.0,-16.0,0.0,0.0,40.0,439.0,439.0,,,,,,,,,
2003-10-01,,,,49200.0,567360.0,567360.0,44.0,532.0,532.0,65.0,749.0,749.0,,,,,,,,,
2003-11-01,,,,57945.0,655869.0,655869.0,30.0,433.0,433.0,1.0,12.0,12.0,,,,,,,,,
2003-12-01,,,,152828.0,1685774.0,1685774.0,-42.0,0.0,0.0,41.0,450.0,450.0,,,,,,,,,
2004-01-01,,,,108783.0,1178454.0,1178454.0,85.0,3165.0,3165.0,60.0,655.0,655.0,,,,,,,,,
2004-02-01,,,,99353.0,1081507.0,1081507.0,6.0,269.0,269.0,39.0,427.0,427.0,,,,,,,,,
2004-03-01,,,,50642.0,577040.0,577040.0,0.0,0.0,0.0,46.0,521.0,521.0,,,,,,,,,
2004-04-01,,,,85052.0,1001735.0,1001735.0,-31.0,0.0,0.0,64.0,755.0,755.0,,,,,,,,,
2004-05-01,,,,101818.0,1203671.0,1203671.0,-4.0,293.0,293.0,88.0,1041.0,1041.0,,,,,,,,,
2004-06-01,,,,97094.0,1169022.0,1169022.0,-17.0,0.0,0.0,71.0,860.0,860.0,,,,,,,,,
2004-07-01,,,,88000.0,1057729.0,1057729.0,-16.0,0.0,0.0,82.0,989.0,989.0,,,,,,,,,
2004-08-01,,,,68453.0,828690.0,828690.0,-13.0,0.0,0.0,76.0,918.0,918.0,,,,,,,,,
2004-09-01,,,,38125.0,480143.0,480143.0,-10.0,0.0,0.0,71.0,895.0,895.0,,,,,,,,,
2004-10-01,,,,73717.0,833778.0,833778.0,-12.0,0.0,0.0,130.0,1474.0,1474.0,,,,,,,,,
2004-11-01,,,,84939.0,974781.0,974781.0,-19.0,0.0,0.0,37.0,427.0,427.0,,,,,,,,,
2004-12-01,,,,88904.0,1005061.0,1005061.0,-29.0,0.0,0.0,22.0,252.0,252.0,,,,,,,,,
2005-01-01,,,,103990.0,1172571.26,1172571.26,-28.0,0.0,0.0,30.0,333.45,333.45,,,,,,,,,
2005-02-01,,,,62120.0,704416.42,704416.42,-26.0,0.0,0.0,71.0,801.45,801.45,,,,,,,,,
2005-03-01,,,,121557.0,1382548.46,1382548.46,-32.0,0.0,0.0,6.0,64.35,64.35,,,,,,,,,
2005-04-01,,,,85665.0,982623.8,982623.8,45.0,1380.6,1380.6,17.0,198.9,198.9,,,,,,,,,
2005-05-01,,,,11411.0,178133.14,178133.14,-23.0,0.0,0.0,35.0,549.9,549.9,,,,,,,,,
2005-06-01,,,,58499.0,707221.08,707221.08,-16.0,0.0,0.0,57.0,696.15,696.15,,,,,,,,,
2005-07-01,,,,102948.0,1205904.52,1205904.52,105.0,2351.7,2351.7,54.0,637.65,637.65,,,,,,,,,
2005-08-01,,,,106318.0,1270188.32,1270188.32,61.0,1298.7,1298.7,53.0,631.8,631.8,,,,,,,,,
2005-09-01,,,,88363.0,1042166.98,1042166.98,-13.0,0.0,0.0,81.0,959.4,959.4,,,,,,,,,
2005-10-01,,,,92880.0,1049042.12,1049042.12,-19.0,0.0,0.0,73.0,819.0,819.0,,,,,,,,,
2005-11-01,,,,80634.0,909379.98,909379.98,-24.0,0.0,0.0,67.0,754.65,754.65,,,,,,,,,
2005-12-01,,,,100051.0,1162419.88,1162419.88,-37.0,181.35,181.35,35.0,409.5,409.5,,,,,,,,,
2006-01-01,,,,64260.0,703781.0,703781.0,-43.0,0.0,0.0,59.0,645.0,645.0,,,,,,,,,
2006-02-01,,,,78144.0,871890.0,871890.0,-50.0,0.0,0.0,68.0,758.0,758.0,,,,,,,,,
2006-03-01,,,,98013.0,1139370.0,1139370.0,-51.0,0.0,0.0,0.0,447.0,447.0,,,,,,,,,
2006-04-01,,,,60740.0,681774.0,681774.0,-35.0,0.0,0.0,40.0,452.0,452.0,,,,,,,,,
2006-05-01,,,,37820.0,451057.0,451057.0,-20.0,0.0,0.0,101.0,1206.0,1206.0,,,,,,,,,
2006-06-01,,,,87544.0,1056111.0,1056111.0,-13.0,0.0,0.0,73.0,886.0,886.0,,,,,,,,,
2006-07-01,,,,97988.0,1158777.0,1158777.0,200.0,3697.0,3697.0,57.0,680.0,680.0,,,,,,,,,
2006-08-01,,,,115416.0,1361579.0,1361579.0,288.0,5861.0,5861.0,5.0,58.0,58.0,,,,,,,,,
2006-09-01,,,,56429.0,693690.0,693690.0,-43.0,0.0,0.0,45.0,555.0,555.0,,,,,,,,,
2006-10-01,,,,18198.0,196943.0,196943.0,-51.0,0.0,0.0,40.0,438.0,438.0,,,,,,,,,
2006-11-01,,,,72168.0,839640.0,839640.0,-49.0,0.0,0.0,96.0,1115.0,1115.0,,,,,,,,,
2006-12-01,,,,103618.0,1173483.0,1173483.0,-48.0,0.0,0.0,25.0,278.0,278.0,,,,,,,,,
2007-01-01,,,,111957.066,1278707.0,1278707.0,-57.0,0.0,0.0,34.934000000000005,399.0,399.0,,,,,,,,,
2007-02-01,,,,110983.496,1312793.0,1312793.0,-64.0,0.0,0.0,18.504,219.0,219.0,,,,,,,,,
2007-03-01,,,,98565.298,1136242.0,1136242.0,-56.0,396.0,396.0,124.70200000000001,1438.0,1438.0,,,,,,,,,
2007-04-01,,,,124735.852,1410201.0,1410201.0,-42.0,0.0,0.0,5.148000000000001,58.0,58.0,,,,,,,,,
2007-05-01,,,,109845.398,1284796.0,1284796.0,-19.0,365.0,365.0,39.602000000000004,463.0,463.0,,,,,,,,,
2007-06-01,,,,103183.286,1221806.0,1221806.0,-46.0,0.0,0.0,20.714000000000002,245.0,245.0,,,,,,,,,
2007-07-01,,,,96174.42,1113111.0,1113111.0,-50.0,0.0,0.0,35.58,412.0,412.0,,,,,,,,,
2007-08-01,,,,111486.668,1274789.0,1274789.0,-63.0,0.0,0.0,36.332,415.0,415.0,,,,,,,,,
2007-09-01,,,,89590.796,1032211.0,1032211.0,-54.0,0.0,0.0,59.204,682.0,682.0,,,,,,,,,
2007-10-01,,,,38432.443,436511.0,436511.0,-10.0,1393.0,1393.0,66.557,756.0,756.0,,,,,,,,,
2007-11-01,,,,53775.666,609008.0,609008.0,-56.0,0.0,0.0,108.334,1227.0,1227.0,,,,,,,,,
2007-12-01,,,,112708.199,1289731.0,1289731.0,-58.0,0.0,0.0,29.801000000000002,341.0,341.0,,,,,,,,,
2008-01-01,,,,102288.65000000001,1156204.0,1156204.0,-54.0,0.0,0.0,98.35000000000001,1112.0,1112.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
