measured_on,Wind Generation,Wind Quantity Consumed For Electricity,Wind Total Fuel Consumed
2015-01-01,31352.0,292169.0,292169.0
2015-02-01,33550.0,312652.0,312652.0
2015-03-01,26601.0,247895.0,247895.0
2015-04-01,37605.0,350441.0,350441.0
2015-05-01,38470.0,358502.0,358502.0
2015-06-01,29397.0,273951.0,273951.0
2015-07-01,37888.0,353078.0,353078.0
2015-08-01,28726.0,267698.0,267698.0
2015-09-01,29127.0,271435.0,271435.0
2015-10-01,30587.0,285040.0,285040.0
2015-11-01,40439.0,376851.0,376851.0
2015-12-01,37794.0,352202.0,352202.0
2016-01-01,34418.0,317747.0,317747.0
2016-02-01,41062.0,379084.0,379084.0
2016-03-01,48065.0,443736.0,443736.0
2016-04-01,35916.0,331577.0,331577.0
2016-05-01,32916.0,303881.0,303881.0
2016-06-01,26020.0,240217.0,240217.0
2016-07-01,41338.0,381632.0,381632.0
2016-08-01,26568.0,245276.0,245276.0
2016-09-01,24492.0,226110.0,226110.0
2016-10-01,45190.0,417194.0,417194.0
2016-11-01,32859.0,303354.0,303354.0
2016-12-01,37278.0,344150.0,344150.0
2017-01-01,39185.631,361017.0,361017.0
2017-02-01,38788.828,357361.0,357361.0
2017-03-01,47001.812,433028.0,433028.0
2017-04-01,45930.761,423160.0,423160.0
2017-05-01,41026.622,377978.0,377978.0
2017-06-01,31358.503,288906.0,288906.0
2017-07-01,29051.141,267648.0,267648.0
2017-08-01,23838.629,219625.0,219625.0
2017-09-01,30266.314,278844.0,278844.0
2017-10-01,37635.12,346732.0,346732.0
2017-11-01,36361.124,334995.0,334995.0
2017-12-01,32365.515,298183.0,298183.0
2018-01-01,37547.68,341834.0,341834.0
2018-02-01,34338.219,312615.0,312615.0
2018-03-01,40975.787,373044.0,373044.0
2018-04-01,42445.509,386424.0,386424.0
2018-05-01,43281.769,394037.0,394037.0
2018-06-01,43375.903,394894.0,394894.0
2018-07-01,26205.407,238574.0,238574.0
2018-08-01,33455.958,304583.0,304583.0
2018-09-01,23426.06,213271.0,213271.0
2018-10-01,31212.115,284155.0,284155.0
2018-11-01,33711.264,306907.0,306907.0
2018-12-01,35523.329,323404.0,323404.0
2019-01-01,38928.619,346659.0,346659.0
2019-02-01,37326.304,332391.0,332391.0
2019-03-01,36918.423,328759.0,328759.0
2019-04-01,42980.399,382740.0,382740.0
2019-05-01,41968.625,373731.0,373731.0
2019-06-01,33262.066,296199.0,296199.0
2019-07-01,34433.981,306635.0,306635.0
2019-08-01,33094.619,294708.0,294708.0
2019-09-01,32288.434,287529.0,287529.0
2019-10-01,36931.116,328872.0,328872.0
2019-11-01,34260.949,305094.0,305094.0
2019-12-01,35266.465,314048.0,314048.0
2020-01-01,38600.77,338413.0,338413.0
2020-02-01,37369.123,327615.0,327615.0
2020-03-01,37201.069,326142.0,326142.0
2020-04-01,37454.914,328367.0,328367.0
2020-05-01,39044.246,342301.0,342301.0
2020-06-01,41088.895,360226.0,360226.0
2020-07-01,33820.904,296508.0,296508.0
2020-08-01,31050.249,272218.0,272218.0
2020-09-01,25259.01,221446.0,221446.0
2020-10-01,35606.291,312160.0,312160.0
2020-11-01,36122.517,316686.0,316686.0
2020-12-01,38473.012,337293.0,337293.0
2021-01-01,33560.301,296807.0,296807.0
2021-02-01,26695.813,236098.0,236098.0
2021-03-01,45798.948,405046.0,405046.0
2021-04-01,39727.563,351351.0,351351.0
2021-05-01,39889.21,352780.0,352780.0
2021-06-01,29949.138,264870.0,264870.0
2021-07-01,22945.038,202926.0,202926.0
2021-08-01,30015.287,265455.0,265455.0
2021-09-01,28458.616,251688.0,251688.0
2021-10-01,35443.036,313458.0,313458.0
2021-11-01,34595.717,305965.0,305965.0
2021-12-01,39292.333,347501.0,347501.0
2022-01-01,33935.155,115787.0,115787.0
2022-02-01,33703.508,114996.0,114996.0
2022-03-01,43267.732,147630.0,147630.0
2022-04-01,46448.084,158481.0,158481.0
2022-05-01,48181.13,164394.0,164394.0
2022-06-01,37596.793,128280.0,128280.0
2022-07-01,33896.074,115653.0,115653.0
2022-08-01,24277.601,82835.0,82835.0
2022-09-01,22401.647,76434.0,76434.0
2022-10-01,29210.422,99666.0,99666.0
2022-11-01,35416.525,120841.0,120841.0
2022-12-01,33269.329,113515.0,113515.0
2023-01-01,41519.0,141663.0,141663.0
2023-02-01,38920.0,132795.0,132795.0
2023-03-01,41976.0,143222.0,143222.0
2023-04-01,39856.0,135989.0,135989.0
2023-05-01,27528.0,93926.0,93926.0
2023-06-01,24776.0,84536.0,84536.0
2023-07-01,30954.0,105615.0,105615.0
2023-08-01,29070.0,99187.0,99187.0
2023-09-01,28360.0,96764.0,96764.0
2023-10-01,36030.0,122934.0,122934.0
2023-11-01,32729.0,111671.0,111671.0
2023-12-01,40134.0,136937.0,136937.0
2024-01-01,31183.0,106396.0,106396.0
2024-02-01,39754.0,135641.0,135641.0
2024-03-01,40836.0,139332.0,139332.0
2024-04-01,41749.0,142448.0,142448.0
2024-05-01,34101.0,116353.0,116353.0
2024-06-01,30753.0,104929.0,104929.0
2024-07-01,27495.0,93813.0,93813.0
2024-08-01,28126.0,95966.0,95966.0
2024-09-01,17486.0,59662.0,59662.0
2024-10-01,37019.0,126309.0,126309.0
2024-11-01,35598.0,121460.0,121460.0
2024-12-01,30763.0,104963.0,104963.0
