measured_on,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed
2001-01-01,4.0,26.0,351779.0
2001-02-01,4.0,26.0,351779.0
2001-03-01,4.0,26.0,351779.0
2001-04-01,3.0,20.0,263834.0
2001-05-01,3.0,20.0,263834.0
2001-06-01,3.0,20.0,263834.0
2001-07-01,4.0,26.0,351779.0
2001-08-01,3.0,20.0,263834.0
2001-09-01,3.0,20.0,263834.0
2001-10-01,4.0,26.0,351779.0
2001-11-01,3.0,20.0,263834.0
2001-12-01,4.0,26.0,351779.0
