measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed,Wind Generation,Wind Quantity Consumed For Electricity,Wind Total Fuel Consumed
2016-09-01,629.061,5807.0,5807.0,,,
2016-10-01,484.047,4469.0,4469.0,,,
2016-11-01,344.979,3185.0,3185.0,,,
2016-12-01,557.913,5151.0,5151.0,,,
2017-01-01,604.289,5567.0,5567.0,,,
2017-02-01,737.705,6796.0,6796.0,,,
2017-03-01,908.191,8367.0,8367.0,,,
2017-04-01,989.228,9114.0,9114.0,,,
2017-05-01,1081.431,9963.0,9963.0,,,
2017-06-01,924.946,8522.0,8522.0,,,
2017-07-01,1032.201,9510.0,9510.0,,,
2017-08-01,931.867,8585.0,8585.0,,,
2017-09-01,894.885,8245.0,8245.0,,,
2017-10-01,779.245,7179.0,7179.0,,,
2017-11-01,688.286,6341.0,6341.0,,,
2017-12-01,562.726,5184.0,5184.0,,,
2018-01-01,663.757,6043.0,6043.0,,,
2018-02-01,581.792,5297.0,5297.0,,,
2018-03-01,840.442,7651.0,7651.0,,,
2018-04-01,1031.981,9395.0,9395.0,,,
2018-05-01,1025.105,9333.0,9333.0,,,
2018-06-01,1102.803,10040.0,10040.0,,,
2018-07-01,1041.268,9480.0,9480.0,,,
2018-08-01,1063.229,9680.0,9680.0,,,
2018-09-01,703.926,6409.0,6409.0,,,
2018-10-01,757.898,6900.0,6900.0,,,
2018-11-01,549.625,5004.0,5004.0,,,
2018-12-01,454.174,4135.0,4135.0,,,
2019-01-01,561.362,4999.0,4999.0,,,
2019-02-01,541.03,4818.0,4818.0,,,
2019-03-01,896.434,7983.0,7983.0,,,
2019-04-01,921.209,8203.0,8203.0,,,
2019-05-01,1046.558,9320.0,9320.0,,,
2019-06-01,1014.227,9032.0,9032.0,,,
2019-07-01,1127.528,10041.0,10041.0,,,
2019-08-01,1004.079,8941.0,8941.0,,,
2019-09-01,915.645,8154.0,8154.0,,,
2019-10-01,726.04,6465.0,6465.0,,,
2019-11-01,625.263,5568.0,5568.0,,,
2019-12-01,554.625,4939.0,4939.0,,,
2020-01-01,565.214,4955.0,4955.0,,,
2020-02-01,580.871,5092.0,5092.0,,,
2020-03-01,742.991,6514.0,6514.0,,,
2020-04-01,1009.177,8847.0,8847.0,,,
2020-05-01,1009.979,8854.0,8854.0,,,
2020-06-01,982.584,8614.0,8614.0,,,
2020-07-01,1099.095,9636.0,9636.0,,,
2020-08-01,882.527,7737.0,7737.0,,,
2020-09-01,747.428,6553.0,6553.0,,,
2020-10-01,757.762,6643.0,6643.0,,,
2020-11-01,633.764,5556.0,5556.0,,,
2020-12-01,535.608,4696.0,4696.0,,,
2021-01-01,0.0,0.0,0.0,1081.368,9564.0,9564.0
2021-02-01,0.0,0.0,0.0,845.087,7474.0,7474.0
2021-03-01,0.0,0.0,0.0,1167.697,10327.0,10327.0
2021-04-01,0.0,0.0,0.0,995.238,8802.0,8802.0
2021-05-01,0.0,0.0,0.0,640.215,5662.0,5662.0
2021-06-01,0.0,0.0,0.0,486.655,4304.0,4304.0
2021-07-01,0.0,0.0,0.0,491.477,4347.0,4347.0
2021-08-01,0.0,0.0,0.0,341.146,3017.0,3017.0
2021-09-01,0.0,0.0,0.0,653.015,5775.0,5775.0
