measured_on,"Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2012-01-01,1305.893,12427.0,12427.0
2012-02-01,1178.676,11216.0,11216.0
2012-03-01,1204.433,11461.0,11461.0
2012-04-01,1046.08,9954.0,9954.0
2012-05-01,1164.65,11083.0,11083.0
2012-06-01,1221.22,11621.0,11621.0
2012-07-01,1131.596,10768.0,10768.0
2012-08-01,1143.593,10882.0,10882.0
2012-09-01,991.841,9438.0,9438.0
2012-10-01,917.519,8731.0,8731.0
2012-11-01,990.227,9423.0,9423.0
2012-12-01,1193.092,11353.0,11353.0
2014-01-01,1482.419,14098.0,14098.0
2014-02-01,1283.935,12210.0,12210.0
2014-03-01,1408.955,13399.0,13399.0
2014-04-01,1269.089,12069.0,12069.0
2014-05-01,1250.866,11896.0,11896.0
2014-06-01,1270.092,12079.0,12079.0
2014-07-01,1470.231,13982.0,13982.0
2014-08-01,1520.931,14464.0,14464.0
2014-09-01,1471.287,13992.0,13992.0
2014-10-01,843.901,8025.0,8025.0
2014-11-01,1301.992,12382.0,12382.0
2014-12-01,1366.302,12994.0,12994.0
2015-01-01,1357.094,12647.0,12647.0
2015-02-01,1385.799,12914.0,12914.0
2015-03-01,1222.106,11389.0,11389.0
2015-04-01,1234.304,11502.0,11502.0
2015-05-01,1546.773,14414.0,14414.0
2015-06-01,1106.452,10311.0,10311.0
2015-07-01,1539.368,14345.0,14345.0
2015-08-01,1503.648,14012.0,14012.0
2015-09-01,1449.546,13508.0,13508.0
2015-10-01,1433.06,13355.0,13355.0
2015-11-01,1413.037,13168.0,13168.0
2015-12-01,1538.813,14340.0,14340.0
2016-01-01,909.906,8400.0,8400.0
2016-02-01,677.814,6258.0,6258.0
2016-03-01,614.511,5673.0,5673.0
2016-04-01,554.002,5115.0,5115.0
2016-05-01,821.99,7589.0,7589.0
2016-06-01,988.224,9123.0,9123.0
2016-07-01,1044.483,9643.0,9643.0
2016-08-01,895.003,8263.0,8263.0
2016-09-01,1031.103,9519.0,9519.0
2016-10-01,1059.945,9785.0,9785.0
2016-11-01,1063.712,9820.0,9820.0
2016-12-01,1098.307,10140.0,10140.0
2017-01-01,613.04,5648.0,5648.0
2017-02-01,459.78,4236.0,4236.0
2017-03-01,812.86,7489.0,7489.0
2017-04-01,603.0,5555.0,5555.0
2017-05-01,889.49,8195.0,8195.0
2017-06-01,1415.23,13039.0,13039.0
