measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,104.0,1790.0,1790.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,1.0,12.0,12.0,72.0,713.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,110.0,1797.0,1797.0,11.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,45.0,742.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,1360.0,14485.0,14485.0,336.0,0.0,0.0,109.0,1840.0,1840.0
2003-08-01,1.0,12.0,12.0,8380.0,89705.0,89705.0,2083.0,0.0,0.0,194.0,2447.0,2447.0
2003-09-01,0.0,0.0,0.0,1550.0,16424.0,16424.0,314.0,0.0,0.0,109.0,1639.0,1639.0
2003-10-01,0.0,0.0,0.0,5320.0,58119.0,58119.0,1226.0,0.0,0.0,320.0,5540.0,5540.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,1017.56,11880.0,11880.0,154.758,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,1252.0120000000002,14618.0,14618.0,128.086,0.0,0.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,1177.117,13743.0,13743.0,57.132000000000005,0.0,0.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,1207.655,14100.0,14100.0,37.83,0.0,0.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,993.821,11603.0,11603.0,127.61,0.0,0.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,342.081,3994.0,3994.0,30.81,0.0,0.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,1157.009,13508.0,13508.0,136.665,0.0,0.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,272.675,3184.0,3184.0,30.551000000000002,0.0,0.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,1247.693,14567.0,14567.0,176.997,0.0,0.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,452.78200000000004,5286.0,5286.0,66.793,0.0,0.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,648.2230000000001,7568.0,7568.0,43.122,0.0,0.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,580.374,6776.0,6776.0,118.645,0.0,0.0,0.0,0.0,0.0
2005-01-01,,,,1107.82,12056.89,12056.89,156.352,0.0,0.0,35.96,562.94,562.94
