measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,1280201.0,12439435.0,12439435.0,2417.0,24169.0,24169.0,,,,,,
2003-02-01,973472.0,9421963.0,9421963.0,1885.0,18850.0,18850.0,,,,,,
2003-03-01,1143525.0,11289121.0,11289121.0,697.0,6966.0,6966.0,,,,,,
2003-04-01,1391266.0,14233262.0,14233262.0,3517.0,35165.0,35165.0,,,,,,
2003-05-01,1556158.0,15371926.0,15371926.0,3002.0,29503.0,29503.0,,,,,,
2003-06-01,1464908.0,14344374.0,14344374.0,3223.0,32225.0,32225.0,,,,,,
2003-07-01,1598773.0,15861026.0,15861026.0,3711.0,37069.0,37069.0,,,,,,
2003-08-01,1638516.0,16327962.0,16327962.0,2481.0,24379.0,24379.0,,,,,,
2003-09-01,1376885.0,13806792.0,13806792.0,2979.0,29784.0,29784.0,,,,,,
2003-10-01,1134418.0,11231530.0,11231530.0,814.0,8003.0,8003.0,,,,,,
2003-11-01,1025289.0,9957220.0,9957220.0,1601.0,16098.0,16098.0,,,,,,
2003-12-01,1360702.0,13672757.0,13672757.0,7720.0,75867.0,75867.0,,,,,,
2004-01-01,1619615.0,16071957.0,16071957.0,2648.0,26483.0,26483.0,0.0,0.0,0.0,,,
2004-02-01,1607037.0,15874875.0,15874875.0,1950.0,19500.0,19500.0,0.0,0.0,0.0,,,
2004-03-01,1662159.0,16663200.0,16663200.0,1752.0,17522.0,17522.0,0.0,0.0,0.0,,,
2004-04-01,1279769.0,12891035.0,12891035.0,5329.0,53296.0,53296.0,0.0,0.0,0.0,,,
2004-05-01,1622679.0,16288698.0,16288698.0,1321.0,13338.0,13338.0,0.0,0.0,0.0,,,
2004-06-01,1532491.0,15557993.0,15557993.0,2039.0,20580.0,20580.0,0.0,0.0,0.0,,,
2004-07-01,1601081.0,16299184.0,16299184.0,1538.0,14860.0,14860.0,0.0,0.0,0.0,,,
2004-08-01,1661944.0,16556377.0,16556377.0,1126.0,11370.0,11370.0,0.0,0.0,0.0,,,
2004-09-01,1418745.0,14536663.0,14536663.0,3012.0,30399.0,30399.0,0.0,0.0,0.0,,,
2004-10-01,1148599.0,13042163.0,13042163.0,4009.0,40464.0,40464.0,0.0,0.0,0.0,,,
2004-11-01,1630274.0,17666010.0,17666010.0,868.0,8765.0,8765.0,0.0,0.0,0.0,,,
2004-12-01,1612551.0,16138317.0,16138317.0,1877.0,18947.0,18947.0,0.0,0.0,0.0,,,
2005-01-01,1726023.0,17223387.39,17223387.39,1521.0,15351.81,15351.81,0.0,0.0,0.0,,,
2005-02-01,1542771.0,15290117.08,15290117.08,1171.0,11815.39,11815.39,0.0,0.0,0.0,,,
2005-03-01,1705189.0,17001175.87,17001175.87,2433.0,24488.77,24488.77,0.0,0.0,0.0,,,
2005-04-01,1565783.0,15676079.62,15676079.62,3047.0,30678.11,30678.11,0.0,0.0,0.0,,,
2005-05-01,1703590.0,17178061.36,17178061.36,2209.0,22052.13,22052.13,0.0,0.0,0.0,,,
2005-06-01,1686278.0,16438851.33,16438851.33,807.0,8061.07,8061.07,0.0,0.0,0.0,,,
2005-07-01,1682061.0,16924683.55,16924683.55,701.0,6995.53,6995.53,0.0,0.0,0.0,,,
2005-08-01,1595587.0,16109235.09,16109235.09,3134.0,31294.56,31294.56,0.0,0.0,0.0,,,
2005-09-01,1535301.0,15290182.08,15290182.08,1728.0,17251.39,17251.39,0.0,0.0,0.0,,,
2005-10-01,1177634.0,11623800.07,11623800.07,320.0,3196.63,3196.63,0.0,0.0,0.0,,,
2005-11-01,1125033.0,11297689.01,11297689.01,454.0,4534.35,4534.35,0.0,0.0,0.0,,,
2005-12-01,1273403.0,12951744.51,12951744.51,7727.0,77147.7,77147.7,0.0,0.0,0.0,,,
2006-01-01,1742388.0,17165363.0,17165363.0,1735.0,17321.0,17321.0,0.0,0.0,0.0,,,
2006-02-01,1460342.0,14487990.0,14487990.0,1965.0,19620.0,19620.0,0.0,0.0,0.0,,,
2006-03-01,1733636.0,17148859.0,17148859.0,1659.0,16562.0,16562.0,0.0,0.0,0.0,,,
