measured_on,Wind Generation,Wind Quantity Consumed For Electricity,Wind Total Fuel Consumed
2022-10-01,3340.24,11397.0,11397.0
2022-11-01,5480.36,18699.0,18699.0
2022-12-01,5651.4,19283.0,19283.0
2023-01-01,5655.0,19295.0,19295.0
2023-02-01,2055.0,7012.0,7012.0
2023-03-01,6426.0,21926.0,21926.0
2023-04-01,5269.0,17978.0,17978.0
2023-05-01,6733.0,22973.0,22973.0
2023-06-01,3291.0,11229.0,11229.0
2023-07-01,1157.0,3948.0,3948.0
2023-08-01,2269.0,7742.0,7742.0
2023-09-01,2722.0,9287.0,9287.0
2023-10-01,4156.0,14180.0,14180.0
2023-11-01,6633.0,22632.0,22632.0
2023-12-01,5698.0,19442.0,19442.0
2024-01-01,5487.0,18722.0,18722.0
2024-02-01,6611.0,22557.0,22557.0
2024-03-01,6896.0,23529.0,23529.0
2024-04-01,5928.0,20226.0,20226.0
2024-05-01,2869.0,9789.0,9789.0
2024-06-01,2815.0,9605.0,9605.0
2024-07-01,2945.0,10048.0,10048.0
2024-08-01,2331.0,7953.0,7953.0
2024-09-01,2855.0,9741.0,9741.0
2024-10-01,5665.0,19329.0,19329.0
2024-11-01,8143.0,27784.0,27784.0
2024-12-01,6189.0,21117.0,21117.0
