measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed"
2003-01-01,55308.0,538680.0,550634.0,,,,,,
2003-02-01,80685.0,768923.0,785392.0,,,,,,
2003-03-01,87694.0,900182.0,919087.0,,,,,,
2003-04-01,50393.663,500241.0,511306.0,,,,,,
2003-05-01,80935.044,789992.0,807634.0,,,,,,
2003-06-01,86910.031,899685.0,916837.0,,,,,,
2003-07-01,77935.067,775994.0,793458.0,,,,,,
2003-08-01,87535.186,919173.0,939162.0,,,,,,
2003-09-01,86797.676,912205.0,932349.0,,,,,,
2003-10-01,58829.899000000005,653050.0,665962.0,,,,,,
2003-11-01,65770.947,664437.0,678986.0,,,,,,
2003-12-01,95164.77,966391.0,986017.0,,,,,,
2004-01-01,66755.10601,660705.58,719998.87,265.43199,2627.1,2862.86,,,
2004-02-01,52916.92561,523742.84,570745.63,352.94439,3493.25,3806.75,,,
2004-03-01,52261.92049,517259.94,563679.65,141.49151,1400.41,1526.08,,,
2004-04-01,48221.09394,477266.06,520097.71,273.33306,2705.3,2948.09,,,
2004-05-01,62790.91744,621470.19,677244.74,594.28156,5881.87,6409.75,,,
2004-06-01,68153.834,674549.42,735085.99,386.194,3822.34,4165.37,,,
2004-07-01,68009.10812,673117.0,733524.63,358.10088,3544.29,3862.36,,,
2004-08-01,67178.93848,664900.45,724570.88,383.01052,3790.83,4131.03,,,
2004-09-01,56347.92824,557701.02,607753.71,740.11076,7325.21,7982.64,,,
2004-10-01,56099.89826,555246.15,605076.23,381.01574,3771.09,4109.52,,,
2004-11-01,58297.14994,576993.35,628774.9,339.56906,3360.87,3662.49,,,
2004-12-01,67942.3385,672456.16,732804.87,402.0845,3979.61,4336.76,,,
2005-01-01,55360.07147,547923.75,702198.9,430.54853,4261.33,5461.17,,,
2005-02-01,48302.05199,478067.31,613498.92,104.91601,1038.4,1332.57,,,
2005-03-01,52385.4404,518482.48,665252.41,149.9356,1483.98,1904.06,,,
2005-04-01,44111.89746,436595.47,560194.64,123.15654,1218.94,1564.01,,,
2005-05-01,52444.22129,519064.26,666068.66,127.34371,1260.38,1617.33,,,
2005-06-01,54049.90215,534956.4,686522.66,111.36685,1102.25,1414.54,,,
