measured_on,"Solar - Wind Turbine, Onshore - Solar - Generation","Solar - Wind Turbine, Onshore - Solar - Quantity Consumed For Electricity","Solar - Wind Turbine, Onshore - Solar - Total Fuel Consumed","Wind - Wind Turbine, Onshore - Wind - Generation","Wind - Wind Turbine, Onshore - Wind - Quantity Consumed For Electricity","Wind - Wind Turbine, Onshore - Wind - Total Fuel Consumed"
2019-12-01,465.0,4141.0,4141.0,,,
2020-01-01,,,,1051.788,9221.0,9221.0
2020-02-01,,,,1107.223,9707.0,9707.0
2020-03-01,,,,1071.678,9395.0,9395.0
2020-04-01,,,,1036.88,9090.0,9090.0
2020-05-01,,,,895.508,7851.0,7851.0
2020-06-01,,,,1128.274,9892.0,9892.0
2020-07-01,,,,815.444,7149.0,7149.0
2020-08-01,,,,968.733,8493.0,8493.0
2020-09-01,,,,1051.921,9222.0,9222.0
2020-10-01,,,,1075.041,9425.0,9425.0
2020-11-01,,,,1141.513,10008.0,10008.0
2020-12-01,,,,1130.997,9915.0,9915.0
2021-01-01,,,,853.267,7546.0,7546.0
2021-02-01,,,,606.226,5361.0,5361.0
2021-03-01,,,,1056.927,9347.0,9347.0
2021-04-01,,,,1136.821,10054.0,10054.0
2021-05-01,,,,950.301,8404.0,8404.0
2021-06-01,,,,716.88,6340.0,6340.0
2021-07-01,,,,692.537,6125.0,6125.0
2021-08-01,,,,907.553,8026.0,8026.0
2021-09-01,,,,930.031,8225.0,8225.0
2021-10-01,,,,1038.064,9181.0,9181.0
2021-11-01,,,,1152.916,10196.0,10196.0
2021-12-01,,,,1311.477,11599.0,11599.0
2022-01-01,,,,863.883,2948.0,2948.0
2022-02-01,,,,856.675,2923.0,2923.0
2022-03-01,,,,970.728,3312.0,3312.0
2022-04-01,,,,931.626,3179.0,3179.0
2022-05-01,,,,679.748,2319.0,2319.0
2022-06-01,,,,642.937,2194.0,2194.0
2022-07-01,,,,557.493,1902.0,1902.0
2022-08-01,,,,584.921,1996.0,1996.0
2022-09-01,,,,691.959,2361.0,2361.0
2022-10-01,,,,785.726,2681.0,2681.0
2022-11-01,,,,988.717,3374.0,3374.0
2022-12-01,,,,828.587,2827.0,2827.0
2023-01-01,,,,0.0,0.0,0.0
2023-02-01,,,,400.0,1365.0,1365.0
2023-03-01,,,,1200.0,4094.0,4094.0
2023-04-01,,,,1404.0,4790.0,4790.0
2023-05-01,,,,906.0,3091.0,3091.0
2023-06-01,,,,630.0,2150.0,2150.0
2023-07-01,,,,440.0,1501.0,1501.0
2023-08-01,,,,767.0,2617.0,2617.0
2023-09-01,,,,888.0,3030.0,3030.0
2023-10-01,,,,1146.0,3910.0,3910.0
2023-11-01,,,,1121.0,3825.0,3825.0
2023-12-01,,,,1064.0,3630.0,3630.0
2024-01-01,,,,969.0,3306.0,3306.0
2024-02-01,,,,877.0,2992.0,2992.0
2024-03-01,,,,-5.0,0.0,0.0
2024-04-01,,,,-5.0,0.0,0.0
2024-05-01,,,,799.0,2726.0,2726.0
2024-06-01,,,,872.0,2975.0,2975.0
2024-07-01,,,,472.0,1610.0,1610.0
2024-08-01,,,,649.0,2214.0,2214.0
2024-09-01,,,,967.0,3299.0,3299.0
2024-10-01,,,,1148.0,3917.0,3917.0
2024-11-01,,,,1068.0,3644.0,3644.0
2024-12-01,,,,1046.0,3569.0,3569.0
