measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed"
2007-01-01,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0
2007-06-01,2073.8540000000003,21908.0,21908.0
2007-07-01,3105.2630000000004,32803.0,32803.0
2007-08-01,3124.8340000000003,33010.0,33010.0
2007-09-01,2708.962,28617.0,28617.0
2007-10-01,5399.329000000001,57037.0,57037.0
2007-11-01,4860.878000000001,51349.0,51349.0
2007-12-01,4682.879,49468.0,49468.0
2008-01-01,1790.6170000000002,21192.0,21192.0
2008-02-01,4317.394,51096.0,51096.0
2008-03-01,2992.6620000000003,35418.0,35418.0
2008-04-01,3453.7290000000003,40875.0,40875.0
2008-05-01,2471.3630000000003,29248.0,29248.0
2008-06-01,3456.35,40906.0,40906.0
2008-07-01,5017.946,59387.0,59387.0
2008-08-01,3495.098,41364.0,41364.0
2008-09-01,2905.3790000000004,34385.0,34385.0
2008-10-01,5091.717000000001,60260.0,60260.0
2008-11-01,3185.4390000000003,37700.0,37700.0
2008-12-01,3984.306,47154.0,47154.0
2009-01-01,3610.018,43386.0,43386.0
2009-02-01,3268.976,39287.0,39287.0
2009-03-01,3366.636,40461.0,40461.0
2009-04-01,3993.1730000000002,47991.0,47991.0
2009-05-01,2439.5460000000003,29319.0,29319.0
2009-06-01,2844.708,34189.0,34189.0
2009-07-01,3266.9990000000003,39264.0,39264.0
2009-08-01,3470.9010000000003,41714.0,41714.0
2009-09-01,2927.5080000000003,35184.0,35184.0
2009-10-01,3134.443,37671.0,37671.0
2009-11-01,3661.547,44005.0,44005.0
2009-12-01,3987.545,47923.0,47923.0
2010-01-01,3083.692,38785.0,38785.0
2010-02-01,2262.877,28461.0,28461.0
2010-03-01,3807.733,47891.0,47891.0
2010-04-01,3366.5,42342.0,42342.0
