measured_on,Jet Fuel-Combined Cycle Combustion Turbine Part Generation,Jet Fuel-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Jet Fuel-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Jet Fuel-Combined Cycle Steam Part Generation,Jet Fuel-Combined Cycle Steam Part Quantity Consumed For Electricity,Jet Fuel-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,18.268,240.0,240.0,,,,11409.536,149919.0,149919.0,2657.9,0.0,0.0
2003-02-01,16.855,222.0,222.0,,,,10526.949,138322.0,138322.0,2452.2980000000002,0.0,0.0
2003-03-01,18.581,244.0,244.0,,,,11604.691,152483.0,152483.0,2703.3630000000003,0.0,0.0
2003-04-01,17.571,231.0,231.0,,,,10974.388,144201.0,144201.0,2556.531,0.0,0.0
2003-05-01,20.119,265.0,265.0,,,,12565.487000000001,165108.0,165108.0,2927.184,0.0,0.0
2003-06-01,20.962,276.0,276.0,,,,13091.981,172026.0,172026.0,3049.833,0.0,0.0
2003-07-01,26.913,354.0,354.0,,,,16808.915,220865.0,220865.0,3915.7090000000003,0.0,0.0
2003-08-01,25.284000000000002,333.0,333.0,,,,15791.386,207495.0,207495.0,3678.6710000000003,0.0,0.0
2003-09-01,23.105,304.0,304.0,,,,14430.335,189611.0,189611.0,3361.6090000000004,0.0,0.0
2003-10-01,21.744,286.0,286.0,,,,13580.217,178441.0,178441.0,3163.57,0.0,0.0
2003-11-01,18.406000000000002,242.0,242.0,,,,11495.652,151050.0,151050.0,2677.962,0.0,0.0
2003-12-01,19.543,257.0,257.0,,,,12205.572,160378.0,160378.0,2843.34,0.0,0.0
2004-01-01,21.84049,278.84,283.5,4.3159,0.0,0.0,14831.76951,189356.92,192523.48,2930.9041,0.0,0.0
2004-02-01,58.92771,758.57,844.83,12.230509999999999,0.0,0.0,9344.25229,120288.17,133965.92,1939.40949,0.0,0.0
2004-03-01,100.87908,1332.32,1406.16,24.099809999999998,0.0,0.0,10602.10092,140023.3,147783.37,2532.82019,0.0,0.0
2004-04-01,134.77667,1782.44,1797.39,32.4253,0.0,0.0,11662.36333,154236.12,155530.0,2805.7947,0.0,0.0
2004-05-01,84.16248,1082.97,1082.97,21.282329999999998,0.0,0.0,13847.94752,178190.0,178190.0,3501.75767,0.0,0.0
2004-06-01,35.39832,453.6,453.6,9.19168,0.0,0.0,14066.46168,180250.0,180250.0,3652.55832,0.0,0.0
2004-07-01,17.80286,226.8,226.8,4.7409799999999995,0.0,0.0,14260.59714,181673.22,181673.22,3797.65902,0.0,0.0
2004-08-01,6.1651299999999996,79.38,79.38,1.6798799999999998,0.0,0.0,13962.80487,179780.0,179780.0,3804.60012,0.0,0.0
2004-09-01,18.56085,238.14,238.14,5.08766,0.0,0.0,12122.92915,155540.0,155540.0,3322.98234,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,14412.26,179780.0,179780.0,3746.14,0.0,0.0
2004-11-01,16.39395,215.46,215.46,3.93913,0.0,0.0,12332.67605,162084.12,162084.12,2963.29087,0.0,0.0
2004-12-01,18.21,236.79,249.48,4.0022199999999994,0.0,0.0,11505.39,149608.44,157625.7,2528.66778,0.0,0.0
2005-01-01,17.46254,223.98,226.8,3.5478799999999997,0.0,0.0,14420.01746,184954.99,187284.36,2929.73212,0.0,0.0
2005-02-01,235.81495,3116.87,3969.0,56.56351,0.0,0.0,10601.99505,140131.08,178442.11,2543.03649,0.0,0.0
2005-03-01,34.22306,436.59,436.59,7.26793,0.0,0.0,11932.66694,152227.28,152227.28,2534.13207,0.0,0.0
2005-04-01,19.57106,232.47,232.47,4.14109,0.0,0.0,14874.77894,176686.37,176686.37,3147.38891,0.0,0.0
2005-05-01,8.50246,107.73,107.73,2.0830699999999998,0.0,0.0,12930.32754,163833.05,163833.05,3167.87693,0.0,0.0
2005-06-01,5.5950299999999995,68.04,68.04,1.38985,0.0,0.0,14922.70497,181471.82,181471.82,3706.92015,0.0,0.0
2005-07-01,72.77414,901.53,901.53,18.993389999999998,0.0,0.0,9304.21586,115261.14,115261.14,2428.31661,0.0,0.0
2005-08-01,9.81589,130.41,130.41,2.5675399999999997,0.0,0.0,10533.11411,139938.76,139938.76,2755.14246,0.0,0.0
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,8245.0,110788.89,114361.98,2147.58,0.0,0.0
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,9580.69,128554.0,130305.05,2478.35,0.0,0.0
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,3283.45,42592.82,61397.9,711.98,0.0,0.0
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34179.26,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33706.82,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33815.53,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36586.16,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,4507.59,59210.12,80140.05,1046.63,0.0,0.0
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,13090.15,165124.38,165124.38,3220.4,0.0,0.0
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,14413.23,176192.69,176192.69,3758.75,0.0,0.0
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,12967.93,163195.0,163195.0,3393.06,0.0,0.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,15705.27,192259.71,192259.71,4149.66,0.0,0.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,12332.58,151593.3,151593.3,3169.96,0.0,0.0
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,12748.71,156530.04,156530.04,3274.72,0.0,0.0
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,14340.48,174691.04,174691.04,3349.41,0.0,0.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,15506.42,196201.79,196201.79,3841.2,0.0,0.0
