measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,4331.573,67556.0,67556.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,3837.29,59847.0,59847.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,3963.3610000000003,61813.0,61813.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,3480.2670000000003,54279.0,54279.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,3415.5420000000004,53269.0,53269.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,3250.065,50689.0,50689.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,3478.377,54249.0,54249.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,3330.208,51938.0,51938.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,3562.141,55556.0,55556.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,3839.92,59888.0,59888.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,4029.206,62840.0,62840.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,4500.05,70184.0,70184.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,5550.8330000000005,88144.0,88144.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,4560.818,72423.0,72423.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,2167.302,34415.0,34415.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,2038.832,32375.0,32375.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,3781.679,60051.0,60051.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,5586.291,88707.0,88707.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,5775.799,91716.0,91716.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,4054.5280000000002,64383.0,64383.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,3333.827,52939.0,52939.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,1846.465,29321.0,29321.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,2597.581,41248.0,41248.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,4756.045,75523.0,75523.0,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,2868.063,41777.5,41777.5,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,2294.469,33422.27,33422.27,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,3184.0,46379.59,46379.59,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,3022.4320000000002,44026.11,44026.11,0.0,0.0,0.0
