measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-02-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-03-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-04-01,,,,,,,,,,1151.0,13261.0,13261.0,0.0,0.0,0.0,,,
2003-05-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-06-01,,,,,,,,,,6010.0,54787.0,54787.0,0.0,0.0,0.0,,,
2003-07-01,,,,,,,,,,16821.0,149911.0,149911.0,0.0,0.0,0.0,,,
2003-08-01,,,,,,,,,,21096.0,187340.0,187340.0,0.0,0.0,0.0,,,
2003-09-01,,,,,,,,,,3555.0,35565.0,35565.0,0.0,0.0,0.0,,,
2003-10-01,,,,,,,,,,673.0,5963.0,5963.0,0.0,0.0,0.0,,,
2003-11-01,,,,,,,,,,305.0,3137.0,3137.0,0.0,0.0,0.0,,,
2003-12-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2004-01-01,,,,,,,,,,6282.939,56544.0,56544.0,0.0,0.0,0.0,,,
2004-02-01,,,,,,,,,,6352.534000000001,57170.0,57170.0,0.0,0.0,0.0,,,
2004-03-01,,,,,,,,,,5509.015,49579.0,49579.0,0.0,0.0,0.0,,,
2004-04-01,,,,,,,,,,7129.235000000001,64160.0,64160.0,0.0,0.0,0.0,,,
2004-05-01,,,,,,,,,,7545.98,67911.0,67911.0,0.0,0.0,0.0,,,
2004-06-01,,,,,,,,,,7552.482,67969.0,67969.0,0.0,0.0,0.0,,,
2004-07-01,,,,,,,,,,10288.332,92591.0,92591.0,0.0,0.0,0.0,,,
2004-08-01,,,,,,,,,,9906.976,89159.0,89159.0,0.0,0.0,0.0,,,
2004-09-01,,,,,,,,,,9447.039,85019.0,85019.0,0.0,0.0,0.0,,,
2004-10-01,,,,,,,,,,7220.7970000000005,64984.0,64984.0,0.0,0.0,0.0,,,
2004-11-01,,,,,,,,,,1625.546,14629.0,14629.0,0.0,0.0,0.0,,,
2004-12-01,,,,,,,,,,3696.125,33264.0,33264.0,0.0,0.0,0.0,,,
2005-01-01,0.0,0.0,0.0,,,,,,,5452.796,40706.54,40706.54,0.0,0.0,0.0,2373.533,25986.98,25986.98
2005-02-01,0.0,0.0,0.0,,,,,,,4526.601000000001,33792.25,33792.25,0.0,0.0,0.0,1970.372,21572.91,21572.91
2005-03-01,0.0,0.0,0.0,,,,,,,5605.825,41848.94,41848.94,0.0,0.0,0.0,2440.145,26716.29,26716.29
2005-04-01,0.0,0.0,0.0,,,,,,,5523.47,41234.14,41234.14,0.0,0.0,0.0,2404.297,26323.8,26323.8
2005-05-01,0.0,0.0,0.0,,,,,,,6511.279,48608.39,48608.39,0.0,0.0,0.0,2834.2780000000002,31031.51,31031.51
2005-06-01,0.0,0.0,0.0,,,,,,,8217.413,61345.12,61345.12,0.0,0.0,0.0,3576.936,39162.62,39162.62
2005-07-01,0.0,0.0,0.0,,,,,,,10298.875,76883.78,76883.78,0.0,0.0,0.0,4482.9710000000005,49082.47,49082.47
2005-08-01,0.0,0.0,0.0,,,,,,,10668.519,79643.26,79643.26,0.0,0.0,0.0,4643.872,50844.12,50844.12
2005-09-01,0.0,0.0,0.0,,,,,,,8118.076,60603.55,60603.55,0.0,0.0,0.0,3533.6960000000004,38689.2,38689.2
2005-10-01,0.0,0.0,0.0,,,,,,,6485.352,48414.84,48414.84,0.0,0.0,0.0,2822.992,30907.95,30907.95
2005-11-01,0.0,0.0,0.0,,,,,,,5533.079000000001,41305.87,41305.87,0.0,0.0,0.0,2408.4790000000003,26369.59,26369.59
2005-12-01,0.0,0.0,0.0,,,,,,,5399.716,40310.29,40310.29,0.0,0.0,0.0,2350.4280000000003,25734.01,25734.01
2006-01-01,0.0,0.0,0.0,,,,,,,3369.277,32258.0,32258.0,0.0,0.0,0.0,1155.083,11851.0,11851.0
2006-02-01,0.0,0.0,0.0,,,,,,,3997.3410000000003,38271.0,38271.0,0.0,0.0,0.0,1370.401,14060.0,14060.0
2006-03-01,0.0,0.0,0.0,,,,,,,4559.3330000000005,43651.0,43651.0,0.0,0.0,0.0,1563.068,16037.0,16037.0
2006-04-01,0.0,0.0,0.0,,,,,,,5099.714,48825.0,48825.0,0.0,0.0,0.0,1748.325,17937.0,17937.0
2006-05-01,0.0,0.0,0.0,,,,,,,5906.742,56552.0,56552.0,0.0,0.0,0.0,2024.997,20776.0,20776.0
2006-06-01,0.0,0.0,0.0,,,,,,,7526.796,72062.0,72062.0,0.0,0.0,0.0,2580.397,26474.0,26474.0
2006-07-01,0.0,0.0,0.0,,,,,,,9462.825,90598.0,90598.0,0.0,0.0,0.0,3244.1220000000003,33284.0,33284.0
2006-08-01,0.0,0.0,0.0,,,,,,,9582.163,91741.0,91741.0,0.0,0.0,0.0,3285.0350000000003,33704.0,33704.0
2006-09-01,0.0,0.0,0.0,,,,,,,6519.725,62420.0,62420.0,0.0,0.0,0.0,2235.145,22932.0,22932.0
2006-10-01,0.0,0.0,0.0,,,,,,,5903.035,56516.0,56516.0,0.0,0.0,0.0,2023.726,20763.0,20763.0
2006-11-01,0.0,0.0,0.0,,,,,,,4383.9220000000005,41972.0,41972.0,0.0,0.0,0.0,1502.932,15420.0,15420.0
2006-12-01,0.0,0.0,0.0,,,,,,,4570.126,43755.0,43755.0,0.0,0.0,0.0,1566.768,16075.0,16075.0
2007-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1844.016,19985.0,19985.0
2007-02-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1707.0330000000001,18501.0,18501.0
2007-03-01,,,,,,,0.0,0.0,0.0,15.395,154.0,154.0,2.0,0.0,0.0,1447.122,15684.0,15684.0
2007-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989.962,21568.0,21568.0
2007-05-01,,,,,,,0.0,0.0,0.0,240.725,2415.0,2415.0,46.0,14.0,14.0,2013.729,21825.0,21825.0
2007-06-01,0.0,0.0,0.0,,,,,,,6863.558,68853.0,68853.0,1206.0,0.0,0.0,2258.809,24482.0,24482.0
2007-07-01,0.0,0.0,0.0,,,,,,,10843.48,108779.0,108779.0,1929.0,3.0,3.0,2786.4790000000003,30201.0,30201.0
2007-08-01,0.0,0.0,0.0,,,,,,,21610.092,216786.0,216786.0,3856.0,1972.0,1972.0,3761.909,40772.0,40772.0
2007-09-01,0.0,0.0,0.0,,,,,,,10531.055,105645.0,105645.0,1867.0,0.0,0.0,2472.051,26793.0,26793.0
2007-10-01,0.0,0.0,0.0,,,,,,,4804.48,48197.0,48197.0,856.0,0.0,0.0,2335.295,25311.0,25311.0
2007-11-01,,,,,,,0.0,0.0,0.0,343.216,3443.0,3443.0,63.0,0.0,0.0,1430.969,15510.0,15510.0
2007-12-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1790.626,19408.0,19408.0
2008-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.307,6983.0,6983.0
2008-02-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.074,5205.0,5205.0
2008-03-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.122,5056.0,5056.0
2008-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.37800000000004,5632.0,5632.0
2008-05-01,0.0,0.0,0.0,,,,,,,1724.1960000000001,18068.0,18068.0,345.0,0.0,0.0,475.422,5448.0,5448.0
2008-06-01,0.0,0.0,0.0,,,,,,,6619.274,69364.0,69364.0,1328.0,0.0,0.0,736.1310000000001,8437.0,8437.0
2008-07-01,0.0,0.0,0.0,,,,,,,10677.275,111890.0,111890.0,2146.0,0.0,0.0,840.2460000000001,9630.0,9630.0
2008-08-01,0.0,0.0,0.0,,,,,,,15108.322,158324.0,158324.0,3080.0,0.0,0.0,862.7080000000001,9888.0,9888.0
2008-09-01,0.0,0.0,0.0,,,,,,,5882.283,61642.0,61642.0,1191.0,0.0,0.0,585.3000000000001,6709.0,6709.0
2008-10-01,,,,,,,0.0,0.0,0.0,336.65000000000003,3528.0,3528.0,67.0,0.0,0.0,596.956,6842.0,6842.0
2008-11-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.377,5299.0,5299.0
2008-12-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.979,7014.0,7014.0
2009-01-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,379.69300000000004,2944.0,2944.0
2009-02-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,346.517,2687.0,2687.0
2009-03-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,386.221,2996.0,2996.0
2009-04-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,301.88100000000003,2342.0,2342.0
2009-05-01,,,,,,,,,,330.423,3664.0,3664.0,55.0,0.0,0.0,346.04,2684.0,2684.0
