measured_on,"Wind - Wind Turbine, Onshore - Wind - Generation","Wind - Wind Turbine, Onshore - Wind - Quantity Consumed For Electricity","Wind - Wind Turbine, Onshore - Wind - Total Fuel Consumed"
2012-07-01,26514.0,252307.0,252307.0
2012-08-01,22877.0,217698.0,217698.0
2012-09-01,30553.0,290742.0,290742.0
2012-10-01,68264.0,649600.0,649600.0
2012-11-01,54758.0,521077.0,521077.0
2012-12-01,56452.0,537197.0,537197.0
2013-01-01,82976.0,791674.0,791674.0
2013-02-01,64371.0,614164.0,614164.0
2013-03-01,66814.0,637472.0,637472.0
2013-04-01,64867.0,618896.0,618896.0
2013-05-01,47801.0,456069.0,456069.0
2013-06-01,37255.0,355450.0,355450.0
2013-07-01,30784.0,293710.0,293710.0
2013-08-01,22209.0,211896.0,211896.0
2013-09-01,37982.0,362386.0,362386.0
2013-10-01,44925.0,428629.0,428629.0
2013-11-01,77923.0,743463.0,743463.0
2013-12-01,55654.0,530995.0,530995.0
2014-01-01,75541.0,718395.0,718395.0
2014-02-01,48941.0,465429.0,465429.0
2014-03-01,70402.0,669523.0,669523.0
2014-04-01,67877.0,645510.0,645510.0
2014-05-01,49342.0,469242.0,469242.0
2014-06-01,43692.0,415511.0,415511.0
2014-07-01,38014.0,361513.0,361513.0
2014-08-01,26815.0,255011.0,255011.0
2014-09-01,33835.0,321771.0,321771.0
2014-10-01,55573.0,528499.0,528499.0
2014-11-01,80548.0,766011.0,766011.0
2014-12-01,56570.0,537981.0,537981.0
2015-01-01,69973.0,652078.0,652078.0
2015-02-01,60849.0,567052.0,567052.0
2015-03-01,60448.0,563315.0,563315.0
2015-04-01,67143.0,625706.0,625706.0
2015-05-01,51175.0,476900.0,476900.0
2015-06-01,32274.0,300761.0,300761.0
2015-07-01,28046.0,261361.0,261361.0
2015-08-01,28112.0,261976.0,261976.0
2015-09-01,37931.0,353479.0,353479.0
2015-10-01,48768.0,454469.0,454469.0
2015-11-01,81424.0,758790.0,758790.0
2015-12-01,75444.0,703063.0,703063.0
2016-01-01,64327.0,593867.0,593867.0
2016-02-01,62764.0,579437.0,579437.0
2016-03-01,54480.0,502959.0,502959.0
2016-04-01,59253.0,547024.0,547024.0
