measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed
2012-01-01,398.392,27627.0,27627.0
2012-02-01,359.955,24952.0,24952.0
2012-03-01,291.037,20180.0,20180.0
2012-04-01,279.419,19367.0,19367.0
2012-05-01,332.041,23026.0,23026.0
2012-06-01,366.717,25423.0,25423.0
2012-07-01,432.82,30003.0,30003.0
2012-08-01,409.645,28398.0,28398.0
2012-09-01,334.761,23198.0,23198.0
2012-10-01,335.69,23262.0,23262.0
2012-11-01,377.918,26194.0,26194.0
2012-12-01,403.605,27970.0,27970.0
2013-01-01,0.334,14638.0,14638.0
2013-02-01,0.324,14145.0,14145.0
2013-03-01,0.312,13632.0,13632.0
