measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,418744.0,4182802.0,4182802.0,229.0,2175.0,2175.0,,,
2003-02-01,347270.0,3422666.0,3422666.0,313.0,2935.0,2935.0,,,
2003-03-01,399678.0,3874078.0,3874078.0,310.0,2859.0,2859.0,,,
2003-04-01,345330.0,3383107.0,3383107.0,722.0,6624.0,6624.0,,,
2003-05-01,349188.0,3422926.0,3422926.0,466.0,4338.0,4338.0,,,
2003-06-01,268089.0,2580568.0,2580568.0,225.0,2076.0,2076.0,,,
2003-07-01,325754.0,3204682.0,3204682.0,477.0,4460.0,4460.0,,,
2003-08-01,284406.0,2796617.0,2796617.0,610.0,5742.0,5742.0,,,
2003-09-01,237524.0,2082266.0,2082266.0,345.0,2894.0,2894.0,,,
2003-10-01,229455.0,2185430.0,2185430.0,737.0,6676.0,6676.0,,,
2003-11-01,364026.0,3466647.0,3466647.0,730.0,6797.0,6797.0,,,
2003-12-01,264693.0,2646590.0,2646590.0,631.0,6044.0,6044.0,,,
2004-01-01,320403.0,2926157.0,2926157.0,767.0,6763.0,6763.0,,,
2004-02-01,343078.0,3271377.0,3271377.0,342.0,3109.0,3109.0,,,
2004-03-01,282970.0,2793548.0,2793548.0,401.0,3776.0,3776.0,,,
2004-04-01,326896.0,3220518.0,3220518.0,407.0,3857.0,3857.0,,,
2004-05-01,329371.0,3485606.0,3485606.0,366.0,3787.0,3787.0,,,
2004-06-01,255986.0,2885618.0,2885618.0,575.0,6310.0,6310.0,,,
2004-07-01,319261.0,3596826.0,3596826.0,299.0,3248.0,3248.0,,,
2004-08-01,282908.0,2994509.0,2994509.0,389.0,3979.0,3979.0,,,
2004-09-01,172661.0,1825095.0,1825095.0,607.0,6368.0,6368.0,,,
2004-10-01,251691.0,2614915.0,2614915.0,481.0,4913.0,4913.0,,,
2004-11-01,281273.0,2730624.0,2730624.0,549.0,5145.0,5145.0,,,
2004-12-01,338439.0,3394456.0,3394456.0,392.0,3864.0,3864.0,,,
2005-01-01,365962.0,3514675.0,3514675.0,360.0,3357.3,3357.3,,,
2005-02-01,373863.0,3626233.1,3626233.1,106.0,963.3,963.3,,,
2005-03-01,381123.0,3751770.4,3751770.4,86.0,806.2,806.2,,,
2005-04-01,273926.0,2669435.3,2669435.3,263.0,2405.4,2405.4,,,
2005-05-01,189706.0,1948854.6,1948854.6,499.0,4827.9,4827.9,,,
2005-06-01,236921.0,2503252.8,2503252.8,523.0,5124.3,5124.3,,,
2005-07-01,363557.0,3761992.0,3761992.0,249.0,2453.4,2453.4,,,
2005-08-01,354847.0,3680424.0,3680424.0,428.0,4152.8,4152.8,,,
2005-09-01,317118.0,3301333.8,3301333.8,309.0,2969.7,2969.7,,,
2005-10-01,350797.0,3450327.8,3450327.8,294.0,2730.3,2730.3,,,
2005-11-01,387346.0,3727602.4,3727602.4,56.0,518.7,518.7,,,
2005-12-01,404259.0,4045104.6,4045104.6,81.0,777.2,777.2,,,
2006-01-01,323963.0,3265602.0,3265602.0,362.0,3426.0,3426.0,,,
2006-02-01,240645.0,2415680.0,2415680.0,146.0,1404.0,1404.0,,,
2006-03-01,282878.0,2778750.0,2778750.0,283.0,2645.0,2645.0,,,
2006-04-01,114886.0,1208900.0,1208900.0,169.0,1688.0,1688.0,,,
2006-05-01,46365.0,475004.0,475004.0,216.0,2041.0,2041.0,,,
2006-06-01,329700.0,3436884.0,3436884.0,462.0,4524.0,4524.0,,,
2006-07-01,397276.0,4112321.0,4112321.0,149.0,1450.0,1450.0,,,
2006-08-01,386576.0,4082065.0,4082065.0,89.0,887.0,887.0,,,
2006-09-01,261811.0,2771559.0,2771559.0,486.0,4913.0,4913.0,,,
2006-10-01,341009.0,3362528.0,3362528.0,266.0,2451.0,2451.0,,,
2006-11-01,385001.0,3649845.0,3649845.0,163.0,1543.0,1543.0,,,
2006-12-01,342684.0,3334318.0,3334318.0,262.0,2411.0,2411.0,,,
2007-01-01,388143.98,3905077.0,3905077.0,2069.02,20816.0,20816.0,,,
2007-02-01,385436.145,3802280.0,3802280.0,55.855,551.0,551.0,,,
2007-03-01,363980.042,3664178.0,3664178.0,256.959,2587.0,2587.0,0.0,0.0,0.0
2007-04-01,368442.438,3666161.0,3666161.0,246.562,2453.0,2453.0,0.0,0.0,0.0
2007-05-01,323171.672,3385689.0,3385689.0,256.32800000000003,2685.0,2685.0,0.0,0.0,0.0
2007-06-01,244818.051,2588877.0,2588877.0,161.243,1705.0,1705.0,99842.707,1055806.0,1055806.0
2007-07-01,218287.688,2365823.0,2365823.0,321.726,3487.0,3487.0,108979.586,1181131.0,1181131.0
2007-08-01,257222.515,2724682.0,2724682.0,88.561,938.0,938.0,128418.923,1360303.0,1360303.0
2007-09-01,188150.604,1928966.0,1928966.0,257.817,2643.0,2643.0,93928.58,962979.0,962979.0
2007-10-01,266187.358,2691657.0,2691657.0,21.588,218.0,218.0,132897.053,1343840.0,1343840.0
2007-11-01,169249.174,1342552.0,1342552.0,428.42,3398.0,3398.0,84454.405,669926.0,669926.0
2007-12-01,168386.672,1563704.0,1563704.0,606.113,5629.0,5629.0,65593.215,609124.0,609124.0
2008-01-01,258017.44,2491484.0,2491484.0,724.004,6991.0,6991.0,101201.556,977229.0,977229.0
2008-02-01,292641.683,2565815.0,2565815.0,799.8240000000001,7013.0,7013.0,24311.493000000002,213158.0,213158.0
2008-03-01,284860.992,2904314.0,2904314.0,533.7330000000001,5442.0,5442.0,56733.275,578427.0,578427.0
2008-04-01,168726.30000000002,1760164.0,1760164.0,180.26,1880.0,1880.0,68008.441,709469.0,709469.0
2008-05-01,146030.068,1539806.0,1539806.0,185.53900000000002,1956.0,1956.0,81836.393,862919.0,862919.0
2008-06-01,230211.786,2467918.0,2467918.0,207.78,2227.0,2227.0,114786.434,1230534.0,1230534.0
2008-07-01,204026.821,2201659.0,2201659.0,197.63500000000002,2133.0,2133.0,129824.544,1400940.0,1400940.0
2008-08-01,198280.41700000002,2103831.0,2103831.0,303.957,3225.0,3225.0,127623.62700000001,1354135.0,1354135.0
2008-09-01,98503.282,1042897.0,1042897.0,340.303,3603.0,3603.0,63195.415,669078.0,669078.0
2008-10-01,66494.965,722192.0,722192.0,202.907,2204.0,2204.0,43946.128,477292.0,477292.0
2008-11-01,73243.739,823432.0,823432.0,496.276,5579.0,5579.0,47218.985,530853.0,530853.0
2008-12-01,139387.29200000002,1568480.0,1568480.0,665.342,7487.0,7487.0,91330.366,1027711.0,1027711.0
2009-01-01,154701.842,1689285.0,1689285.0,487.452,5323.0,5323.0,102987.706,1124586.0,1124586.0
2009-02-01,68084.431,739193.0,739193.0,415.432,4510.0,4510.0,46637.137,506339.0,506339.0
2009-03-01,101759.065,1078335.0,1078335.0,539.529,5717.0,5717.0,70329.406,745277.0,745277.0
2009-04-01,97768.89,1092045.0,1092045.0,350.906,3920.0,3920.0,67442.204,753306.0,753306.0
