measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,5649.586,94287.0,101525.0,,,,,,,,,
2001-02-01,4856.733,81055.0,87277.0,,,,,,,,,
2001-03-01,5535.969,92391.0,99483.0,,,,,,,,,
2001-04-01,5333.762000000001,89017.0,95849.0,,,,,,,,,
2001-05-01,4544.921,75851.0,81674.0,,,,,,,,,
2001-06-01,5442.9580000000005,90839.0,97812.0,,,,,,,,,
2001-07-01,6792.955,113369.0,122071.0,,,,,,,,,
2001-08-01,8448.345000000001,140997.0,151819.0,,,,,,,,,
2001-09-01,6712.3240000000005,112024.0,120622.0,,,,,,,,,
2001-10-01,6345.207,105897.0,114025.0,,,,,,,,,
2001-11-01,6618.671,110461.0,118940.0,,,,,,,,,
2001-12-01,7206.57,120272.0,129504.0,,,,,,,,,
2002-01-01,1320.579,36848.0,60031.0,,,,,,,,,
2002-02-01,1350.725,37689.0,61401.0,,,,,,,,,
2002-03-01,1336.011,37279.0,60732.0,,,,,,,,,
2002-04-01,1134.975,31669.0,51594.0,,,,,,,,,
2002-05-01,859.743,23989.0,39082.0,,,,,,,,,
2002-06-01,1132.142,31590.0,51465.0,,,,,,,,,
2002-07-01,1439.91,40178.0,65455.0,,,,,,,,,
2002-08-01,1480.4940000000001,41310.0,67300.0,,,,,,,,,
2002-09-01,1257.574,35090.0,57167.0,,,,,,,,,
2002-10-01,1218.999,34014.0,55413.0,,,,,,,,,
2002-11-01,1059.683,29568.0,48171.0,,,,,,,,,
2002-12-01,1534.165,42808.0,69740.0,,,,,,,,,
2003-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
