measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Waste Coal Generation,Waste Coal Quantity Consumed For Electricity,Waste Coal Total Fuel Consumed
2001-01-01,,,,,,,35203.839,365431.0,537501.0
2001-02-01,,,,,,,24177.0,235832.0,338980.0
2001-03-01,,,,,,,37079.0,412918.0,571108.0
2001-04-01,,,,,,,32912.0,354934.0,495344.0
2001-05-01,,,,,,,10957.0,113129.0,159875.0
2001-06-01,,,,,,,12507.0,122329.0,175687.0
2001-07-01,,,,,,,30739.0,317278.0,448418.0
2001-08-01,,,,,,,34892.0,381657.0,530694.0
2001-09-01,,,,,,,35641.0,368734.0,520965.0
2001-10-01,,,,,,,37167.0,409732.0,568482.0
2001-11-01,,,,,,,35844.0,396017.0,549119.0
2001-12-01,,,,,,,37016.0,399174.0,557279.0
2002-01-01,,,,,,,36621.0,548533.0,560132.0
2002-02-01,,,,,,,33098.0,498879.0,509448.0
2002-03-01,,,,,,,36612.0,574770.0,585700.0
2002-04-01,,,,,,,24384.0,417823.0,426118.0
2002-05-01,,,,,,,0.0,0.0,0.0
2002-06-01,,,,,,,0.0,0.0,0.0
2002-07-01,,,,,,,28796.0,445837.0,451276.0
2002-08-01,,,,,,,36196.0,536302.0,544037.0
2002-09-01,,,,,,,35266.0,508685.0,517192.0
2002-10-01,,,,,,,36341.0,534894.0,546104.0
2002-11-01,,,,,,,33221.0,476496.0,489190.0
2002-12-01,,,,,,,36119.0,518905.0,534261.0
2003-01-01,,,,,,,34605.0,543509.0,560378.0
2003-02-01,,,,,,,31778.0,490712.0,505284.0
2003-03-01,,,,,,,36961.0,489473.0,503607.0
2003-04-01,,,,,,,34520.0,514533.0,526253.0
2003-05-01,,,,,,,23908.589,339812.0,348023.0
2003-06-01,,,,,,,38542.601,527859.0,533689.0
2003-07-01,,,,,,,41310.185,552934.0,559000.0
2003-08-01,,,,,,,40741.688,555980.0,561639.0
2003-09-01,,,,,,,39801.554000000004,548138.0,553553.0
2003-10-01,,,,,,,40174.151,580341.0,588796.0
2003-11-01,,,,,,,39955.202000000005,556255.0,564629.0
2003-12-01,,,,,,,42394.364,599226.0,611572.0
