measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed
2003-01-01,8.896,72.0,72.0,10.658000000000001,109.15,109.15
2003-02-01,8.529,69.0,69.0,10.218,104.64,104.64
2003-03-01,8.617,70.0,70.0,10.325,105.74,105.74
2003-04-01,7.878,64.0,64.0,9.439,96.66,96.66
2003-05-01,8.019,65.0,65.0,9.607000000000001,98.39,98.39
2003-06-01,8.379,68.0,68.0,10.039,102.81,102.81
2003-07-01,9.701,79.0,79.0,11.623000000000001,119.03,119.03
2003-08-01,10.381,84.0,84.0,12.437000000000001,127.37,127.37
2003-09-01,8.852,72.0,72.0,10.606,108.62,108.62
2003-10-01,8.622,70.0,70.0,10.33,105.79,105.79
2003-11-01,8.669,70.0,70.0,10.387,106.37,106.37
2003-12-01,9.458,77.0,77.0,11.332,116.05,116.05
2004-01-01,22.751,233.0,233.0,14.083,141.14,141.14
2004-02-01,8.646,89.0,89.0,14.083,141.14,141.14
2004-03-01,0.455,5.0,5.0,14.083,141.14,141.14
2004-04-01,6.37,65.0,65.0,14.083,141.14,141.14
2004-05-01,7.28,75.0,75.0,14.083,141.14,141.14
2004-06-01,17.746000000000002,182.0,182.0,14.083,141.14,141.14
2004-07-01,8.19,84.0,84.0,14.083,141.14,141.14
2004-08-01,1.82,19.0,19.0,14.083,141.14,141.14
2004-09-01,6.37,65.0,65.0,14.083,141.14,141.14
2004-10-01,1.82,19.0,19.0,14.083,141.14,141.14
2004-11-01,0.0,0.0,0.0,14.083,141.14,141.14
2004-12-01,4.55,47.0,47.0,14.083,141.14,141.14
2005-01-01,16.081,162.72,162.72,12.532,125.31,125.31
2005-02-01,5.525,55.91,55.91,10.835,108.34,108.34
2005-03-01,6.1240000000000006,61.97,61.97,11.869,118.68,118.68
2005-04-01,7.417000000000001,75.06,75.06,11.338000000000001,113.36,113.36
2005-05-01,6.889,69.71,69.71,10.256,102.55,102.55
2005-06-01,8.941,90.48,90.48,11.552000000000001,115.51,115.51
2005-07-01,9.101,92.09,92.09,12.4,123.99,123.99
2005-08-01,10.691,108.19,108.19,10.492,104.91,104.91
2005-09-01,6.9990000000000006,70.82,70.82,8.681000000000001,86.81,86.81
2005-10-01,7.772,78.65,78.65,7.409000000000001,74.09,74.09
2005-11-01,6.248,63.23,63.23,7.93,79.29,79.29
2005-12-01,13.212000000000002,133.69,133.69,9.706000000000001,97.05,97.05
2006-01-01,7.1690000000000005,72.0,72.0,14.413,143.0,143.0
2006-02-01,3.7510000000000003,38.0,38.0,12.996,129.0,129.0
2006-03-01,3.1510000000000002,32.0,32.0,11.45,114.0,114.0
2006-04-01,6.0360000000000005,61.0,61.0,12.463000000000001,124.0,124.0
2006-05-01,5.642,57.0,57.0,14.735,146.0,146.0
2006-06-01,5.128,52.0,52.0,14.478000000000002,144.0,144.0
2006-07-01,7.429,75.0,75.0,15.182,151.0,151.0
2006-08-01,7.206,72.0,72.0,15.073,150.0,150.0
2006-09-01,3.31,33.0,33.0,9.784,97.0,97.0
2006-10-01,3.4970000000000003,35.0,35.0,8.625,86.0,86.0
2006-11-01,4.118,41.0,41.0,10.103,100.0,100.0
2006-12-01,4.562,46.0,46.0,10.698,106.0,106.0
2007-01-01,7.566000000000001,75.0,75.0,7.953,79.0,79.0
2007-02-01,23.373,232.0,232.0,6.7620000000000005,67.0,67.0
2007-03-01,4.402,46.0,46.0,8.258000000000001,82.0,82.0
2007-04-01,4.303,41.0,41.0,8.799000000000001,87.0,87.0
2007-05-01,4.727,46.0,46.0,8.288,82.0,82.0
2007-06-01,6.839,70.0,70.0,7.027,69.0,69.0
2007-07-01,6.183000000000001,64.0,64.0,5.431,54.0,54.0
2007-08-01,12.319,122.0,122.0,5.395,53.0,53.0
2007-09-01,5.939,58.0,58.0,4.522,45.0,45.0
2007-10-01,3.882,41.0,41.0,7.771000000000001,77.0,77.0
2007-11-01,4.139,41.0,41.0,5.66,56.0,56.0
2007-12-01,4.329000000000001,41.0,41.0,6.132000000000001,61.0,61.0
2008-01-01,6.126,58.0,58.0,4.948,49.0,49.0
2008-02-01,5.964,58.0,58.0,2.3890000000000002,24.0,24.0
2008-03-01,3.6020000000000003,35.0,35.0,1.2,12.0,12.0
2008-04-01,3.833,41.0,41.0,3.94,39.0,39.0
2008-05-01,2.112,23.0,23.0,3.887,38.0,38.0
2008-06-01,6.573,64.0,64.0,4.963,49.0,49.0
2008-07-01,3.516,35.0,35.0,5.875,58.0,58.0
2008-08-01,1.744,17.0,17.0,4.5200000000000005,45.0,45.0
2008-09-01,2.467,23.0,23.0,3.531,35.0,35.0
2008-10-01,1.102,12.0,12.0,3.286,32.0,32.0
2008-11-01,1.5390000000000001,17.0,17.0,4.989,49.0,49.0
2008-12-01,4.422000000000001,46.0,46.0,4.472,44.0,44.0
2009-01-01,0.913,6.0,6.0,13.642000000000001,133.0,133.0
2009-02-01,0.931,6.0,6.0,9.285,91.0,91.0
2009-03-01,1.026,6.0,6.0,12.587,123.0,123.0
