measured_on,"Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-02-01,,,,12195.0,215738.0,634889.0,17868.0,316087.0,930203.0,217.0,3844.0,11310.0,,,,,,,293.0,5189.0,15271.0,705.0,12469.0,36694.0,39236.0,694100.0,2042647.0
2003-03-01,,,,11401.0,188161.0,587296.0,18984.0,313300.0,977889.0,88.0,1454.0,4540.0,,,,,,,178.0,2935.0,9160.0,783.0,12917.0,40317.0,35476.0,585474.0,1827414.0
2003-04-01,,,,11396.0,173110.0,587585.0,23430.0,355910.0,1208064.0,211.0,3209.0,10891.0,,,,,,,811.0,12326.0,41838.0,1670.0,25372.0,86122.0,40212.0,610822.0,2073315.0
2003-05-01,,,,9929.0,151704.0,583810.0,10052.0,153581.0,591036.0,744.0,11365.0,43739.0,0.0,0.0,0.0,,,,411.0,6285.0,24186.0,1650.0,25209.0,97011.0,33868.0,517474.0,1991424.0
2003-06-01,,,,10788.0,162161.0,620354.0,14723.0,221319.0,846668.0,481.0,7234.0,27671.0,0.0,0.0,0.0,,,,321.0,4826.0,18459.0,1997.0,30011.0,114811.0,31949.0,480254.0,1837233.0
2003-07-01,,,,12688.0,171801.0,628936.0,18865.0,255448.0,935156.0,468.0,6343.0,23223.0,0.0,0.0,0.0,,,,604.0,8184.0,29962.0,2546.0,34480.0,126228.0,36572.0,495217.0,1812915.0
2003-08-01,,,,9104.0,130618.0,492050.0,13407.0,192362.0,724649.0,155.0,2227.0,8387.0,0.0,0.0,0.0,,,,1148.0,16466.0,62030.0,772.0,11071.0,41708.0,33449.0,479920.0,1807907.0
2003-09-01,,,,9023.0,221534.0,544024.0,7577.0,186021.0,456816.0,315.0,7735.0,18995.0,332.5,8168.5,20060.0,,,,0.0,0.0,0.0,2850.0,69973.0,171833.0,34643.0,850558.0,2088730.0
2003-10-01,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2003-11-01,,,,8593.936,130454.0,487659.0,15367.0,217280.0,812227.0,1722.0,24348.0,91019.0,0.0,0.0,0.0,,,,1003.0,14177.0,52996.0,2148.0,30377.0,113553.0,31802.0,449674.0,1680947.0
2003-12-01,,,,12283.0,166783.0,613530.0,15687.0,213011.0,783588.0,713.0,9688.0,35635.0,0.0,0.0,0.0,,,,1952.0,26504.0,97499.0,2128.0,28899.0,106310.0,32218.0,437474.0,1609301.0
2004-01-01,,,,16137.11831,96822.59,848035.93,21614.89459,129689.2,1135903.38,1672.63507,10035.8,87900.12,,,,,,,1436.70403,8620.21,75501.5,2022.9563,12137.72,106310.16,39328.1557,235968.64,2066768.58
2004-02-01,,,,11032.44299,66194.58,653611.63,16455.7849,98734.59,974914.84,98.45571,590.73,5832.96,,,,,,,716.39808,4298.38,42442.65,2233.71397,13402.27,132335.28,33770.54835,202623.04,2000719.44
