measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,4932.0,79946.0,79946.0,,,
2003-02-01,870.0,17775.0,17775.0,,,
2003-03-01,-206.0,0.0,0.0,,,
2003-04-01,-187.0,0.0,0.0,,,
2003-05-01,-175.0,0.0,0.0,,,
2003-06-01,-158.0,0.0,0.0,,,
2003-07-01,5005.0,86661.0,86661.0,,,
2003-09-01,-160.0,0.0,0.0,,,
2003-10-01,-131.0,0.0,0.0,,,
2003-11-01,-66.0,0.0,0.0,,,
2003-12-01,-128.0,0.0,0.0,,,
2004-01-01,1260.251,21444.0,21444.0,0.0,0.0,0.0
2004-02-01,1153.674,19631.0,19631.0,0.0,0.0,0.0
2004-03-01,3431.0910000000003,58383.0,58383.0,0.0,0.0,0.0
2004-04-01,535.134,9106.0,9106.0,0.0,0.0,0.0
2004-05-01,3090.848,52593.0,52593.0,0.0,0.0,0.0
2004-06-01,3121.126,53109.0,53109.0,0.0,0.0,0.0
2004-07-01,859.601,14627.0,14627.0,0.0,0.0,0.0
2004-08-01,1616.8210000000001,27512.0,27512.0,0.0,0.0,0.0
2004-09-01,1529.246,26021.0,26021.0,0.0,0.0,0.0
2004-10-01,3290.521,55991.0,55991.0,0.0,0.0,0.0
2004-11-01,964.5870000000001,16413.0,16413.0,0.0,0.0,0.0
2004-12-01,1520.1,25866.0,25866.0,0.0,0.0,0.0
2005-01-01,4938.779,75388.11,75388.11,,,
2005-02-01,4099.894,62582.92,62582.92,,,
2005-03-01,5077.384,77503.84,77503.84,,,
2005-04-01,5002.792,76365.23,76365.23,,,
2005-05-01,5897.483,90022.26,90022.26,,,
2005-06-01,7442.786,113610.58,113610.58,,,
2005-07-01,9328.036,142388.02,142388.02,,,
2005-08-01,9662.834,147498.56,147498.56,,,
2005-09-01,7352.813,112237.18,112237.18,,,
2005-10-01,5874.0,89663.81,89663.81,,,
2005-11-01,5011.495,76498.07,76498.07,,,
2005-12-01,4890.704000000001,74654.26,74654.26,,,
2006-01-01,1426.5990000000002,25412.0,25412.0,,,
2006-02-01,1692.53,30149.0,30149.0,,,
2006-03-01,1930.485,34387.0,34387.0,,,
2006-04-01,2159.29,38463.0,38463.0,,,
2006-05-01,2500.9970000000003,44550.0,44550.0,,,
2006-06-01,3186.95,56768.0,56768.0,,,
2006-07-01,4006.692,71370.0,71370.0,,,
2006-08-01,4057.221,72270.0,72270.0,,,
2006-09-01,2760.542,49173.0,49173.0,,,
2006-10-01,2499.427,44522.0,44522.0,,,
2006-11-01,1856.2130000000002,33064.0,33064.0,,,
2006-12-01,1935.055,34469.0,34469.0,,,
2007-01-01,-168.0,0.0,0.0,,,
2007-02-01,-130.0,0.0,0.0,,,
2007-03-01,-131.0,0.0,0.0,,,
2007-04-01,-124.0,0.0,0.0,,,
2007-05-01,-114.0,0.0,0.0,,,
2007-06-01,519.0,11202.0,11202.0,,,
2007-07-01,6199.0,109390.0,109390.0,,,
2007-08-01,12490.0,221858.0,221858.0,,,
2007-09-01,6928.0,152517.0,152517.0,,,
2007-10-01,-114.0,0.0,0.0,,,
2007-11-01,-110.0,0.0,0.0,,,
2007-12-01,-97.0,0.0,0.0,,,
2008-01-01,-149.0,0.0,0.0,,,
2008-02-01,-129.0,0.0,0.0,,,
2008-03-01,-118.0,0.0,0.0,,,
2008-04-01,-102.0,0.0,0.0,,,
2008-05-01,-47.0,2193.0,2193.0,,,
2008-06-01,4634.0,91435.0,91435.0,,,
2008-07-01,7543.0,143183.0,143183.0,,,
2008-08-01,7160.0,138641.0,138641.0,,,
2008-09-01,4186.0,80748.0,80748.0,,,
2008-10-01,-62.0,378.0,378.0,,,
2008-11-01,-88.0,0.0,0.0,,,
2008-12-01,-134.0,0.0,0.0,,,
2009-01-01,-145.0,0.0,0.0,,,
2009-02-01,-114.0,181.0,181.0,,,
2009-03-01,-121.0,847.0,847.0,,,
2009-04-01,-126.0,226.0,226.0,,,
2009-05-01,-137.0,366.0,366.0,,,
2009-06-01,2394.0,45073.0,45073.0,,,
2009-07-01,17727.0,269106.0,269106.0,,,
2009-08-01,16504.0,241122.0,241122.0,,,
2009-09-01,8847.0,119521.0,119521.0,,,
2009-10-01,-86.0,0.0,0.0,,,
2009-11-01,-104.0,0.0,0.0,,,
2009-12-01,-113.0,0.0,0.0,,,
2010-01-01,-114.0,0.0,0.0,,,
2010-02-01,-124.0,0.0,0.0,,,
2010-03-01,-119.0,0.0,0.0,,,
2010-04-01,-84.0,0.0,0.0,,,
2010-05-01,-85.0,0.0,0.0,,,
2010-06-01,16417.0,236825.0,236825.0,,,
2010-07-01,19480.0,289508.0,289508.0,,,
2010-08-01,16172.0,242809.0,242809.0,,,
2010-09-01,17578.0,267432.0,267432.0,,,
2010-10-01,-100.0,0.0,0.0,,,
2010-11-01,-134.0,0.0,0.0,,,
2010-12-01,-144.0,0.0,0.0,,,
2011-01-01,-89.0,0.0,0.0,,,
2011-02-01,-84.0,0.0,0.0,,,
2011-03-01,-85.0,0.0,0.0,,,
2011-04-01,-65.0,0.0,0.0,,,
2011-05-01,5496.0,89175.0,89175.0,,,
2011-06-01,11015.0,154854.0,154854.0,,,
2011-07-01,-19.0,0.0,0.0,,,
2011-08-01,-12.0,0.0,0.0,,,
2011-09-01,-39.0,0.0,0.0,,,
2011-10-01,5865.0,79607.0,79607.0,,,
2011-11-01,-86.0,0.0,0.0,,,
2011-12-01,-80.0,0.0,0.0,,,
2012-01-01,-135.0,0.0,0.0,,,
2012-02-01,-133.0,0.0,0.0,,,
2012-03-01,-112.0,0.0,0.0,,,
2012-04-01,-66.0,0.0,0.0,,,
2012-05-01,-71.0,0.0,0.0,,,
2012-06-01,-64.0,0.0,0.0,,,
2012-07-01,-69.0,0.0,0.0,,,
2012-08-01,-69.0,0.0,0.0,,,
2012-09-01,-13.0,0.0,0.0,,,
2012-10-01,-28.0,0.0,0.0,,,
2012-11-01,-99.0,0.0,0.0,,,
2012-12-01,-92.0,0.0,0.0,,,
2013-01-01,-103.0,0.0,0.0,,,
2013-02-01,-87.0,0.0,0.0,,,
2013-03-01,-109.0,0.0,0.0,,,
2013-04-01,-98.0,0.0,0.0,,,
2013-05-01,-59.0,0.0,0.0,,,
2013-06-01,-61.0,0.0,0.0,,,
2013-07-01,-67.0,0.0,0.0,,,
2013-08-01,-60.0,0.0,0.0,,,
2013-09-01,-57.0,0.0,0.0,,,
2013-10-01,-26.0,0.0,0.0,,,
2013-11-01,-29.0,0.0,0.0,,,
2013-12-01,0.0,0.0,0.0,,,
2014-01-01,0.0,0.0,0.0,,,
2014-02-01,0.0,0.0,0.0,,,
2014-03-01,0.0,0.0,0.0,,,
2014-04-01,0.0,0.0,0.0,,,
2014-05-01,0.0,0.0,0.0,,,
2014-06-01,0.0,0.0,0.0,,,
2014-07-01,0.0,0.0,0.0,,,
2014-08-01,0.0,0.0,0.0,,,
2014-09-01,0.0,0.0,0.0,,,
2014-10-01,0.0,0.0,0.0,,,
2014-11-01,0.0,0.0,0.0,,,
2014-12-01,0.0,0.0,0.0,,,
