measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,72.0,835.0,835.0,183.0,4900.0,4900.0
2003-02-01,40.0,922.0,922.0,2200.0,24291.0,24291.0
2003-03-01,206.0,2221.0,2221.0,1007.0,8957.0,8957.0
2003-04-01,,,,97.0,2458.0,2458.0
2003-05-01,-15.0,0.0,0.0,-34.0,0.0,0.0
2003-06-01,-15.0,0.0,0.0,-22.0,0.0,0.0
2003-07-01,-21.0,0.0,0.0,104.0,2950.0,2950.0
2003-08-01,43.0,934.0,934.0,552.0,12093.0,12093.0
2003-09-01,30.0,621.0,621.0,146.0,3079.0,3079.0
2003-10-01,-11.0,0.0,0.0,-7.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,-38.0,0.0,0.0
2003-12-01,-30.0,0.0,0.0,-17.0,0.0,0.0
2004-01-01,2.033,24.0,24.0,22.7,375.0,375.0
2004-02-01,137.043,1651.0,1651.0,18.798000000000002,311.0,311.0
2004-03-01,1.627,20.0,20.0,20.488,339.0,339.0
2004-04-01,1.22,15.0,15.0,25.09,415.0,415.0
2004-05-01,6.913,83.0,83.0,23.585,390.0,390.0
2004-06-01,38.632000000000005,465.0,465.0,50.524,835.0,835.0
2004-07-01,0.0,0.0,0.0,21.864,361.0,361.0
2004-08-01,17.486,211.0,211.0,31.245,516.0,516.0
2004-09-01,14.233,171.0,171.0,27.77,459.0,459.0
2004-10-01,0.8130000000000001,10.0,10.0,14.062000000000001,232.0,232.0
2004-11-01,0.0,0.0,0.0,22.442,371.0,371.0
2004-12-01,0.0,0.0,0.0,17.433,288.0,288.0
2005-01-01,27.261000000000003,881.75,881.75,216.48700000000002,3195.2,3195.2
2005-02-01,9.366,302.94,302.94,173.191,2556.18,2556.18
2005-03-01,10.381,335.77,335.77,240.335,3547.17,3547.17
2005-04-01,12.574,406.72,406.72,228.139,3367.17,3367.17
2005-05-01,11.678,377.73,377.73,218.155,3219.82,3219.82
2005-06-01,15.157,490.27,490.27,411.815,6078.1,6078.1
2005-07-01,15.428,499.03,499.03,542.135,8001.53,8001.53
2005-08-01,18.125,586.24,586.24,538.557,7948.72,7948.72
2005-09-01,11.865,383.76,383.76,326.062,4812.44,4812.44
2005-10-01,13.176,426.17,426.17,231.197,3412.31,3412.31
2005-11-01,10.592,342.6,342.6,202.626,2990.61,2990.61
2005-12-01,22.397000000000002,724.43,724.43,253.3,3738.53,3738.53
2006-01-01,7.1690000000000005,447.0,447.0,109.99300000000001,2177.0,2177.0
2006-02-01,3.7510000000000003,234.0,234.0,124.337,2461.0,2461.0
2006-03-01,3.1510000000000002,196.0,196.0,163.847,3243.0,3243.0
2006-04-01,6.0360000000000005,376.0,376.0,135.589,2683.0,2683.0
2006-05-01,5.642,351.0,351.0,178.605,3535.0,3535.0
2006-06-01,5.128,319.0,319.0,230.06400000000002,4553.0,4553.0
2006-07-01,7.429,463.0,463.0,411.69100000000003,8148.0,8148.0
2006-08-01,7.206,449.0,449.0,365.824,7240.0,7240.0
2006-09-01,3.31,206.0,206.0,215.185,4259.0,4259.0
2006-10-01,3.4970000000000003,218.0,218.0,233.08800000000002,4613.0,4613.0
2006-11-01,4.118,256.0,256.0,156.703,3101.0,3101.0
2006-12-01,4.562,284.0,284.0,159.073,3148.0,3148.0
2007-01-01,5.319,86.0,86.0,107.167,1773.0,1773.0
2007-02-01,28.776,478.0,478.0,172.095,2847.0,2847.0
2007-03-01,9.415,156.0,156.0,115.43,1910.0,1910.0
2007-04-01,5.595,92.0,92.0,113.274,1875.0,1875.0
2007-05-01,15.175,253.0,253.0,144.885,2397.0,2397.0
2007-06-01,14.057,230.0,230.0,187.56,3103.0,3103.0
2007-07-01,14.227,236.0,236.0,172.49800000000002,2854.0,2854.0
2007-08-01,31.828000000000003,524.0,524.0,287.582,4758.0,4758.0
2007-09-01,14.73,242.0,242.0,137.118,2269.0,2269.0
2007-10-01,19.78,328.0,328.0,142.679,2361.0,2361.0
2007-11-01,3.9160000000000004,63.0,63.0,92.17200000000001,1525.0,1525.0
2007-12-01,7.425,121.0,121.0,137.297,2271.0,2271.0
2008-01-01,7.4830000000000005,405.0,405.0,16.517,893.0,893.0
2008-02-01,-12.171000000000001,138.0,138.0,-199.829,2274.0,2274.0
2008-03-01,0.0,0.0,0.0,13.0,1100.0,1100.0
2008-04-01,0.0,0.0,0.0,74.0,2606.0,2606.0
2008-05-01,0.0,0.0,0.0,-30.0,171.0,171.0
2008-06-01,0.526,12.0,12.0,265.474,5822.0,5822.0
2008-07-01,0.384,12.0,12.0,69.616,2093.0,2093.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,16.0,1306.0,1306.0
2008-10-01,-0.034,6.0,6.0,-3.966,681.0,681.0
2008-11-01,-28.5,0.0,0.0,-28.5,0.0,0.0
2008-12-01,-72.0,232.0,232.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,-0.5,0.0,0.0,-0.5,0.0,0.0
2009-03-01,-348.0,0.0,0.0,-348.0,0.0,0.0
2009-04-01,-228.5,0.0,0.0,-228.5,0.0,0.0
2009-05-01,-25.5,0.0,0.0,-25.5,0.0,0.0
2009-06-01,-24.0,0.0,0.0,-24.0,0.0,0.0
2009-07-01,-158.0,0.0,0.0,-158.0,0.0,0.0
2009-08-01,-24.5,0.0,0.0,-24.5,0.0,0.0
2009-09-01,0.059000000000000004,6.0,6.0,10.941,1081.0,1081.0
2009-10-01,29.191000000000003,689.0,689.0,118.80900000000001,2805.0,2805.0
2009-11-01,-30.0,0.0,0.0,-30.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,92.0,2431.0,2431.0
2010-01-01,0.0,0.0,0.0,-48.0,230.0,230.0
2010-02-01,-6.742,0.0,0.0,-61.258,0.0,0.0
2010-03-01,20.43,658.0,658.0,51.57,1660.0,1660.0
2010-04-01,0.0,0.0,0.0,33.0,1257.0,1257.0
2010-05-01,-4.66,0.0,0.0,-42.34,0.0,0.0
2010-06-01,76.0,3154.0,3154.0,0.0,0.0,0.0
2010-07-01,590.0,5154.0,5154.0,0.0,0.0,0.0
2010-08-01,105.933,2250.0,2250.0,137.067,2912.0,2912.0
2010-09-01,-28.0,12.0,12.0,0.0,0.0,0.0
2010-10-01,-2.974,0.0,0.0,-27.026,0.0,0.0
2010-11-01,-49.0,624.0,624.0,0.0,0.0,0.0
2010-12-01,76.402,2624.0,2624.0,21.598000000000003,742.0,742.0
2011-01-01,-37.686,215.0,215.0,-35.314,201.0,201.0
2011-02-01,-34.225,272.0,272.0,-12.775,102.0,102.0
2011-03-01,-25.004,388.0,388.0,-16.996,264.0,264.0
2011-04-01,-18.0,538.0,538.0,0.0,0.0,0.0
2011-05-01,168.869,2469.0,2469.0,76.131,1113.0,1113.0
2011-06-01,221.73,2705.0,2705.0,443.27,5408.0,5408.0
2011-07-01,274.852,5014.0,5014.0,426.148,7774.0,7774.0
2011-08-01,46.185,1340.0,1340.0,51.815,1503.0,1503.0
2011-09-01,2.117,227.0,227.0,5.883,632.0,632.0
2011-10-01,-27.768,0.0,0.0,-10.232,0.0,0.0
2011-11-01,-38.728,0.0,0.0,-14.272,0.0,0.0
2011-12-01,10.065,691.0,691.0,12.935,889.0,889.0
2012-01-01,0.0,0.0,0.0,-56.0,2357.0,2357.0
2012-02-01,7.084,636.0,636.0,6.916,621.0,621.0
2012-03-01,-11.654,0.0,0.0,-15.346,0.0,0.0
2012-04-01,-9.0,6.0,6.0,0.0,0.0,0.0
2012-05-01,331.0,5745.0,5745.0,0.0,0.0,0.0
2012-06-01,142.237,3693.0,3693.0,67.763,1760.0,1760.0
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,-5.579,1702.0,1702.0,-39.421,12029.0,12029.0
2012-09-01,-14.243,0.0,0.0,-18.757,0.0,0.0
2012-10-01,-6.824,17.0,17.0,-12.176,31.0,31.0
2012-11-01,-23.919,340.0,340.0,-1.081,15.0,15.0
2012-12-01,0.0,0.0,0.0,-28.0,155.0,155.0
2013-01-01,-21.0,549.0,549.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,-43.0,40.0,40.0
2013-03-01,-8.779,139.0,139.0,-9.221,146.0,146.0
2013-04-01,11.0,983.0,983.0,0.0,0.0,0.0
2013-05-01,0.0,341.0,341.0,0.0,216.0,216.0
2013-06-01,72.905,1433.0,1433.0,368.095,7237.0,7237.0
2013-07-01,85.778,2382.0,2382.0,30.222,839.0,839.0
2013-08-01,1.72,41.0,41.0,147.28,3476.0,3476.0
2013-09-01,0.0,0.0,0.0,37.0,1655.0,1655.0
2013-10-01,-26.0,319.0,319.0,0.0,0.0,0.0
2013-11-01,-20.998,12.0,12.0,-26.002,14.0,14.0
2013-12-01,-71.0,6.0,6.0,0.0,0.0,0.0
2014-01-01,14.039,439.0,439.0,102.961,3222.0,3222.0
2014-02-01,-23.767,0.0,0.0,-49.233,0.0,0.0
2014-03-01,13.285,259.0,259.0,334.715,6530.0,6530.0
2014-04-01,-24.996,478.0,478.0,-3.004,57.0,57.0
2014-05-01,49.063,1287.0,1287.0,9.937,261.0,261.0
2014-06-01,0.0,0.0,0.0,-39.0,349.0,349.0
2014-07-01,-47.0,6.0,6.0,0.0,0.0,0.0
2014-08-01,61.06,1334.0,1334.0,110.94,2423.0,2423.0
2014-09-01,33.17,1141.0,1141.0,85.83,2952.0,2952.0
2014-10-01,-49.0,17.0,17.0,0.0,0.0,0.0
2014-11-01,-44.001,145.0,145.0,-4.999,16.0,16.0
2014-12-01,-40.0,587.0,587.0,0.0,0.0,0.0
2015-01-01,-24.787,0.0,0.0,-65.213,0.0,0.0
2015-02-01,-26.827,357.0,357.0,-26.173,348.0,348.0
2015-03-01,-18.205,812.0,812.0,-3.795,169.0,169.0
2015-04-01,-44.0,265.0,265.0,0.0,0.0,0.0
2015-05-01,340.8,6941.0,6941.0,175.2,3568.0,3568.0
2015-06-01,-15.369,255.0,255.0,-18.631,309.0,309.0
2015-07-01,24.167,845.0,845.0,17.833,624.0,624.0
2015-08-01,0.0,0.0,0.0,48.0,1847.0,1847.0
2015-09-01,0.0,0.0,0.0,-30.0,387.0,387.0
2015-10-01,-12.669,0.0,0.0,-33.331,0.0,0.0
2015-11-01,-48.0,12.0,12.0,0.0,0.0,0.0
2015-12-01,-13.495,0.0,0.0,-35.505,0.0,0.0
2016-01-01,-53.75,0.0,0.0,-39.25,0.0,0.0
2016-02-01,0.0,0.0,0.0,-41.0,182.0,182.0
2016-03-01,0.0,0.0,0.0,-49.0,26.0,26.0
2016-04-01,37.928,1061.0,1061.0,11.072,310.0,310.0
2016-05-01,0.0,0.0,0.0,-21.0,508.0,508.0
2016-06-01,25.271,638.0,638.0,43.729,1104.0,1104.0
2016-07-01,688.0,10028.0,10028.0,0.0,0.0,0.0
2016-08-01,477.0,6438.0,6438.0,0.0,0.0,0.0
2016-09-01,62.467,1073.0,1073.0,143.533,2465.0,2465.0
2016-10-01,-39.0,46.0,46.0,0.0,0.0,0.0
2016-11-01,-19.65,0.0,0.0,-14.35,0.0,0.0
2016-12-01,-30.054,0.0,0.0,-21.946,0.0,0.0
2017-01-01,36.649,720.0,720.0,164.387,3243.0,3243.0
2017-02-01,23.672,464.0,464.0,134.161,2646.0,2646.0
2017-03-01,26.471,522.0,522.0,212.205,4186.0,4186.0
2017-04-01,31.046,615.0,615.0,151.156,2982.0,2982.0
2017-05-01,29.597,586.0,586.0,176.659,3484.0,3484.0
2017-06-01,27.905,551.0,551.0,198.103,3908.0,3908.0
2017-07-01,24.741,487.0,487.0,236.1,4657.0,4657.0
2017-08-01,39.324,778.0,778.0,210.514,4152.0,4152.0
2017-09-01,35.37,696.0,696.0,185.204,3654.0,3654.0
2017-10-01,33.612,662.0,662.0,203.392,4012.0,4012.0
2017-11-01,34.376,679.0,679.0,171.932,3391.0,3391.0
2017-12-01,69.695,1375.0,1375.0,213.729,4216.0,4216.0
2018-01-01,104.82,1578.0,1578.0,457.218,6903.0,6903.0
2018-02-01,75.551,1143.0,1143.0,396.368,5986.0,5986.0
2018-03-01,160.055,2420.0,2420.0,525.635,7938.0,7938.0
2018-04-01,167.033,2524.0,2524.0,437.495,6606.0,6606.0
2018-05-01,165.341,2495.0,2495.0,477.622,7213.0,7213.0
2018-06-01,112.835,1706.0,1706.0,417.784,6309.0,6309.0
2018-07-01,77.14,1166.0,1166.0,460.555,6955.0,6955.0
2018-08-01,97.747,1474.0,1474.0,478.281,7223.0,7223.0
2018-09-01,99.55,1503.0,1503.0,397.521,6003.0,6003.0
2018-10-01,132.828,2008.0,2008.0,376.637,5688.0,5688.0
2018-11-01,111.964,1689.0,1689.0,335.061,5060.0,5060.0
2018-12-01,121.932,1840.0,1840.0,369.027,5573.0,5573.0
2019-01-01,0.0,0.0,0.0,89.76,1667.0,1667.0
2019-02-01,0.0,0.0,0.0,76.746,1425.0,1425.0
2019-03-01,0.0,0.0,0.0,82.237,1527.0,1527.0
2019-04-01,0.0,0.0,0.0,84.89,1576.0,1576.0
2019-05-01,0.0,0.0,0.0,80.4,1493.0,1493.0
2019-06-01,0.0,0.0,0.0,83.726,1554.0,1554.0
2019-07-01,0.0,0.0,0.0,114.295,2122.0,2122.0
2019-08-01,0.0,0.0,0.0,107.042,1987.0,1987.0
2019-09-01,0.0,0.0,0.0,84.927,1577.0,1577.0
2019-10-01,0.0,0.0,0.0,99.971,1856.0,1856.0
2019-11-01,0.0,0.0,0.0,90.724,1685.0,1685.0
2019-12-01,0.0,0.0,0.0,95.282,1769.0,1769.0
2020-01-01,70.191,1422.0,1422.0,167.646,3409.0,3409.0
2020-02-01,29.941,609.0,609.0,147.56,3001.0,3001.0
2020-03-01,64.528,1311.0,1311.0,140.411,2855.0,2855.0
2020-04-01,35.882,731.0,731.0,124.915,2540.0,2540.0
2020-05-01,77.193,1573.0,1573.0,126.572,2574.0,2574.0
2020-06-01,73.036,1486.0,1486.0,138.025,2807.0,2807.0
2020-07-01,83.647,1700.0,1700.0,185.718,3777.0,3777.0
2020-08-01,121.813,2478.0,2478.0,148.345,3016.0,3016.0
2020-09-01,51.889,1056.0,1056.0,128.567,2614.0,2614.0
2020-10-01,21.388,435.0,435.0,140.634,2859.0,2859.0
2020-11-01,26.78,545.0,545.0,107.54,2187.0,2187.0
2020-12-01,87.917,1787.0,1787.0,133.862,2722.0,2722.0
2021-01-01,175.493,2716.0,2716.0,695.672,10787.0,10787.0
2021-02-01,245.911,3813.0,3813.0,733.904,11378.0,11378.0
2021-03-01,148.633,2304.0,2304.0,478.303,7416.0,7416.0
2021-04-01,176.741,2739.0,2739.0,582.75,9035.0,9035.0
