measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,39963.0,490920.0,490920.0,0.0,0.0,0.0,,,,,,,,,
2003-02-01,31780.0,402864.0,402864.0,25.0,290.0,290.0,,,,,,,,,
2003-03-01,31154.0,404040.0,404040.0,56.0,754.0,754.0,,,,,,,,,
2003-04-01,35635.0,460728.0,460728.0,13.0,174.0,174.0,,,,,,,,,
2003-05-01,27843.0,378648.0,378648.0,58.0,812.0,812.0,,,,,,,,,
2003-06-01,28144.0,364896.0,364896.0,43.0,580.0,580.0,,,,,,,,,
2003-07-01,35586.0,451056.0,451056.0,21.0,273.0,273.0,,,,,,,,,
2003-08-01,34683.0,450312.0,450312.0,30.0,406.0,406.0,,,,,,,,,
2003-09-01,23511.0,336264.0,336264.0,90.0,1328.0,1328.0,,,,,,,,,
2003-10-01,33056.0,421320.0,421320.0,4.0,58.0,58.0,,,,,,,,,
2003-11-01,30110.0,392880.0,392880.0,219.0,2946.0,2946.0,,,,,,,,,
2003-12-01,25238.0,334440.0,334440.0,43.0,580.0,580.0,,,,,,,,,
2004-01-01,36709.0,480192.0,480192.0,12.0,157.0,157.0,0.0,0.0,0.0,,,,,,
2004-02-01,33780.0,427608.0,427608.0,27.0,348.0,348.0,0.0,0.0,0.0,,,,,,
2004-03-01,9663.0,171288.0,171288.0,35.0,638.0,638.0,0.0,0.0,0.0,,,,,,
2004-04-01,32913.0,428928.0,428928.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-05-01,39681.0,508584.0,508584.0,9.0,122.0,122.0,0.0,0.0,0.0,,,,,,
2004-06-01,25640.0,329520.0,329520.0,71.0,940.0,940.0,0.0,0.0,0.0,,,,,,
2004-07-01,25955.0,343800.0,343800.0,64.0,870.0,870.0,380.0,5223.0,5223.0,,,,,,
2004-08-01,16245.0,215160.0,215160.0,6.0,122.0,122.0,174.0,3805.0,3805.0,,,,,,
2004-09-01,12337.0,180408.0,180408.0,390.0,5870.0,5870.0,320.0,4845.0,4845.0,,,,,,
2004-10-01,4921.0,103992.0,103992.0,46.0,1856.0,1856.0,266.0,10773.0,10773.0,,,,,,
2004-11-01,8617.0,145248.0,145248.0,95.0,1641.0,1641.0,0.0,0.0,0.0,,,,,,
2004-12-01,12875.0,188520.0,188520.0,112.0,1682.0,1682.0,0.0,0.0,0.0,,,,,,
2005-01-01,18848.0,277992.0,277992.0,373.0,5672.4,5672.4,0.0,0.0,0.0,,,,,,
2005-02-01,35753.0,463008.0,463008.0,26.0,348.0,348.0,0.0,0.0,0.0,,,,,,
2005-03-01,30670.0,407358.6,407358.6,60.0,812.0,812.0,0.0,0.0,0.0,,,,,,
2005-04-01,10415.0,120212.1,120212.1,1293.0,15184.4,15184.4,0.0,0.0,0.0,,,,,,
2005-05-01,969.0,75286.2,75286.2,10.0,812.0,812.0,0.0,0.0,0.0,,,,,,
2005-06-01,26047.0,344533.6,344533.6,56.0,754.0,754.0,0.0,0.0,0.0,,,,,,
2005-07-01,37177.0,509117.6,509117.6,13.0,174.0,174.0,0.0,0.0,0.0,,,,,,
2005-08-01,39944.0,585368.4,585368.4,22.0,290.0,290.0,0.0,0.0,0.0,,,,,,
2005-09-01,36598.0,432938.0,432938.0,9.0,114.0,114.0,0.0,0.0,0.0,,,,,,
2005-10-01,39441.0,423460.0,423460.0,9.0,114.0,114.0,0.0,0.0,0.0,,,,,,
2005-11-01,23752.0,264140.0,264140.0,156.0,2103.3,2103.3,0.0,0.0,0.0,,,,,,
2005-12-01,42084.0,450140.0,450140.0,4.0,57.0,57.0,0.0,0.0,0.0,,,,,,
2006-01-01,40631.0,511800.0,511800.0,13.0,171.0,171.0,0.0,0.0,0.0,,,,,,
2006-02-01,38110.0,474336.0,474336.0,18.0,228.0,228.0,0.0,0.0,0.0,,,,,,
2006-03-01,39733.0,514176.0,514176.0,87.0,1140.0,1140.0,0.0,0.0,0.0,,,,,,
2006-04-01,35657.0,376704.0,376704.0,16.0,171.0,171.0,0.0,0.0,0.0,,,,,,
2006-05-01,13293.0,209712.0,209712.0,407.0,6498.0,6498.0,0.0,0.0,0.0,,,,,,
2006-06-01,6735.0,135696.0,135696.0,76.0,1545.0,1545.0,0.0,0.0,0.0,,,,,,
2006-07-01,2283.0,56328.0,56328.0,7.0,171.0,171.0,0.0,0.0,0.0,,,,,,
2006-08-01,40283.0,494640.0,494640.0,37.0,456.0,456.0,0.0,0.0,0.0,,,,,,
2006-09-01,6563.0,141408.0,141408.0,10.0,228.0,228.0,0.0,0.0,0.0,,,,,,
2006-10-01,17698.0,258192.0,258192.0,47.0,701.0,701.0,0.0,0.0,0.0,,,,,,
2006-11-01,18257.0,261500.0,261500.0,1144.0,15920.0,15920.0,0.0,0.0,0.0,,,,,,
2006-12-01,27409.0,358075.0,358075.0,49.0,627.0,627.0,310.0,4026.0,4026.0,,,,,,
2007-01-01,31599.941,392568.0,392568.0,55.059000000000005,684.0,684.0,0.0,0.0,0.0,,,,,,
2007-02-01,30446.081,396900.0,396900.0,139.919,1824.0,1824.0,0.0,0.0,0.0,,,,,,
2007-03-01,34621.516,457900.0,457900.0,112.48400000000001,1488.0,1488.0,0.0,0.0,0.0,,,,,,
2007-04-01,33692.03,440375.0,440375.0,47.97,627.0,627.0,0.0,0.0,0.0,,,,,,
2007-05-01,15543.003,231350.0,231350.0,1378.997,20526.0,20526.0,0.0,0.0,0.0,,,,,,
2007-06-01,37516.689,459350.0,459350.0,9.311,114.0,114.0,0.0,0.0,0.0,,,,,,
2007-07-01,40758.422,507475.0,507475.0,4.578,57.0,57.0,0.0,0.0,0.0,,,,,,
2007-08-01,40267.031,505725.0,505725.0,19.969,251.0,251.0,0.0,0.0,0.0,,,,,,
2007-09-01,35651.695999999996,444648.0,444648.0,39.304,490.0,490.0,0.0,0.0,0.0,,,,,,
2007-10-01,38574.73,500543.0,500543.0,89.27,1158.0,1158.0,0.0,0.0,0.0,,,,,,
2007-11-01,25977.036,338958.0,338958.0,474.964,6198.0,6198.0,0.0,0.0,0.0,,,,,,
2007-12-01,25362.191,344774.0,344774.0,414.809,5639.0,5639.0,0.0,0.0,0.0,,,,,,
2008-01-01,34913.0,451319.0,451319.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-02-01,33171.089,460139.0,460139.0,33.911,470.0,470.0,0.0,0.0,0.0,,,,,,
2008-03-01,35891.328,501374.0,501374.0,45.672000000000004,638.0,638.0,0.0,0.0,0.0,,,,,,
2008-04-01,24978.978,338431.0,338431.0,68.022,922.0,922.0,0.0,0.0,0.0,,,,,,
2008-05-01,11349.347,190583.0,190583.0,306.653,5149.0,5149.0,0.0,0.0,0.0,,,,,,
2008-06-01,30596.563,392733.0,392733.0,22.437,288.0,288.0,0.0,0.0,0.0,,,,,,
2008-07-01,30057.516,395296.0,395296.0,42.484,559.0,559.0,0.0,0.0,0.0,,,,,,
2008-08-01,9613.102,173762.0,173762.0,52.898,956.0,956.0,0.0,0.0,0.0,,,,,,
2008-09-01,9325.907000000001,175442.0,175442.0,59.093,1112.0,1112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,6058.633000000001,146077.0,146077.0,214.36700000000002,5169.0,5169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,13676.206,237633.0,237633.0,227.794,3958.0,3958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,32247.440000000002,477319.0,477319.0,63.56,941.0,941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,39454.362,486047.0,486047.0,28.638,353.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,12192.11,230531.0,230531.0,47.89,906.0,906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,9922.566,212669.0,212669.0,27.434,588.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,2694.295,68987.0,68987.0,60.705,1554.0,1554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,5377.375,139801.0,139801.0,146.625,3812.0,3812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,8742.879,195223.0,195223.0,95.12100000000001,2124.0,2124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,4038.228,117519.0,117519.0,95.772,2787.0,2787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,9453.219000000001,168425.0,168425.0,172.781,3078.0,3078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-01,2081.9230000000002,92097.0,92097.0,39.077000000000005,1729.0,1729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-01,0.0,33395.0,33395.0,0.0,14670.0,14670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,803.3810000000001,60844.0,60844.0,164.619,12467.0,12467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,21392.935,296376.0,296376.0,50.065,694.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,28857.916,369519.0,369519.0,27.084,347.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,29757.549,394241.0,394241.0,17.451,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,0.0,58143.0,58143.0,0.0,4323.0,4323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,6406.613,130582.0,130582.0,62.387,1272.0,1272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,2569.563,71231.0,71231.0,623.437,17282.0,17282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,27475.187,348060.0,348060.0,22.813000000000002,289.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,30139.044,381815.0,381815.0,36.956,468.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,17626.653,253484.0,253484.0,72.34700000000001,1040.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-01,6901.128000000001,138758.0,138758.0,25.872,520.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,3302.2690000000002,98750.0,98750.0,7.731000000000001,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,0.0,34498.0,34498.0,0.0,21554.0,21554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,21126.381,270808.0,270808.0,58.619,751.0,751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,19813.79,305697.0,305697.0,41.21,636.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,7333.51,148128.0,148128.0,39.49,798.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,1234.5,81690.0,81690.0,14.5,959.0,959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,8093.246,150271.0,150271.0,144.754,2688.0,2688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-01,7976.24,134649.0,134649.0,1036.76,17502.0,17502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,15630.095,227444.0,227444.0,51.905,755.0,755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-01,19871.968,275184.0,275184.0,65.032,901.0,901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-01,9570.527,166636.0,166636.0,81.473,1419.0,1419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-01,1612.625,75437.0,75437.0,58.375,2731.0,2731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,762.36,35370.0,35370.0,360.64,16732.0,16732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,160.826,45832.0,45832.0,50.174,14298.0,14298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-01,0.0,59943.0,59943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,1034.873,87407.0,87407.0,4.127,349.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,396.834,66021.0,66021.0,38.166,6350.0,6350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,0.0,73468.0,73468.0,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,374.259,75072.0,75072.0,1.741,349.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,260.864,5745.0,5745.0,58.136,1280.0,1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,5461.291,79038.0,79038.0,132.709,1921.0,1921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,14121.033,205099.0,205099.0,80.967,1176.0,1176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
