measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2012-08-01,5375.584,74040.0,74040.0,129.416,1783.0,1783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,4261.535,60361.0,60361.0,108.465,1536.0,1536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,0.0,742.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,21.875,922.0,922.0,8.125,343.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,5534.587,62359.0,62359.0,35.413,399.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,6580.597,72402.0,72402.0,72.403,797.0,797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,12565.797,184823.0,184823.0,50.203,738.0,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,7797.053,109296.0,109296.0,64.947,910.0,910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,2340.068,27900.0,27900.0,61.932,738.0,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,214.165,4297.0,4297.0,0.0,0.0,0.0,0.0,0.0,0.0,18354.835,368255.0,368255.0
2013-11-01,0.0,0.0,0.0,189.551,3329.0,3329.0,0.0,0.0,0.0,0.0,0.0,0.0,23246.449,408212.0,408212.0
2013-12-01,0.0,0.0,0.0,165.854,2771.0,2771.0,0.0,0.0,0.0,0.0,0.0,0.0,13689.146,228740.0,228740.0
2014-01-01,0.0,0.0,0.0,242.473,2961.0,3976.0,0.0,0.0,0.0,0.0,0.0,0.0,20216.527,246840.0,331505.0
2014-02-01,0.0,0.0,0.0,169.679,2072.0,3095.0,0.0,0.0,0.0,0.0,0.0,0.0,12423.321,151686.0,226593.0
2014-03-01,0.0,0.0,0.0,24.708,302.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,25309.292,309022.0,446080.0
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4065.0,49633.0,70124.0
2014-05-01,0.0,0.0,0.0,214.948,2624.0,4341.0,0.0,0.0,0.0,,,,10105.052,123381.0,204067.0
2014-06-01,0.0,0.0,0.0,97.897,1195.0,1630.0,0.0,0.0,0.0,,,,22443.103,274026.0,373701.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,26648.0,325367.0,445885.0
2014-08-01,0.0,0.0,0.0,187.252,2286.0,2389.0,0.0,0.0,0.0,,,,25637.748,313032.0,327062.0
2014-09-01,0.0,0.0,0.0,233.6,2763.0,2763.0,0.0,0.0,0.0,,,,25011.4,295878.0,295878.0
2014-10-01,0.0,0.0,0.0,101.487,1239.0,1253.0,0.0,0.0,0.0,,,,32460.513,396337.0,400916.0
2014-11-01,0.0,0.0,0.0,78.339,957.0,997.0,0.0,0.0,0.0,,,,16651.661,203314.0,211906.0
2014-12-01,0.0,0.0,0.0,20.012,244.0,279.0,0.0,0.0,0.0,,,,31068.988,379347.0,432957.0
2015-01-01,0.0,0.0,0.0,45.553,556.0,622.0,0.0,0.0,0.0,,,,22624.447,276240.0,308760.0
2015-02-01,0.0,0.0,0.0,104.217,1272.0,1487.0,0.0,0.0,0.0,,,,23793.783,290518.0,339580.0
2015-03-01,0.0,0.0,0.0,55.2,674.0,845.0,0.0,0.0,0.0,,,,22811.8,278528.0,349341.0
2015-04-01,0.0,0.0,0.0,23.598,288.0,388.0,0.0,0.0,0.0,,,,27551.402,336398.0,452919.0
2015-05-01,0.0,0.0,0.0,98.781,1206.0,1529.0,0.0,0.0,0.0,,,,16688.219,203760.0,258238.0
2015-06-01,0.0,0.0,0.0,31.712,387.0,522.0,0.0,0.0,0.0,,,,27913.288,340816.0,459468.0
2015-07-01,0.0,0.0,0.0,29.018,354.0,429.0,0.0,0.0,0.0,,,,35271.982,430664.0,521790.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,33747.0,412045.0,521720.0
2015-09-01,0.0,0.0,0.0,18.212,222.0,276.0,0.0,0.0,0.0,,,,19807.788,241849.0,300579.0
2015-10-01,0.0,0.0,0.0,107.864,1317.0,1781.0,0.0,0.0,0.0,,,,1350.136,16485.0,22288.0
2015-11-01,0.0,0.0,0.0,154.885,1891.0,2401.0,0.0,0.0,0.0,,,,24904.115,304075.0,386092.0
2015-12-01,0.0,0.0,0.0,49.206,601.0,731.0,0.0,0.0,0.0,,,,33124.794,404448.0,491967.0
2016-01-01,0.0,0.0,0.0,194.494,2964.0,2964.0,0.0,0.0,0.0,,,,27333.506,416521.0,416521.0
2016-02-01,0.0,0.0,0.0,131.093,1931.0,1931.0,0.0,0.0,0.0,,,,27748.907,408828.0,408828.0
2016-03-01,0.0,0.0,0.0,72.009,1137.0,1137.0,0.0,0.0,0.0,,,,32887.991,519203.0,519203.0
2016-04-01,0.0,0.0,0.0,7.221,122.0,122.0,0.0,0.0,0.0,,,,34069.779,574635.0,574635.0
2016-05-01,0.0,0.0,0.0,122.793,1978.0,1978.0,0.0,0.0,0.0,,,,10415.207,167755.0,167755.0
2016-06-01,0.0,0.0,0.0,109.383,1676.0,1676.0,0.0,0.0,0.0,,,,31990.617,490228.0,490228.0
2016-07-01,0.0,0.0,0.0,122.393,1723.0,1723.0,0.0,0.0,0.0,,,,31969.607,449952.0,449952.0
2016-08-01,0.0,0.0,0.0,111.116,1641.0,1641.0,0.0,0.0,0.0,,,,32233.884,476157.0,476157.0
2016-09-01,0.0,0.0,0.0,41.424,655.0,655.0,0.0,0.0,0.0,,,,27204.576,430420.0,430420.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,83.566,1160.0,1160.0,0.0,0.0,0.0,,,,7948.434,110334.0,110334.0
2016-12-01,0.0,0.0,0.0,222.834,3242.0,3242.0,0.0,0.0,0.0,,,,31062.166,451978.0,451978.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,34772.0,522969.0,522969.0
2017-02-01,0.0,0.0,0.0,193.638,3082.0,3082.0,0.0,0.0,0.0,,,,23382.362,372126.0,372126.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,37144.0,592819.0,592819.0
2017-04-01,0.0,0.0,0.0,139.107,1950.0,1950.0,0.0,0.0,0.0,,,,31211.893,437435.0,437435.0
2017-05-01,0.0,0.0,0.0,114.519,1782.0,1782.0,0.0,0.0,0.0,,,,3394.481,52830.0,52830.0
2017-06-01,0.0,0.0,0.0,190.544,2894.0,2894.0,0.0,0.0,0.0,,,,27038.456,410666.0,410666.0
2017-07-01,0.0,0.0,0.0,77.229,1257.0,1257.0,0.0,0.0,0.0,,,,31070.771,505537.0,505537.0
2017-08-01,0.0,0.0,0.0,69.229,1078.0,1078.0,0.0,0.0,0.0,,,,30724.771,478287.0,478287.0
2017-09-01,0.0,0.0,0.0,14.5,230.0,230.0,0.0,0.0,0.0,,,,1040.5,16538.0,16538.0
2017-10-01,0.0,0.0,0.0,84.474,1348.0,1348.0,0.0,0.0,0.0,,,,7259.526,115871.0,115871.0
2017-11-01,0.0,0.0,0.0,318.297,5176.0,5176.0,0.0,0.0,0.0,,,,14482.703,235501.0,235501.0
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,36436.0,566785.0,566785.0
2018-01-01,0.0,0.0,0.0,171.011,2661.0,2661.0,0.0,0.0,0.0,,,,33568.989,522317.0,522317.0
2018-02-01,0.0,0.0,0.0,64.75,985.0,985.0,0.0,0.0,0.0,,,,28730.25,437115.0,437115.0
2018-03-01,0.0,0.0,0.0,65.416,1077.0,1077.0,0.0,0.0,0.0,,,,28898.584,476004.0,476004.0
2018-04-01,0.0,0.0,0.0,18.795,307.0,307.0,0.0,0.0,0.0,,,,22619.205,369505.0,369505.0
2018-05-01,0.0,0.0,0.0,120.339,1969.0,1969.0,0.0,0.0,0.0,,,,23124.661,378421.0,378421.0
2018-06-01,0.0,0.0,0.0,152.907,2520.0,2520.0,0.0,0.0,0.0,,,,29602.093,487852.0,487852.0
2018-07-01,0.0,0.0,0.0,15.555,266.0,266.0,0.0,0.0,0.0,,,,33470.445,573391.0,573391.0
2018-08-01,0.0,0.0,0.0,80.395,1390.0,1390.0,0.0,0.0,0.0,,,,30682.605,530614.0,530614.0
2018-09-01,0.0,0.0,0.0,94.648,1622.0,1622.0,0.0,0.0,0.0,,,,20415.352,349870.0,349870.0
2018-10-01,0.0,0.0,0.0,159.695,2665.0,2665.0,0.0,0.0,0.0,,,,18944.305,316117.0,316117.0
2018-11-01,0.0,0.0,0.0,52.758,898.0,898.0,0.0,0.0,0.0,,,,27260.242,463959.0,463959.0
2018-12-01,0.0,0.0,0.0,127.825,2085.0,2085.0,0.0,0.0,0.0,,,,15262.175,249005.0,249005.0
2019-01-01,0.0,0.0,0.0,113.625,1836.0,1836.0,0.0,0.0,0.0,,,,25895.375,418516.0,418516.0
2019-02-01,0.0,0.0,0.0,83.879,1390.0,1390.0,0.0,0.0,0.0,,,,16505.121,273577.0,273577.0
2019-03-01,0.0,0.0,0.0,222.824,3707.0,3707.0,0.0,0.0,0.0,,,,19456.176,323672.0,323672.0
2019-04-01,0.0,0.0,0.0,129.264,2126.0,2126.0,0.0,0.0,0.0,,,,24641.736,405217.0,405217.0
2019-05-01,0.0,0.0,0.0,233.967,3949.0,3949.0,0.0,0.0,0.0,,,,12740.033,215057.0,215057.0
2019-06-01,0.0,0.0,0.0,96.606,1621.0,1621.0,0.0,0.0,0.0,,,,21155.394,355081.0,355081.0
2019-07-01,0.0,0.0,0.0,23.539,405.0,405.0,0.0,0.0,0.0,,,,31838.461,548301.0,548301.0
2019-08-01,0.0,0.0,0.0,224.133,3747.0,3747.0,0.0,0.0,0.0,,,,24463.867,408957.0,408957.0
2019-09-01,0.0,0.0,0.0,132.387,2316.0,2316.0,0.0,0.0,0.0,,,,27256.613,476913.0,476913.0
