measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,6.795,78.0,78.0,9.527000000000001,109.0,109.0,11256.721,128832.0,128832.0
2003-02-01,,,,6.269,72.0,72.0,8.79,101.0,101.0,10385.956,118866.0,118866.0
2003-03-01,,,,6.9110000000000005,79.0,79.0,9.69,111.0,111.0,11449.262,131035.0,131035.0
2003-04-01,,,,6.5360000000000005,75.0,75.0,9.164,105.0,105.0,10827.402,123918.0,123918.0
2003-05-01,,,,7.4830000000000005,85.0,85.0,10.493,120.0,120.0,12397.19,141884.0,141884.0
2003-06-01,,,,7.797000000000001,89.0,89.0,10.932,125.0,125.0,12916.632,147829.0,147829.0
2003-07-01,,,,10.01,114.0,114.0,14.036000000000001,161.0,161.0,16583.783,189799.0,189799.0
2003-08-01,,,,9.404,107.0,107.0,13.186,151.0,151.0,15579.883000000002,178309.0,178309.0
2003-09-01,,,,8.594000000000001,98.0,98.0,12.05,138.0,138.0,14237.061000000002,162941.0,162941.0
2003-10-01,,,,8.087,92.0,92.0,11.34,130.0,130.0,13398.329,153342.0,153342.0
2003-11-01,,,,6.846,78.0,78.0,9.599,110.0,110.0,11341.684,129804.0,129804.0
2003-12-01,,,,7.269,83.0,83.0,10.192,117.0,117.0,12042.096,137820.0,137820.0
2004-01-01,,,,0.464,5.0,5.0,5.849,64.0,64.0,12732.315,138772.0,138772.0
2004-02-01,,,,1.417,15.0,15.0,7.2940000000000005,80.0,80.0,10913.786,118951.0,118951.0
2004-03-01,,,,0.8390000000000001,9.0,9.0,9.257,101.0,101.0,13149.278,143316.0,143316.0
2004-04-01,,,,25.067,273.0,273.0,8.867,97.0,97.0,9540.794,103987.0,103987.0
2004-05-01,,,,35.201,384.0,384.0,10.096,110.0,110.0,11653.829,127017.0,127017.0
2004-06-01,,,,0.806,9.0,9.0,8.721,95.0,95.0,15466.921,168577.0,168577.0
2004-07-01,,,,1.784,19.0,19.0,16.766000000000002,183.0,183.0,15113.685000000001,164727.0,164727.0
2004-08-01,,,,8.486,93.0,93.0,15.688,172.0,172.0,15924.305,173562.0,173562.0
2004-09-01,,,,28.072000000000003,306.0,306.0,14.019,153.0,153.0,14366.867,156587.0,156587.0
2004-10-01,,,,0.7080000000000001,8.0,8.0,10.042,110.0,110.0,10610.089,115641.0,115641.0
2004-11-01,,,,2.822,31.0,31.0,9.915,108.0,108.0,13053.71,142275.0,142275.0
2004-12-01,,,,4.335,47.0,47.0,8.487,93.0,93.0,13672.421,149018.0,149018.0
2005-01-01,,,,4.986000000000001,53.91,53.91,,,,14303.147,157106.66,157106.66
2005-02-01,,,,1.217,13.15,13.15,,,,11885.242,130548.24,130548.24
2005-03-01,,,,1.738,18.8,18.8,,,,14281.982,156874.17,156874.17
2005-04-01,,,,1.4280000000000002,15.44,15.44,,,,11261.513,123697.14,123697.14
2005-05-01,,,,1.477,15.96,15.96,,,,13266.641,145721.6,145721.6
2005-06-01,,,,1.292,13.97,13.97,,,,13566.142,149011.35,149011.35
2005-07-01,,,,3.7680000000000002,40.74,40.74,,,,14171.67,155662.5,155662.5
2005-08-01,,,,4.561,49.31,49.31,,,,15283.04,167869.86,167869.86
2005-09-01,,,,3.765,40.71,40.71,,,,15280.439,167841.27,167841.27
2005-10-01,,,,1.588,17.16,17.16,,,,14460.914,158839.58,158839.58
2005-11-01,,,,1.591,17.21,17.21,,,,13807.11,151658.14,151658.14
2005-12-01,,,,3.589,38.8,38.8,,,,14509.161,159369.5,159369.5
2006-01-01,0.0,0.0,0.0,3.911,46.0,46.0,0.761,9.0,9.0,16324.566,188663.0,188663.0
2006-02-01,0.0,0.0,0.0,3.87,45.0,45.0,0.902,10.0,10.0,14148.125,163510.0,163510.0
2006-03-01,0.0,0.0,0.0,3.3930000000000002,40.0,40.0,1.0290000000000001,12.0,12.0,13328.945,154043.0,154043.0
2006-04-01,0.0,0.0,0.0,4.476,52.0,52.0,1.151,13.0,13.0,14340.766,165736.0,165736.0
2006-05-01,0.0,0.0,0.0,4.045,47.0,47.0,1.333,15.0,15.0,12901.274000000001,149100.0,149100.0
2006-06-01,0.0,0.0,0.0,4.838,56.0,56.0,1.699,20.0,20.0,14539.539,168034.0,168034.0
2006-07-01,0.0,0.0,0.0,4.6930000000000005,55.0,55.0,2.136,25.0,25.0,16434.104,189929.0,189929.0
2006-08-01,0.0,0.0,0.0,5.051,59.0,59.0,2.1630000000000003,25.0,25.0,15334.558,177222.0,177222.0
