measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,0.0,0.0,0.0,76.0,785.31,785.31,1700.0,31593.0,31593.0
2001-02-01,0.0,0.0,0.0,54.0,557.98,557.98,941.0,15878.0,15878.0
2001-03-01,0.0,0.0,0.0,55.0,568.32,568.32,1500.0,24349.0,24349.0
2001-04-01,0.0,0.0,0.0,64.0,661.31,661.31,17.0,202.0,202.0
2001-05-01,0.0,0.0,0.0,395.0,4081.54,4081.54,291.0,6018.0,6018.0
2001-06-01,0.0,0.0,0.0,159.0,1642.95,1642.95,8603.0,122877.0,122877.0
2001-07-01,0.0,0.0,0.0,110.0,1136.63,1136.63,23459.0,328115.0,328115.0
2001-08-01,0.0,0.0,0.0,60.0,619.98,619.98,26799.0,368405.0,368405.0
2001-09-01,0.0,0.0,0.0,60.0,619.98,619.98,4199.0,60657.0,60657.0
2001-10-01,0.0,0.0,0.0,9.0,93.0,93.0,2223.0,34114.0,34114.0
2001-11-01,5.0,146.0,146.0,34.0,351.32,351.32,977.0,16622.0,16622.0
2001-12-01,0.0,0.0,0.0,49.0,506.32,506.32,812.0,13146.0,13146.0
2002-01-01,68.168,707.0,707.0,39.0,396.75,396.75,103.0,1461.0,1461.0
2002-02-01,59.7375,619.5,619.5,25.0,254.33,254.33,1716.0,26695.0,26695.0
2002-03-01,68.2385,708.0,708.0,20.0,203.46,203.46,4077.0,60063.0,60063.0
2002-04-01,61.340500000000006,636.0,636.0,43.0,437.44,437.44,3525.0,46022.0,46022.0
2002-05-01,64.616,670.0,670.0,358.0,3641.93,3641.93,210.0,4024.0,4024.0
2002-06-01,2089.314,27403.0,27403.0,311.0,3163.8,3163.8,11131.0,144551.0,144551.0
2002-07-01,902.181,13152.0,13152.0,159.0,1617.51,1617.51,21501.0,269294.0,269294.0
2002-08-01,71.417,740.5,740.5,87.0,885.05,885.05,11210.0,145837.0,145837.0
2002-09-01,61.6415,639.5,639.5,93.0,946.09,946.09,9290.0,116600.0,116600.0
2002-10-01,527.4175,6704.0,6704.0,85.0,864.71,864.71,4231.0,56698.0,56698.0
2002-11-01,618.5045,8114.5,8114.5,59.0,600.21,600.21,1986.0,29022.0,29022.0
2002-12-01,65.424,678.5,678.5,35.0,356.06,356.06,102.0,1447.0,1447.0
2003-01-01,348.404,5329.5,5329.5,,,,1403.0,20580.0,20580.0
2003-02-01,143.1935,2129.5,2129.5,,,,16.0,271.0,271.0
2003-03-01,46.819,533.5,533.5,,,,1249.0,18611.0,18611.0
2003-04-01,46.334,528.0,528.0,,,,9194.0,125016.0,125016.0
2003-05-01,45.6995,521.0,521.0,,,,428.0,7771.0,7771.0
2003-06-01,50.5175,576.0,576.0,,,,9389.0,117877.0,117877.0
2003-07-01,55.643,634.0,634.0,,,,7518.0,97857.0,97857.0
2003-08-01,56.275,641.5,641.5,,,,18391.0,234778.0,234778.0
2003-09-01,46.562000000000005,530.5,530.5,,,,5835.0,80105.0,80105.0
2003-10-01,44.6405,509.0,509.0,,,,3188.0,47061.0,47061.0
2003-11-01,45.490500000000004,518.5,518.5,,,,1157.0,18168.0,18168.0
2003-12-01,54.9225,626.0,626.0,,,,1469.0,23291.0,23291.0
2004-01-01,48.125,556.5,556.5,,,,1993.0,29775.0,29775.0
2004-02-01,48.125,556.5,556.5,,,,752.0,13090.0,13090.0
2004-03-01,48.125,556.5,556.5,,,,862.0,13751.0,13751.0
2004-04-01,48.125,556.5,556.5,,,,2388.0,33162.0,33162.0
2004-05-01,48.125,556.5,556.5,,,,2845.0,36297.0,36297.0
2004-06-01,48.125,556.5,556.5,,,,10678.0,85998.0,85998.0
2004-07-01,48.125,556.5,556.5,,,,9529.0,160684.0,160684.0
2004-08-01,48.125,556.5,556.5,,,,0.0,0.0,0.0
2004-09-01,48.125,556.5,556.5,,,,321.0,5381.0,5381.0
2004-10-01,48.125,556.5,556.5,,,,0.0,0.0,0.0
2004-11-01,48.125,556.5,556.5,,,,0.0,0.0,0.0
2004-12-01,52.125,591.5,591.5,,,,319.0,4096.0,4096.0
2005-01-01,94.03450000000001,1088.645,1088.645,,,,1615.0,17201.31,17201.31
2005-02-01,32.3075,374.02,374.02,,,,0.0,0.0,0.0
2005-03-01,35.8085,414.555,414.555,,,,865.0,14654.09,14654.09
2005-04-01,43.374500000000005,502.15,502.15,,,,12726.0,181653.55,181653.55
2005-05-01,40.284,466.365,466.365,,,,597.0,10047.48,10047.48
2005-06-01,52.2845,605.3,605.3,,,,36982.0,514344.52,514344.52
2005-07-01,53.219,616.12,616.12,,,,24703.0,329746.82,329746.82
