measured_on,Geothermal Generation,Geothermal Quantity Consumed For Electricity,Geothermal Total Fuel Consumed
2008-01-01,3446.203,33958.88,33958.88
2008-02-01,2732.909,26930.09,26930.09
2008-03-01,7597.411,74864.89,74864.89
2008-04-01,8006.058,78891.7,78891.7
2008-05-01,8394.803,82722.39,82722.39
2008-06-01,7772.037,76585.65000000001,76585.65000000001
2008-07-01,7790.932000000001,76771.84,76771.84
2008-08-01,7803.400000000001,76894.7,76894.7
2008-09-01,7546.456,74362.78,74362.78
2008-10-01,7689.099,75768.38,75768.38
2008-11-01,8219.791000000001,80997.82,80997.82
2008-12-01,8547.901,84231.02,84231.02
2009-01-01,6504.311000000001,63482.08,63482.08
2009-02-01,5885.861,57446.0,57446.0
2009-03-01,6722.363,65610.26,65610.26
2009-04-01,5877.7080000000005,57366.43,57366.43
2009-05-01,5871.995,57310.67,57310.67
2009-06-01,6060.589,59151.35,59151.35
2009-07-01,6067.79,59221.63,59221.63
2009-08-01,6122.243,59753.09,59753.09
2009-09-01,5899.371,57577.86,57577.86
2009-10-01,5096.612,49742.93,49742.93
2009-11-01,7544.581,73635.11,73635.11
2009-12-01,8296.576000000001,80974.58,80974.58
2010-01-01,5774.42,56335.0,56335.0
2010-02-01,4723.339,46081.0,46081.0
2010-03-01,6285.771000000001,61324.0,61324.0
2010-04-01,6169.256,60187.0,60187.0
2010-05-01,6376.262000000001,62207.0,62207.0
2010-06-01,6276.749000000001,61236.0,61236.0
2010-07-01,5706.189,55670.0,55670.0
2010-08-01,6175.875,60252.0,60252.0
2010-09-01,5836.758000000001,56943.0,56943.0
2010-10-01,6289.488,61360.0,61360.0
2010-11-01,5708.229,55689.0,55689.0
2010-12-01,6518.664000000001,63596.0,63596.0
2011-01-01,5740.477,55774.0,55774.0
2011-02-01,5050.815,49074.0,49074.0
2011-03-01,5649.63,54892.0,54892.0
2011-04-01,5449.716,52949.0,52949.0
2011-05-01,5530.137,53731.0,53731.0
2011-06-01,5130.541,49848.0,49848.0
2011-07-01,5022.322,48797.0,48797.0
2011-08-01,4971.9,48307.0,48307.0
2011-09-01,4917.423,47778.0,47778.0
2011-10-01,5010.392,48681.0,48681.0
2011-11-01,5393.695,52405.0,52405.0
2011-12-01,5622.952,54633.0,54633.0
2012-01-01,5982.07,56925.0,56925.0
2012-02-01,5639.121,53662.0,53662.0
2012-03-01,5919.437,56329.0,56329.0
2012-04-01,5261.012,50064.0,50064.0
2012-05-01,5803.202,55223.0,55223.0
2012-06-01,6293.723,59891.0,59891.0
2012-07-01,6327.245,60210.0,60210.0
2012-08-01,6315.903,60102.0,60102.0
2012-09-01,6421.3,61105.0,61105.0
2012-10-01,6661.33,63389.0,63389.0
2012-11-01,6971.051,66337.0,66337.0
2012-12-01,7080.606,67379.0,67379.0
2013-01-01,3595.368,34303.0,34303.0
2013-02-01,3253.178,31039.0,31039.0
2013-03-01,3465.445,33064.0,33064.0
2013-04-01,3236.224,30877.0,30877.0
2013-05-01,2942.445,28074.0,28074.0
2013-06-01,3110.249,29675.0,29675.0
2013-07-01,3046.887,29070.0,29070.0
2013-08-01,3090.965,29491.0,29491.0
2013-09-01,3077.697,29364.0,29364.0
2013-10-01,3418.673,32618.0,32618.0
2013-11-01,3445.513,32874.0,32874.0
2013-12-01,4000.356,38167.0,38167.0
2014-01-01,7579.053,72077.0,72077.0
2014-02-01,6388.719,60757.0,60757.0
2014-03-01,7013.155,66695.0,66695.0
2014-04-01,6392.105,60789.0,60789.0
2014-05-01,6485.818,61680.0,61680.0
2014-06-01,5948.357,56569.0,56569.0
2014-07-01,5741.16,54598.0,54598.0
2014-08-01,6224.079,59191.0,59191.0
2014-09-01,6255.192,59487.0,59487.0
2014-10-01,6446.545,61307.0,61307.0
2014-11-01,7047.282,67020.0,67020.0
2014-12-01,7277.535,69209.0,69209.0
2015-01-01,5897.158,54956.0,54956.0
2015-02-01,5811.242,54155.0,54155.0
2015-03-01,6527.324,60828.0,60828.0
2015-04-01,6171.786,57515.0,57515.0
2015-05-01,6337.465,59059.0,59059.0
2015-06-01,5355.973,49912.0,49912.0
2015-07-01,5961.056,55551.0,55551.0
2015-08-01,5753.882,53620.0,53620.0
2015-09-01,6201.984,57796.0,57796.0
2015-10-01,6594.805,61457.0,61457.0
2015-11-01,7354.27,68534.0,68534.0
2015-12-01,7633.055,71132.0,71132.0
2016-01-01,6710.587,61952.0,61952.0
2016-02-01,6159.063,56860.0,56860.0
2016-03-01,6342.835,58557.0,58557.0
2016-04-01,5878.307,54269.0,54269.0
2016-05-01,6202.21,57259.0,57259.0
2016-06-01,5306.289,48988.0,48988.0
2016-07-01,5196.92,47978.0,47978.0
2016-08-01,5302.929,48957.0,48957.0
2016-09-01,5638.206,52052.0,52052.0
2016-10-01,6062.172,55966.0,55966.0
2016-11-01,6367.134,58781.0,58781.0
2016-12-01,6828.348,63039.0,63039.0
2017-01-01,7481.305,68925.0,68925.0
2017-02-01,6590.144,60715.0,60715.0
2017-03-01,7370.851,67908.0,67908.0
2017-04-01,7141.065,65791.0,65791.0
2017-05-01,6903.0,63597.0,63597.0
2017-06-01,6773.628,62405.0,62405.0
2017-07-01,7285.97,67126.0,67126.0
2017-08-01,7237.708,66681.0,66681.0
2017-09-01,7078.125,65211.0,65211.0
2017-10-01,6446.582,59392.0,59392.0
2017-11-01,6926.116,63810.0,63810.0
2017-12-01,7201.506,66347.0,66347.0
2018-01-01,7021.912,63927.0,63927.0
2018-02-01,6675.011,60769.0,60769.0
2018-03-01,7154.081,65131.0,65131.0
2018-04-01,6223.16,56656.0,56656.0
2018-05-01,7199.374,65543.0,65543.0
2018-06-01,6717.311,61154.0,61154.0
2018-07-01,7119.232,64813.0,64813.0
2018-08-01,7105.765,64691.0,64691.0
2018-09-01,6912.822,62934.0,62934.0
2018-10-01,6654.64,60584.0,60584.0
2018-11-01,6953.46,63304.0,63304.0
2018-12-01,7375.232,67144.0,67144.0
2019-01-01,8527.266,75935.0,75935.0
2019-02-01,7942.971,70732.0,70732.0
2019-03-01,8750.506,77923.0,77923.0
2019-04-01,7737.51,68903.0,68903.0
2019-05-01,8333.792,74212.0,74212.0
2019-06-01,8090.916,72050.0,72050.0
2019-07-01,8368.479,74521.0,74521.0
2019-08-01,8449.636,75244.0,75244.0
2019-09-01,8285.343,73781.0,73781.0
2019-10-01,7069.234,62952.0,62952.0
2019-11-01,6455.317,57485.0,57485.0
2019-12-01,7603.03,67705.0,67705.0
2020-01-01,7528.242,66000.0,66000.0
2020-02-01,8014.254,70261.0,70261.0
2020-03-01,8370.149,73381.0,73381.0
2020-04-01,7910.551,69352.0,69352.0
2020-05-01,7554.768,66233.0,66233.0
2020-06-01,6954.276,60968.0,60968.0
2020-07-01,6567.89,57581.0,57581.0
2020-08-01,6389.803,56019.0,56019.0
2020-09-01,6896.98,60466.0,60466.0
2020-10-01,7656.293,67123.0,67123.0
2020-11-01,8168.328,71612.0,71612.0
2020-12-01,8560.466,75050.0,75050.0
2021-01-01,8384.165,74150.0,74150.0
2021-02-01,7346.082,64969.0,64969.0
2021-03-01,6522.64,57686.0,57686.0
2021-04-01,7480.505,66158.0,66158.0
2021-05-01,8273.299,73169.0,73169.0
2021-06-01,7176.595,63470.0,63470.0
2021-07-01,7094.469,62743.0,62743.0
2021-08-01,7204.952,63721.0,63721.0
2021-09-01,7472.543,66087.0,66087.0
2021-10-01,8171.705,72271.0,72271.0
2021-11-01,8403.305,74319.0,74319.0
2021-12-01,9410.74,83229.0,83229.0
2022-01-01,9101.097,31053.0,31053.0
2022-02-01,7977.444,27219.0,27219.0
2022-03-01,7182.049,24505.0,24505.0
2022-04-01,6656.618,22712.0,22712.0
2022-05-01,7189.061,24529.0,24529.0
2022-06-01,7044.844,24037.0,24037.0
2022-07-01,6774.514,23115.0,23115.0
2022-08-01,7156.67,24419.0,24419.0
2022-09-01,7339.244,25042.0,25042.0
2022-10-01,6383.096,21779.0,21779.0
2022-11-01,9080.479,30983.0,30983.0
2022-12-01,9546.884,32574.0,32574.0
2023-01-01,8537.0,29128.0,29128.0
2023-02-01,7759.0,26474.0,26474.0
2023-03-01,8473.0,28910.0,28910.0
2023-04-01,2011.0,6862.0,6862.0
2023-05-01,6976.0,23802.0,23802.0
2023-06-01,6889.0,23505.0,23505.0
2023-07-01,6926.0,23632.0,23632.0
2023-08-01,7454.0,25433.0,25433.0
2023-09-01,7575.0,25846.0,25846.0
2023-10-01,8383.0,28603.0,28603.0
2023-11-01,8438.0,28790.0,28790.0
2023-12-01,9169.0,31285.0,31285.0
2024-01-01,9263.0,31605.0,31605.0
2024-02-01,8219.0,28043.0,28043.0
2024-03-01,8438.0,28790.0,28790.0
2024-04-01,7671.0,26173.0,26173.0
2024-05-01,7928.0,27050.0,27050.0
2024-06-01,6625.0,22605.0,22605.0
2024-07-01,6521.0,22250.0,22250.0
2024-08-01,6704.0,22874.0,22874.0
