measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2008-01-01,,,,482.48,6234.0,6234.0,66646.52,861123.0,861123.0
2008-02-01,,,,724.1790000000001,8165.0,8165.0,57764.821,651317.0,651317.0
2008-03-01,,,,417.39700000000005,4791.0,4791.0,61977.603,711342.0,711342.0
2008-04-01,,,,114.43100000000001,1276.0,1276.0,67523.569,752680.0,752680.0
2008-05-01,,,,29.723000000000003,354.0,354.0,68508.277,815631.0,815631.0
2008-06-01,,,,164.101,1883.0,1883.0,65344.899,749982.0,749982.0
2008-07-01,,,,1.345,15.0,15.0,67690.655,772004.0,772004.0
2008-08-01,,,,479.50600000000003,5493.0,5493.0,63842.494,731352.0,731352.0
2008-09-01,,,,8.278,95.0,95.0,64914.722,743697.0,743697.0
2008-10-01,,,,380.51500000000004,4455.0,4455.0,23756.485,278118.0,278118.0
2008-11-01,,,,198.621,2280.0,2280.0,61162.379,702073.0,702073.0
2008-12-01,,,,5.2860000000000005,62.0,62.0,67912.714,797509.0,797509.0
2009-01-01,,,,186.118,2181.0,2181.0,65794.882,771010.0,771010.0
2009-02-01,,,,17.645,209.0,209.0,60166.355,711365.0,711365.0
