measured_on,Municiapl Landfill Gas-Combined Cycle Combustion Turbine Part Generation,Municiapl Landfill Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Municiapl Landfill Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Municiapl Landfill Gas-Combined Cycle Steam Part Generation,Municiapl Landfill Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Municiapl Landfill Gas-Combined Cycle Steam Part Total Fuel Consumed,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Waste heat not directly attributed to a fuel source-Combined Cycle Combustion Turbine Part Generation,Waste heat not directly attributed to a fuel source-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Waste heat not directly attributed to a fuel source-Combined Cycle Steam Part Generation,Waste heat not directly attributed to a fuel source-Combined Cycle Steam Part Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,,,,,,,5550.85,36659.0,36659.0,,,,,,
2003-02-01,,,,,,,5164.3,34106.0,34106.0,,,,,,
2003-03-01,,,,,,,6005.701,39663.0,39663.0,,,,,,
2003-04-01,,,,,,,6242.999000000001,41230.0,41230.0,,,,,,
2003-05-01,,,,,,,6106.42,40328.0,40328.0,,,,,,
2003-06-01,,,,,,,6204.704000000001,40977.0,40977.0,,,,,,
2003-07-01,,,,,,,5926.215,39138.0,39138.0,,,,,,
2003-08-01,,,,,,,5643.625,37272.0,37272.0,,,,,,
2003-09-01,,,,,,,4668.094,30829.0,30829.0,,,,,,
2003-10-01,,,,,,,5393.953,35623.0,35623.0,,,,,,
2003-11-01,,,,,,,5688.357,37567.0,37567.0,,,,,,
2003-12-01,,,,,,,6373.783,42094.0,42094.0,,,,,,
2004-01-01,,,,,,,6006.667,63200.0,63200.0,,,,,,
2004-02-01,,,,,,,6006.667,63200.0,63200.0,,,,,,
2004-03-01,,,,,,,6006.667,63200.0,63200.0,,,,,,
2004-04-01,,,,,,,6006.667,63200.0,63200.0,,,,,,
2004-05-01,,,,,,,6006.667,63200.0,63200.0,,,,,,
2004-06-01,,,,,,,6006.667,63200.0,63200.0,,,,,,
2004-07-01,,,,,,,6006.667,63200.0,63200.0,,,,,,
2004-08-01,,,,,,,6006.667,63200.0,63200.0,,,,,,
