measured_on,Gaseous Propane - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Gaseous Propane - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Gaseous Propane - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2004-01-01,,,,875.706,14729.0,14729.0,,,
2004-02-01,,,,1227.116,20639.0,20639.0,,,
2004-03-01,,,,1356.78,22820.0,22820.0,,,
2004-04-01,,,,761.075,12801.0,12801.0,,,
2004-05-01,,,,685.907,11536.0,11536.0,,,
2004-06-01,,,,747.92,12579.0,12579.0,,,
2004-07-01,,,,785.504,13211.0,13211.0,,,
2004-08-01,,,,736.645,12390.0,12390.0,,,
2004-09-01,,,,721.6120000000001,12137.0,12137.0,,,
2004-10-01,,,,710.337,11947.0,11947.0,,,
2004-11-01,,,,661.477,11125.0,11125.0,,,
2004-12-01,,,,747.92,12579.0,12579.0,,,
2005-01-01,,,,783.625,14236.33,14236.33,0.0,0.0,0.0
2005-02-01,,,,668.325,12141.65,12141.65,0.0,0.0,0.0
2005-03-01,,,,746.6220000000001,13564.1,13564.1,0.0,0.0,0.0
2005-04-01,,,,689.3570000000001,12523.74,12523.74,0.0,0.0,0.0
2005-05-01,,,,755.301,13721.76,13721.76,0.0,0.0,0.0
2005-06-01,,,,732.365,13305.07,13305.07,0.0,0.0,0.0
2005-07-01,,,,786.821,14294.41,14294.41,0.0,0.0,0.0
2005-08-01,,,,757.925,13769.43,13769.43,0.0,0.0,0.0
2005-09-01,,,,721.596,13109.44,13109.44,0.0,0.0,0.0
2005-10-01,,,,622.731,11313.33,11313.33,0.0,0.0,0.0
2005-11-01,,,,693.408,12597.34,12597.34,0.0,0.0,0.0
2005-12-01,,,,775.923,14096.42,14096.42,0.0,0.0,0.0
2006-01-01,,,,,,,0.0,0.0,0.0
2006-02-01,,,,,,,0.0,0.0,0.0
2006-03-01,,,,,,,0.0,0.0,0.0
2006-04-01,,,,,,,0.0,0.0,0.0
2006-05-01,,,,,,,0.0,0.0,0.0
2006-06-01,,,,,,,0.0,0.0,0.0
2006-07-01,,,,,,,0.0,0.0,0.0
2006-08-01,,,,,,,0.0,0.0,0.0
2006-09-01,,,,,,,0.0,0.0,0.0
2006-10-01,,,,,,,0.0,0.0,0.0
2006-11-01,,,,,,,0.0,0.0,0.0
2006-12-01,,,,,,,0.0,0.0,0.0
2007-01-01,,,,1802.035,53362.0,53362.0,0.0,0.0,0.0
2007-02-01,,,,1646.125,48745.0,48745.0,0.0,0.0,0.0
2007-03-01,,,,1777.727,52642.0,52642.0,0.0,0.0,0.0
2007-04-01,,,,1664.421,49287.0,49287.0,0.0,0.0,0.0
2007-05-01,,,,1654.482,48992.0,48992.0,0.0,0.0,0.0
2007-06-01,,,,1751.804,51874.0,51874.0,0.0,0.0,0.0
2007-07-01,,,,1789.546,52992.0,52992.0,0.0,0.0,0.0
2007-08-01,,,,1796.8190000000002,53207.0,53207.0,0.0,0.0,0.0
2007-09-01,,,,1732.007,51288.0,51288.0,0.0,0.0,0.0
2007-10-01,,,,1533.967,45424.0,45424.0,0.0,0.0,0.0
2007-11-01,,,,1765.049,52266.0,52266.0,0.0,0.0,0.0
2007-12-01,,,,1790.016,53006.0,53006.0,0.0,0.0,0.0
2008-01-01,,,,1252.958,23849.0,23849.0,0.0,0.0,0.0
2008-02-01,,,,1301.6670000000001,24776.0,24776.0,0.0,0.0,0.0
2008-03-01,,,,1407.612,26793.0,26793.0,0.0,0.0,0.0
2008-04-01,,,,1346.515,25630.0,25630.0,0.0,0.0,0.0
2008-05-01,,,,1207.381,22981.0,22981.0,0.0,0.0,0.0
2008-06-01,,,,1296.963,24686.0,24686.0,0.0,0.0,0.0
2008-07-01,,,,1364.836,25978.0,25978.0,0.0,0.0,0.0
2008-08-01,,,,1403.988,26723.0,26723.0,0.0,0.0,0.0
2008-09-01,,,,1276.008,24287.0,24287.0,0.0,0.0,0.0
2008-10-01,,,,1360.71,25900.0,25900.0,0.0,0.0,0.0
2008-11-01,,,,1406.9560000000001,26780.0,26780.0,0.0,0.0,0.0
2008-12-01,,,,1440.4060000000002,27417.0,27417.0,0.0,0.0,0.0
2009-01-01,,,,1027.735,27090.0,27090.0,0.0,0.0,0.0
2009-02-01,,,,1242.467,32751.0,32751.0,0.0,0.0,0.0
2009-03-01,,,,1348.5510000000002,35547.0,35547.0,0.0,0.0,0.0
2009-04-01,,,,1224.4180000000001,32275.0,32275.0,0.0,0.0,0.0
2009-05-01,,,,1289.978,34003.0,34003.0,0.0,0.0,0.0
2009-06-01,,,,1372.939,36190.0,36190.0,0.0,0.0,0.0
2009-07-01,,,,1412.6080000000002,37236.0,37236.0,0.0,0.0,0.0
2009-08-01,,,,1253.7430000000002,33048.0,33048.0,0.0,0.0,0.0
2009-09-01,,,,1317.0810000000001,34718.0,34718.0,0.0,0.0,0.0
2009-10-01,,,,1352.309,35646.0,35646.0,0.0,0.0,0.0
2009-11-01,,,,1296.925,34186.0,34186.0,0.0,0.0,0.0
2009-12-01,,,,1355.246,35724.0,35724.0,0.0,0.0,0.0
2010-01-01,,,,816.392,26384.0,26384.0,0.0,0.0,0.0
2010-02-01,,,,722.052,23335.0,23335.0,0.0,0.0,0.0
2010-03-01,,,,702.101,22690.0,22690.0,0.0,0.0,0.0
2010-04-01,,,,726.629,23483.0,23483.0,0.0,0.0,0.0
2010-05-01,,,,741.903,23976.0,23976.0,0.0,0.0,0.0
2010-06-01,,,,835.9590000000001,27016.0,27016.0,0.0,0.0,0.0
2010-07-01,,,,873.5840000000001,28232.0,28232.0,0.0,0.0,0.0
2010-08-01,,,,878.83,28401.0,28401.0,0.0,0.0,0.0
2010-09-01,,,,828.921,26789.0,26789.0,0.0,0.0,0.0
2010-10-01,,,,791.5020000000001,25579.0,25579.0,0.0,0.0,0.0
2010-11-01,,,,836.8520000000001,27045.0,27045.0,0.0,0.0,0.0
2010-12-01,,,,777.2750000000001,25119.0,25119.0,0.0,0.0,0.0
2011-01-01,,,,1209.705,29265.0,29265.0,0.0,0.0,0.0
2011-02-01,,,,1205.151,29155.0,29155.0,0.0,0.0,0.0
2011-03-01,,,,1278.352,30925.0,30925.0,0.0,0.0,0.0
2011-04-01,,,,1212.589,29334.0,29334.0,0.0,0.0,0.0
2011-05-01,,,,1277.132,30896.0,30896.0,0.0,0.0,0.0
2011-06-01,,,,1240.259,30003.0,30003.0,0.0,0.0,0.0
2011-07-01,,,,1309.595,31681.0,31681.0,0.0,0.0,0.0
2011-08-01,,,,1336.667,32336.0,32336.0,0.0,0.0,0.0
2011-09-01,,,,1275.392,30853.0,30853.0,0.0,0.0,0.0
2011-10-01,,,,1215.133,29396.0,29396.0,0.0,0.0,0.0
2011-11-01,,,,1201.745,29072.0,29072.0,0.0,0.0,0.0
2011-12-01,,,,1210.28,29278.0,29278.0,0.0,0.0,0.0
2012-01-01,,,,1260.897,24532.0,24532.0,0.0,0.0,0.0
2012-02-01,,,,1241.448,24153.0,24153.0,0.0,0.0,0.0
2012-03-01,,,,1190.498,23162.0,23162.0,0.0,0.0,0.0
2012-04-01,,,,1118.496,21761.0,21761.0,0.0,0.0,0.0
2012-05-01,,,,1160.067,22570.0,22570.0,0.0,0.0,0.0
2012-06-01,,,,1006.599,19584.0,19584.0,0.0,0.0,0.0
2012-07-01,,,,1084.397,21098.0,21098.0,0.0,0.0,0.0
2012-08-01,,,,1253.958,24396.0,24396.0,0.0,0.0,0.0
2012-09-01,,,,1233.782,24004.0,24004.0,0.0,0.0,0.0
2012-10-01,,,,1238.396,24094.0,24094.0,0.0,0.0,0.0
2012-11-01,,,,1354.297,26349.0,26349.0,0.0,0.0,0.0
2012-12-01,,,,1357.165,26405.0,26405.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,1345.892,34968.0,34968.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,1212.504,31503.0,31503.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,1302.614,33844.0,33844.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,1182.236,30716.0,30716.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,1311.357,34071.0,34071.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,1277.024,33179.0,33179.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,1313.279,34121.0,34121.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,1451.076,37701.0,37701.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,1323.677,34391.0,34391.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,1445.095,37545.0,37545.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,1436.967,37334.0,37334.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,1500.279,38979.0,38979.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,1884.572,46293.0,46293.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,1644.822,40403.0,40403.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,1718.956,42224.0,42224.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,1509.577,37081.0,37081.0,0.0,0.0,0.0
