measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,670.027,10560.0,10560.0,20.235,920.0,920.0,,,
2003-02-01,560.2520000000001,8830.0,8830.0,16.92,769.0,769.0,,,
2003-03-01,576.181,9081.0,9081.0,17.401,791.0,791.0,,,
2003-04-01,589.799,9295.0,9295.0,17.812,810.0,810.0,,,
2003-05-01,642.749,10130.0,10130.0,19.411,883.0,883.0,,,
2003-06-01,665.0930000000001,10482.0,10482.0,20.086000000000002,913.0,913.0,,,
2003-07-01,739.936,11662.0,11662.0,22.346,1016.0,1016.0,,,
2003-08-01,771.995,12167.0,12167.0,23.314,1060.0,1060.0,,,
2003-09-01,656.98,10354.0,10354.0,19.841,902.0,902.0,,,
2003-10-01,561.672,8852.0,8852.0,16.963,771.0,771.0,,,
2003-11-01,543.2180000000001,8561.0,8561.0,16.405,746.0,746.0,,,
2003-12-01,671.0980000000001,10577.0,10577.0,20.267,922.0,922.0,,,
2004-01-01,296.261,7149.0,7149.0,2.557,80.0,80.0,,,
2004-02-01,275.47200000000004,6647.0,6647.0,2.2680000000000002,71.0,71.0,,,
2004-03-01,235.162,5674.0,5674.0,1.342,42.0,42.0,,,
2004-04-01,234.946,5669.0,5669.0,3.8760000000000003,122.0,122.0,,,
2004-05-01,311.67900000000003,7521.0,7521.0,8.684000000000001,273.0,273.0,,,
2004-06-01,311.37100000000004,7513.0,7513.0,9.685,304.0,304.0,,,
2004-07-01,333.563,8049.0,8049.0,14.696000000000002,461.0,461.0,,,
2004-08-01,296.79900000000004,7161.0,7161.0,14.222000000000001,446.0,446.0,,,
2004-09-01,254.42800000000003,6139.0,6139.0,8.318,261.0,261.0,,,
2004-10-01,245.726,5929.0,5929.0,2.656,83.0,83.0,,,
2004-11-01,221.42,5343.0,5343.0,1.9220000000000002,60.0,60.0,,,
2004-12-01,237.174,5723.0,5723.0,1.775,56.0,56.0,,,
2005-01-01,107.14200000000001,2639.75,2639.75,7.284000000000001,96.37,96.37,,,
2005-02-01,93.285,2298.37,2298.37,6.047000000000001,80.0,80.0,,,
2005-03-01,96.783,2384.53,2384.53,7.489000000000001,99.08,99.08,,,
2005-04-01,86.25200000000001,2125.09,2125.09,7.3790000000000004,97.62,97.62,,,
2005-05-01,94.688,2332.93,2332.93,8.698,115.08,115.08,,,
2005-06-01,105.46300000000001,2598.4,2598.4,10.978,145.24,145.24,,,
2005-07-01,111.485,2746.76,2746.76,13.758000000000001,182.02,182.02,,,
