measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2011-01-01,0.0,2499.0,2499.0,,,
2011-02-01,0.0,2295.0,2295.0,,,
2011-03-01,0.0,2219.0,2219.0,,,
2011-04-01,0.0,1887.0,1887.0,,,
2011-05-01,0.0,1887.0,1887.0,,,
2011-06-01,0.0,2321.0,2321.0,,,
2011-07-01,0.0,2831.0,2831.0,,,
2011-08-01,0.0,2601.0,2601.0,,,
2011-09-01,0.0,2091.0,2091.0,,,
2011-10-01,0.0,1887.0,1887.0,,,
2011-11-01,0.0,1530.0,1530.0,,,
2011-12-01,0.0,1760.0,1760.0,,,
2012-01-01,209.053,2451.0,22700.0,,,
2012-02-01,199.694,2341.0,21681.0,,,
2012-03-01,175.463,2057.0,19055.0,,,
2012-04-01,185.244,2172.0,20100.0,,,
2012-05-01,187.941,2204.0,20395.0,,,
2012-06-01,211.341,2478.0,22941.0,,,
2012-07-01,269.747,3163.0,29292.0,,,
2012-08-01,259.076,3038.0,28140.0,,,
2012-09-01,159.691,1872.0,17340.0,,,
2012-10-01,150.941,1770.0,16375.0,,,
2012-11-01,170.805,2003.0,18546.0,,,
2012-12-01,215.934,2532.0,23450.0,,,
2013-01-01,247.917,2820.0,21118.0,,,
2013-02-01,238.121,2708.0,20288.0,,,
2013-03-01,249.435,2837.0,21252.0,,,
2013-04-01,229.598,2611.0,19564.0,,,
2013-05-01,236.452,2689.0,20154.0,,,
2013-06-01,237.569,2702.0,20261.0,,,
2013-07-01,266.224,3028.0,22700.0,,,
2013-08-01,276.573,3146.0,23584.0,,,
2013-09-01,229.34,2608.0,19537.0,,,
2013-10-01,206.908,2353.0,17634.0,,,
2013-11-01,214.323,2438.0,18278.0,,,
2013-12-01,277.54,3157.0,23664.0,,,
2015-01-01,0.0,0.0,0.0,0.0,0.0,46515.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,46244.0
2015-03-01,0.0,0.0,0.0,0.0,0.0,46148.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,33439.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,36664.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,45095.0
2015-07-01,0.0,0.0,0.0,0.0,0.0,48710.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,47471.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,43851.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,34857.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,40219.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,42902.0
2016-01-01,,,,0.0,0.0,78185.0
2016-02-01,,,,0.0,0.0,77018.0
2016-03-01,,,,0.0,0.0,71868.0
2016-04-01,,,,0.0,0.0,63486.0
2016-05-01,,,,0.0,0.0,40695.0
2016-06-01,,,,0.0,0.0,68891.0
2016-07-01,,,,0.0,0.0,81722.0
2016-08-01,,,,0.0,0.0,84517.0
2016-09-01,,,,0.0,0.0,69956.0
2016-10-01,,,,0.0,0.0,56192.0
2016-11-01,,,,0.0,0.0,63126.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,62815.0
2017-01-01,,,,0.0,0.0,63252.0
2017-02-01,,,,0.0,0.0,60844.0
2017-03-01,,,,0.0,0.0,63323.0
2017-04-01,,,,0.0,0.0,48225.0
2017-05-01,,,,0.0,0.0,58377.0
2017-06-01,,,,0.0,0.0,65038.0
2017-07-01,,,,0.0,0.0,79080.0
2017-08-01,,,,0.0,0.0,77900.0
2017-09-01,,,,0.0,0.0,67554.0
2017-10-01,,,,0.0,0.0,58458.0
2017-11-01,,,,0.0,0.0,81573.0
2017-12-01,,,,0.0,0.0,90407.0
