measured_on,"Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Generation","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Quantity Consumed For Electricity","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Total Fuel Consumed"
2003-01-01,6207.0,63565.89,63565.89
2003-02-01,6520.0,66771.32,66771.32
2003-03-01,6664.0,68246.02,68246.02
2003-04-01,6058.0,62039.98,62039.98
2003-05-01,5918.0,60606.24,60606.24
2003-06-01,5348.0,54768.87,54768.87
2003-07-01,4648.0,47600.17,47600.17
2003-08-01,5450.0,55813.45,55813.45
2003-09-01,5362.0,54912.24,54912.24
2003-10-01,6648.0,68082.17,68082.17
2003-11-01,7158.0,73305.08,73305.08
2003-12-01,7455.0,76346.66,76346.66
2004-01-01,6850.0,68650.7,68650.7
2004-02-01,6740.0,67548.28,67548.28
2004-03-01,6723.0,67377.91,67377.91
2004-04-01,6448.0,64621.86,64621.86
2004-05-01,5984.0,59971.65,59971.65
2004-06-01,5310.0,53216.82,53216.82
2004-07-01,4604.0,46141.29,46141.29
2004-08-01,5149.0,51603.28,51603.28
2004-09-01,5262.0,52735.76,52735.76
2004-10-01,6527.0,65413.59,65413.59
2004-11-01,6460.0,64742.12,64742.12
2004-12-01,6618.0,66325.6,66325.6
2005-01-01,6658.0,66573.34,66573.34
2005-02-01,5818.0,58174.18,58174.18
2005-03-01,6482.0,64813.52,64813.52
2005-04-01,6127.0,61263.87,61263.87
2005-05-01,5766.0,57654.23,57654.23
2005-06-01,5157.0,51564.84,51564.84
2005-07-01,4194.0,41935.81,41935.81
2005-08-01,4805.0,48045.2,48045.2
2005-09-01,5153.0,51524.85,51524.85
2005-10-01,5587.0,55864.41,55864.41
2005-11-01,5413.0,54124.59,54124.59
2005-12-01,6587.0,65863.41,65863.41
2006-01-01,6382.0,63303.06,63303.06
2006-02-01,6470.0,64175.93,64175.93
2006-03-01,7140.0,70821.66,70821.66
2006-04-01,6364.0,63124.52,63124.52
2006-05-01,5835.0,57877.37,57877.37
2006-06-01,4798.0,47591.36,47591.36
2006-07-01,4218.0,41838.34,41838.34
2006-08-01,4950.0,49099.05,49099.05
2006-09-01,4888.0,48484.07,48484.07
2006-10-01,5978.0,59295.78,59295.78
2006-11-01,5834.0,57867.45,57867.45
2006-12-01,6051.0,60019.87,60019.87
2007-01-01,6174.0,61023.82,61023.82
2007-02-01,5153.0,50932.25,50932.25
2007-03-01,6210.0,61379.64,61379.64
2007-04-01,5892.0,58236.53,58236.53
2007-05-01,5392.0,53294.53,53294.53
2007-06-01,4571.0,45179.76,45179.76
2007-07-01,4027.0,39802.87,39802.87
2007-08-01,4553.0,45001.85,45001.85
2007-09-01,4365.0,43143.66,43143.66
2007-10-01,5743.0,56763.81,56763.81
2007-11-01,5997.0,59274.35,59274.35
2007-12-01,6329.0,62555.84,62555.84
2008-01-01,6203.0,61124.36,61124.36
2008-02-01,5832.0,57468.53,57468.53
2008-03-01,6059.0,59705.39,59705.39
2008-04-01,5256.0,51792.62,51792.62
2008-05-01,4828.0,47575.11,47575.11
2008-06-01,4114.0,40539.36,40539.36
2008-07-01,4192.0,41307.97,41307.97
2008-08-01,4180.0,41189.72,41189.72
2008-09-01,4180.0,41189.72,41189.72
2008-10-01,5033.0,49595.18,49595.18
2008-11-01,5265.0,51881.31,51881.31
2008-12-01,5767.0,56828.020000000004,56828.020000000004
2009-01-01,5938.0,57954.88,57954.88
2009-02-01,4852.0,47355.52,47355.52
2009-03-01,5550.0,54168.0,54168.0
2009-04-01,5573.0,54392.48,54392.48
2009-05-01,5085.0,49629.6,49629.6
2009-06-01,4290.0,41870.4,41870.4
2009-07-01,3806.0,37146.56,37146.56
2009-08-01,4414.0,43080.64,43080.64
2009-09-01,4020.0,39235.2,39235.2
2009-10-01,4020.0,39235.2,39235.2
2009-11-01,5864.0,57232.64,57232.64
2009-12-01,5578.0,54441.28,54441.28
2010-01-01,6208.0,60565.0,60565.0
2010-02-01,5218.0,50907.0,50907.0
2010-03-01,5632.0,54946.0,54946.0
2010-04-01,5494.0,53599.0,53599.0
2010-05-01,6440.0,62829.0,62829.0
2010-06-01,5261.0,51326.0,51326.0
2010-07-01,4624.0,45112.0,45112.0
2010-08-01,4858.0,47395.0,47395.0
2010-09-01,4612.0,44995.0,44995.0
2010-10-01,6249.0,60965.0,60965.0
2010-11-01,6620.0,64585.0,64585.0
2010-12-01,7265.0,70877.0,70877.0
2011-01-01,7417.0,72064.0,72064.0
2011-02-01,6290.0,61114.0,61114.0
2011-03-01,6914.0,67176.0,67176.0
2011-04-01,6106.0,59326.0,59326.0
2011-05-01,6170.0,59948.0,59948.0
2011-06-01,5409.0,52554.0,52554.0
2011-07-01,4800.0,46637.0,46637.0
2011-08-01,4801.0,46647.0,46647.0
2011-09-01,4812.0,46753.0,46753.0
2011-10-01,6334.0,61541.0,61541.0
2011-11-01,6357.0,61765.0,61765.0
2011-12-01,6557.0,63708.0,63708.0
2012-01-01,6610.0,62901.0,62901.0
2012-02-01,5964.0,56753.0,56753.0
2012-03-01,6094.0,57991.0,57991.0
2012-04-01,5337.0,50787.0,50787.0
2012-05-01,5475.0,52100.0,52100.0
2012-06-01,4690.0,44630.0,44630.0
2012-07-01,4163.0,39615.0,39615.0
2012-08-01,3950.0,37588.0,37588.0
2012-09-01,4195.0,39920.0,39920.0
2012-10-01,5710.0,54336.0,54336.0
2012-11-01,5667.0,53927.0,53927.0
2012-12-01,6566.0,62482.0,62482.0
2013-01-01,6948.0,66291.0,66291.0
2013-02-01,6027.0,57504.0,57504.0
2013-03-01,6280.0,59917.0,59917.0
2013-04-01,5799.0,55328.0,55328.0
2013-05-01,5486.0,52342.0,52342.0
2013-06-01,4706.0,44900.0,44900.0
2013-07-01,4073.0,38860.0,38860.0
2013-08-01,4177.0,39853.0,39853.0
2013-09-01,4381.0,41799.0,41799.0
2013-10-01,5993.0,57179.0,57179.0
2013-11-01,6364.0,60719.0,60719.0
2013-12-01,6918.0,66005.0,66005.0
2014-01-01,6655.0,63289.0,63289.0
2014-02-01,5801.0,55168.0,55168.0
2014-03-01,6232.0,59266.0,59266.0
2014-04-01,5608.0,53332.0,53332.0
2014-05-01,5552.0,52800.0,52800.0
2014-06-01,4967.0,47236.0,47236.0
2014-07-01,4226.0,40189.0,40189.0
2014-08-01,4908.0,46675.0,46675.0
2014-09-01,4782.0,45477.0,45477.0
2014-10-01,5980.0,56870.0,56870.0
2014-11-01,6707.0,63784.0,63784.0
2014-12-01,6884.0,65467.0,65467.0
2015-01-01,6989.0,65130.0,65130.0
2015-02-01,6026.0,56156.0,56156.0
2015-03-01,6325.0,58943.0,58943.0
2015-04-01,5909.0,55066.0,55066.0
2015-05-01,5801.0,54060.0,54060.0
2015-06-01,4612.0,42979.0,42979.0
2015-07-01,4691.0,43715.0,43715.0
2015-08-01,4210.0,39233.0,39233.0
2015-09-01,4252.0,39624.0,39624.0
2015-10-01,4991.0,46511.0,46511.0
2015-11-01,6446.0,60070.0,60070.0
2015-12-01,6611.0,61608.0,61608.0
2016-01-01,6165.0,56915.0,56915.0
2016-02-01,5811.0,53647.0,53647.0
2016-03-01,6522.0,60211.0,60211.0
2016-04-01,5981.0,55217.0,55217.0
2016-05-01,5739.0,52982.0,52982.0
2016-06-01,4927.0,45486.0,45486.0
2016-07-01,4872.0,44978.0,44978.0
2016-08-01,4997.0,46132.0,46132.0
2016-09-01,4979.0,45966.0,45966.0
2016-10-01,6384.0,58937.0,58937.0
2016-11-01,6530.0,60285.0,60285.0
2016-12-01,7096.0,65510.0,65510.0
2017-01-01,5679.47,52325.0,52325.0
2017-02-01,5002.94,46092.0,46092.0
2017-03-01,5595.617,51552.0,51552.0
2017-04-01,5421.174,49945.0,49945.0
2017-05-01,5240.446,48280.0,48280.0
2017-06-01,5142.233,47375.0,47375.0
2017-07-01,5531.179,50959.0,50959.0
2017-08-01,5494.541,50621.0,50621.0
2017-09-01,5373.393,49505.0,49505.0
2017-10-01,4893.954,45088.0,45088.0
2017-11-01,5257.994,48442.0,48442.0
2017-12-01,5467.059,50368.0,50368.0
2018-01-01,5126.014,46667.0,46667.0
2018-02-01,4872.778,44362.0,44362.0
2018-03-01,5222.499,47546.0,47546.0
2018-04-01,4542.925,41359.0,41359.0
2018-05-01,5255.564,47847.0,47847.0
2018-06-01,4903.657,44643.0,44643.0
2018-07-01,5197.06,47314.0,47314.0
2018-08-01,5187.229,47225.0,47225.0
2018-09-01,5046.38,45942.0,45942.0
2018-10-01,4857.907,44226.0,44226.0
2018-11-01,5076.046,46212.0,46212.0
2018-12-01,5383.941,49015.0,49015.0
2019-01-01,3318.905,29555.0,29555.0
2019-02-01,3091.49,27530.0,27530.0
2019-03-01,3405.791,30329.0,30329.0
2019-04-01,3011.522,26818.0,26818.0
2019-05-01,3243.602,28884.0,28884.0
2019-06-01,3149.072,28042.0,28042.0
2019-07-01,3257.102,29004.0,29004.0
2019-08-01,3288.689,29286.0,29286.0
2019-09-01,3224.745,28716.0,28716.0
2019-10-01,2751.422,24501.0,24501.0
2019-11-01,2512.479,22374.0,22374.0
2019-12-01,2959.181,26352.0,26352.0
2020-01-01,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0
2020-08-01,0.0,0.0,0.0
2020-09-01,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0
2021-12-01,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
