measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2001-01-01,,,,0.0,0.0,0.0,945.0,9646.0,9646.0,101396.0,984888.0,984888.0
2001-02-01,,,,0.0,0.0,0.0,3648.0,38116.0,38116.0,101940.0,1019375.0,1019375.0
2001-03-01,,,,0.0,0.0,0.0,6396.0,73683.0,73683.0,163381.0,1612815.0,1612815.0
2001-04-01,,,,0.0,0.0,0.0,970.0,9904.0,9904.0,152919.0,1497774.0,1497774.0
2001-05-01,,,,0.0,0.0,0.0,1303.0,12997.0,12997.0,165112.0,1594933.0,1594933.0
2001-06-01,,,,0.0,0.0,0.0,11948.0,158114.0,158114.0,189659.0,1791445.0,1791445.0
2001-07-01,,,,0.0,0.0,0.0,25103.0,346607.0,346607.0,196978.0,1891887.0,1891887.0
2001-08-01,,,,0.0,0.0,0.0,23022.0,262974.0,262974.0,194402.0,1930184.0,1930184.0
2001-09-01,,,,0.0,0.0,0.0,2349.0,29340.0,29340.0,174094.0,1742772.0,1742772.0
2001-10-01,,,,0.0,0.0,0.0,7108.0,96404.0,96404.0,204093.0,2343529.0,2343529.0
2001-11-01,,,,0.0,0.0,0.0,1618.0,16309.0,16309.0,183297.0,1918532.0,1918532.0
2001-12-01,,,,0.0,0.0,0.0,1763.0,18173.0,18173.0,173887.0,1759772.0,1759772.0
2002-01-01,55201.0,436816.0,436816.0,0.0,0.0,0.0,1806.0,18203.0,18203.0,114193.0,1180224.0,1180224.0
2002-02-01,55922.0,441325.0,441325.0,0.0,0.0,0.0,1354.0,13628.0,13628.0,109743.0,1132362.0,1132362.0
2002-03-01,62230.0,491663.0,491663.0,0.0,0.0,0.0,3177.0,32178.0,32178.0,125469.0,1302912.0,1302912.0
2002-04-01,40122.0,315134.0,315134.0,0.0,0.0,0.0,3467.0,35255.0,35255.0,98545.0,1017324.0,1017324.0
2002-05-01,55664.0,438944.0,438944.0,0.0,0.0,0.0,1470.0,15427.0,15427.0,118040.0,1270206.0,1270206.0
2002-06-01,57951.0,454410.0,454410.0,0.0,0.0,0.0,11275.0,119636.0,119636.0,118492.0,1289034.0,1289034.0
2002-07-01,70426.0,591747.0,591747.0,0.0,0.0,0.0,26480.0,283473.0,283473.0,128339.0,1380996.0,1380996.0
2002-08-01,63109.0,516989.0,516989.0,0.0,0.0,0.0,10306.0,107619.0,107619.0,129861.0,1376496.0,1376496.0
2002-09-01,60866.0,491834.0,491834.0,0.0,0.0,0.0,5246.0,54885.0,54885.0,131751.0,1399302.0,1399302.0
2002-10-01,47322.0,373701.0,373701.0,0.0,0.0,0.0,1449.0,15055.0,15055.0,121236.0,1278540.0,1278540.0
2002-11-01,40484.0,334761.0,334761.0,0.0,0.0,0.0,1193.0,12774.0,12774.0,132016.0,1434780.0,1434780.0
2002-12-01,42816.0,330630.0,330630.0,0.0,0.0,0.0,2041.0,20862.0,20862.0,139484.0,1461852.0,1461852.0
2003-01-01,53859.0,449040.0,449040.0,0.0,0.0,0.0,1253.0,12849.0,12849.0,126083.0,1312560.0,1312560.0
2003-02-01,45115.0,378800.0,378800.0,0.0,0.0,0.0,1220.0,12600.0,12600.0,119479.0,1252620.0,1252620.0
2003-03-01,41765.0,350340.0,350340.0,0.0,0.0,0.0,1138.0,11742.0,11742.0,106581.0,1116342.0,1116342.0
2003-04-01,48595.0,408500.0,408500.0,0.0,0.0,0.0,1342.0,13872.0,13872.0,111351.0,1168776.0,1168776.0
2003-05-01,51031.0,431460.0,431460.0,0.0,0.0,0.0,1311.0,13747.0,13747.0,132954.0,1403604.0,1403604.0
2003-06-01,56435.0,475460.0,475460.0,0.0,0.0,0.0,1149.0,11908.0,11908.0,137478.0,1446210.0,1446210.0
2003-07-01,59505.0,501980.0,501980.0,0.0,0.0,0.0,1886.0,19723.0,19723.0,148837.0,1567764.0,1567764.0
2003-08-01,61897.0,531620.0,531620.0,0.0,0.0,0.0,9656.0,102008.0,102008.0,145730.0,1562850.0,1562850.0
2003-09-01,54864.0,459140.0,459140.0,0.0,0.0,0.0,1190.0,12248.0,12248.0,123588.0,1291428.0,1291428.0
2003-10-01,32754.0,359740.0,359740.0,0.0,0.0,0.0,1222.0,12385.0,12385.0,131353.0,1327229.0,1327229.0
2003-11-01,33912.0,362920.0,362920.0,0.0,0.0,0.0,1455.0,14574.0,14574.0,136040.0,1368508.0,1368508.0
2003-12-01,36726.0,402020.0,402020.0,,,,1260.0,12586.0,12586.0,152333.0,1525781.0,1525781.0
2004-01-01,42972.0,471960.0,471960.0,0.0,0.0,0.0,1836.0,18660.0,18660.0,128173.0,1302141.0,1302141.0
2004-02-01,40227.0,405280.0,405280.0,0.0,0.0,0.0,1313.0,13299.0,13299.0,118607.0,1194952.0,1194952.0
2004-03-01,27894.0,285354.0,285354.0,0.0,0.0,0.0,1588.0,15923.0,15923.0,167201.0,1681960.0,1681960.0
2004-04-01,16568.0,170487.0,170487.0,0.0,0.0,0.0,1070.0,11017.0,11017.0,102013.0,1049693.0,1049693.0
2004-05-01,30587.0,310371.0,310371.0,0.0,0.0,0.0,1191.0,12782.0,12782.0,162254.0,1646432.0,1646432.0
2004-06-01,30076.0,311869.0,311869.0,0.0,0.0,0.0,2752.0,28639.0,28639.0,137788.0,1428775.0,1428775.0
2004-07-01,44835.0,462528.0,462528.0,0.0,0.0,0.0,1308.0,13493.0,13493.0,156256.0,1611955.0,1611955.0
2004-08-01,30793.0,309878.0,309878.0,0.0,0.0,0.0,1162.0,11710.0,11710.0,145541.0,1464603.0,1464603.0
2004-09-01,33073.0,332558.0,332558.0,0.0,0.0,0.0,1220.0,12333.0,12333.0,145705.0,1465082.0,1465082.0
2004-10-01,34551.0,344115.0,344115.0,0.0,0.0,0.0,1492.0,14840.0,14840.0,152324.0,1517104.0,1517104.0
2004-11-01,28070.0,277781.0,277781.0,0.0,0.0,0.0,1433.0,14184.0,14184.0,148513.0,1469678.0,1469678.0
2004-12-01,22445.0,227967.0,227967.0,0.0,0.0,0.0,1294.0,13145.0,13145.0,127959.0,1299612.0,1299612.0
2005-01-01,31108.0,246480.11,246480.11,0.0,0.0,0.0,1249.0,13277.77,13277.77,80364.0,883408.21,883408.21
2005-02-01,26178.0,206753.49,206753.49,0.0,0.0,0.0,829.0,8727.31,8727.31,61503.0,673925.94,673925.94
2005-03-01,43382.0,348634.08,348634.08,0.0,0.0,0.0,1659.0,17290.73,17290.73,80909.0,902081.6,902081.6
2005-04-01,54962.0,425051.23,425051.23,0.0,0.0,0.0,1235.0,12419.6,12419.6,139856.0,1500561.09,1500561.09
2005-05-01,40423.0,312844.92,312844.92,0.0,0.0,0.0,1951.0,19918.19,19918.19,134383.0,1442909.35,1442909.35
2005-06-01,41880.0,436207.2,436207.2,0.0,0.0,0.0,21388.0,224543.31,224543.31,141606.0,1503597.83,1503597.83
2005-07-01,49446.0,520564.89,520564.89,0.0,0.0,0.0,30539.0,324752.18,324752.18,134987.0,1456968.52,1456968.52
2005-08-01,49580.0,508127.2,508127.2,0.0,0.0,0.0,13954.0,142979.12,142979.12,140976.0,1464243.82,1464243.82
2005-09-01,44332.0,444295.26,444295.26,0.0,0.0,0.0,1374.0,13860.07,13860.07,127439.0,1299809.01,1299809.01
2005-10-01,55249.0,521028.0,521028.0,0.0,0.0,0.0,1201.0,11419.92,11419.92,159939.0,1537616.86,1537616.86
2005-11-01,49502.0,505997.4,505997.4,0.0,0.0,0.0,2357.0,24286.43,24286.43,133713.0,1393352.31,1393352.31
2005-12-01,60233.0,625824.0,625824.0,0.0,0.0,0.0,5752.0,60240.15,60240.15,131469.0,1392502.74,1392502.74
2006-01-01,55399.0,577608.0,577608.0,0.0,0.0,0.0,1384.0,14548.0,14548.0,128256.0,1363220.0,1363220.0
2006-02-01,40387.0,420660.0,420660.0,0.0,0.0,0.0,1288.0,13518.0,13518.0,120560.0,1280124.0,1280124.0
2006-03-01,42079.0,437314.0,437314.0,0.0,0.0,0.0,1960.0,20537.0,20537.0,129210.0,1368950.0,1368950.0
2006-04-01,52297.0,549900.0,549900.0,0.0,0.0,0.0,1421.0,14818.0,14818.0,127115.0,1340769.0,1340769.0
2006-05-01,31349.0,322825.0,322825.0,0.0,0.0,0.0,1091.0,11141.0,11141.0,62786.0,648567.0,648567.0
2006-06-01,52456.0,536685.0,536685.0,0.0,0.0,0.0,1355.0,13897.0,13897.0,143601.0,1485162.0,1485162.0
2006-07-01,25491.0,267935.0,267935.0,0.0,0.0,0.0,12775.0,133360.0,133360.0,77317.0,816312.0,816312.0
2006-08-01,27720.0,284075.0,284075.0,0.0,0.0,0.0,8308.0,84445.0,84445.0,79646.0,818752.0,818752.0
2006-09-01,31416.0,302225.0,302225.0,0.0,0.0,0.0,1589.0,15157.0,15157.0,130294.0,1254723.0,1254723.0
2006-10-01,26008.0,262434.0,262434.0,0.0,0.0,0.0,5552.0,56015.0,56015.0,140104.0,1429559.0,1429559.0
2006-11-01,17711.0,185356.0,185356.0,0.0,0.0,0.0,1826.0,18871.0,18871.0,113088.0,1181773.0,1181773.0
2006-12-01,29611.0,306379.0,306379.0,0.0,0.0,0.0,2275.0,23533.0,23533.0,144787.0,1514895.0,1514895.0
2007-01-01,25137.801,262037.0,262037.0,0.0,0.0,0.0,1493.891,15572.0,15572.0,165021.307,1720184.0,1720184.0
2007-02-01,17544.453,184859.0,184859.0,0.0,0.0,0.0,2671.224,28146.0,28146.0,137888.323,1452877.0,1452877.0
2007-03-01,30486.43,319374.0,319374.0,0.0,0.0,0.0,1260.5220000000002,13205.0,13205.0,100238.049,1050089.0,1050089.0
2007-04-01,31991.629,329706.0,329706.0,0.0,0.0,0.0,986.7410000000001,10169.0,10169.0,90280.63,930433.0,930433.0
2007-05-01,53428.416,545456.0,545456.0,0.0,0.0,0.0,1525.74,15576.0,15576.0,151937.846,1551149.0,1551149.0
2007-06-01,49465.565,508626.0,508626.0,0.0,0.0,0.0,2329.052,23948.0,23948.0,143643.381,1477003.0,1477003.0
2007-07-01,47748.26,493262.0,493262.0,0.0,0.0,0.0,2741.938,28325.0,28325.0,136439.802,1409486.0,1409486.0
2007-08-01,49391.104999999996,537586.0,537586.0,0.0,0.0,0.0,8495.816,92471.0,92471.0,142545.079,1551499.0,1551499.0
2007-09-01,48936.867,504998.0,504998.0,0.0,0.0,0.0,522.92,5396.0,5396.0,145894.213,1505536.0,1505536.0
2007-10-01,47656.229,501416.0,501416.0,0.0,0.0,0.0,1156.222,12165.0,12165.0,135064.549,1421084.0,1421084.0
2007-11-01,50014.603,484736.0,484736.0,0.0,0.0,0.0,933.171,9044.0,9044.0,144289.226,1398434.0,1398434.0
2007-12-01,50256.102,495687.0,495687.0,0.0,0.0,0.0,1054.4070000000002,10400.0,10400.0,138105.491,1362164.0,1362164.0
2008-01-01,48514.399000000005,517915.0,517915.0,0.0,0.0,0.0,2521.282,26916.0,26916.0,132989.32,1419726.0,1419726.0
2008-02-01,44113.171,450804.0,450804.0,0.0,0.0,0.0,7895.643,80688.0,80688.0,113197.186,1156792.0,1156792.0
2008-03-01,40346.591,407050.0,407050.0,0.0,0.0,0.0,1541.98,15557.0,15557.0,124275.429,1253793.0,1253793.0
2008-04-01,31750.682,344801.0,344801.0,0.0,0.0,0.0,1536.9080000000001,16690.0,16690.0,100283.41,1089040.0,1089040.0
2008-05-01,38917.908,421050.0,421050.0,0.0,0.0,0.0,1629.304,17627.0,17627.0,133267.788,1441814.0,1441814.0
2008-06-01,25564.531,288547.0,288547.0,0.0,0.0,0.0,868.83,9806.0,9806.0,96140.638,1085138.0,1085138.0
2008-07-01,13267.380000000001,155456.0,155456.0,0.0,0.0,0.0,1092.487,12801.0,12801.0,135781.134,1590964.0,1590964.0
2008-08-01,46352.322,552972.0,552972.0,0.0,0.0,0.0,593.489,7080.0,7080.0,144261.19,1721002.0,1721002.0
2008-09-01,37606.495,421880.0,421880.0,0.0,0.0,0.0,2929.9480000000003,32869.0,32869.0,128801.557,1444933.0,1444933.0
2008-10-01,44204.352,502926.0,502926.0,0.0,0.0,0.0,1040.057,11833.0,11833.0,142693.592,1623468.0,1623468.0
2008-11-01,45185.276,487843.0,487843.0,0.0,0.0,0.0,1624.9180000000001,17543.0,17543.0,129249.806,1395446.0,1395446.0
2008-12-01,45706.263,494300.0,494300.0,0.0,0.0,0.0,3663.222,39617.0,39617.0,130094.515,1406935.0,1406935.0
2009-01-01,48997.282,516876.0,516876.0,,,,1579.728,16665.0,16665.0,144605.99,1525459.0,1525459.0
2009-02-01,34939.723,366511.0,366511.0,,,,1425.401,14952.0,14952.0,100060.876,1049618.0,1049618.0
2009-03-01,30153.081,309283.0,309283.0,,,,1944.053,19940.0,19940.0,88163.866,904304.0,904304.0
2009-04-01,40197.338,435889.0,435889.0,,,,1300.574,14103.0,14103.0,118254.088,1282316.0,1282316.0
2009-05-01,25399.209,286699.0,286699.0,,,,1044.506,11790.0,11790.0,63597.285,717867.0,717867.0
2009-06-01,40880.842,438723.0,438723.0,,,,1653.2130000000002,17742.0,17742.0,109407.945,1174140.0,1174140.0
2009-07-01,46306.915,536180.0,536180.0,,,,1026.902,11890.0,11890.0,125217.183,1449870.0,1449870.0
2009-08-01,37248.881,434751.0,434751.0,,,,1348.5710000000001,15740.0,15740.0,100231.548,1169855.0,1169855.0
2009-09-01,70389.836,754045.0,754045.0,,,,1164.7730000000001,12478.0,12478.0,87986.391,942547.0,942547.0
2009-10-01,50355.039,536163.0,536163.0,,,,1222.394,13016.0,13016.0,78560.567,836486.0,836486.0
2009-11-01,46979.323000000004,507137.0,507137.0,,,,1145.5430000000001,12366.0,12366.0,82993.134,895902.0,895902.0
2009-12-01,38065.065,420173.0,420173.0,,,,1234.462,13626.0,13626.0,108030.473,1192472.0,1192472.0
2010-01-01,47840.697,526094.0,526094.0,,,,1413.453,15543.0,15543.0,132543.85,1457558.0,1457558.0
2010-02-01,39798.834,437075.0,437075.0,,,,2187.945,24028.0,24028.0,125039.221,1373193.0,1373193.0
2010-03-01,46651.21,491164.0,491164.0,,,,1262.375,13291.0,13291.0,130732.415,1376406.0,1376406.0
2010-04-01,22614.29,239769.0,239769.0,,,,1621.644,17194.0,17194.0,64579.066,684703.0,684703.0
2010-05-01,31246.417,316369.0,316369.0,,,,1283.073,12991.0,12991.0,99701.51000000001,1009475.0,1009475.0
2010-06-01,43195.053,479064.0,479064.0,,,,1111.207,12324.0,12324.0,129217.74,1433117.0,1433117.0
2010-07-01,47009.769,501430.0,501430.0,,,,918.508,9797.0,9797.0,143342.723,1528966.0,1528966.0
