measured_on,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Total Fuel Consumed,"Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Generation,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Total Fuel Consumed,"Other Biomass Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed"
2012-01-01,264.27,4008.0,8019.0,0.0,0.0,0.0,,,,1.352,20.0,40.0,90.598,1374.0,2750.0,,,
2012-02-01,206.915,3138.0,6279.0,0.0,0.0,0.0,,,,1.258,19.0,38.0,70.937,1076.0,2153.0,,,
2012-03-01,338.598,5135.0,10275.0,0.0,0.0,0.0,,,,1.196,18.0,36.0,116.081,1760.0,3523.0,,,
2012-04-01,214.051,3246.0,6496.0,0.0,0.0,0.0,,,,1.085,16.0,33.0,73.383,1113.0,2227.0,,,
2012-05-01,233.315,3538.0,7080.0,0.0,0.0,0.0,,,,1.306,20.0,39.0,79.987,1213.0,2427.0,,,
2012-06-01,271.833,4122.0,8249.0,0.0,0.0,0.0,,,,1.369,21.0,41.0,93.192,1413.0,2828.0,,,
2012-07-01,304.286,4614.0,9234.0,0.0,0.0,0.0,,,,1.637,25.0,49.0,104.318,1582.0,3166.0,,,
2012-08-01,198.447,3009.0,6022.0,0.0,0.0,0.0,,,,1.353,21.0,41.0,68.034,1032.0,2065.0,,,
2012-09-01,285.147,4324.0,8653.0,0.0,0.0,0.0,,,,1.146,17.0,34.0,97.757,1482.0,2966.0,,,
2012-10-01,250.909,3805.0,7614.0,0.0,0.0,0.0,,,,1.144,17.0,34.0,86.019,1304.0,2610.0,,,
2012-11-01,173.494,2631.0,5265.0,0.0,0.0,0.0,,,,1.002,15.0,30.0,59.479,902.0,1805.0,,,
2012-12-01,263.585,3997.0,7999.0,0.0,0.0,0.0,,,,1.152,17.0,35.0,90.365,1370.0,2742.0,,,
2013-01-01,442.631,11120.0,11120.0,0.0,0.0,0.0,5.095,127.0,127.0,3.871,52.0,52.0,67.704,1702.0,1702.0,0.0,0.0,0.0
2013-02-01,381.828,9592.0,9592.0,0.0,0.0,0.0,5.451,137.0,137.0,4.144,57.0,57.0,58.403,1467.0,1467.0,0.0,0.0,0.0
