measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2018-12-01,85.0,774.0,774.0
2019-01-01,167.092,1488.0,1488.0
2019-02-01,194.158,1729.0,1729.0
2019-03-01,296.909,2644.0,2644.0
2019-04-01,345.009,3072.0,3072.0
2019-05-01,360.056,3206.0,3206.0
2019-06-01,435.523,3878.0,3878.0
2019-07-01,429.486,3825.0,3825.0
2019-08-01,420.565,3745.0,3745.0
2019-09-01,343.096,3055.0,3055.0
2019-10-01,315.054,2806.0,2806.0
2019-11-01,201.281,1792.0,1792.0
2019-12-01,129.771,1156.0,1156.0
2020-01-01,94.804,831.0,831.0
2020-02-01,246.005,2157.0,2157.0
2020-03-01,282.215,2474.0,2474.0
2020-04-01,412.401,3616.0,3616.0
2020-05-01,406.756,3566.0,3566.0
2020-06-01,457.753,4013.0,4013.0
2020-07-01,499.689,4381.0,4381.0
2020-08-01,429.591,3766.0,3766.0
2020-09-01,330.133,2894.0,2894.0
2020-10-01,289.301,2536.0,2536.0
2020-11-01,143.081,1254.0,1254.0
2020-12-01,117.271,1028.0,1028.0
2021-01-01,132.802,1175.0,1175.0
2021-02-01,200.917,1777.0,1777.0
2021-03-01,361.028,3193.0,3193.0
2021-04-01,441.393,3904.0,3904.0
2021-05-01,481.466,4258.0,4258.0
2021-06-01,533.032,4714.0,4714.0
2021-07-01,455.436,4028.0,4028.0
2021-08-01,396.686,3508.0,3508.0
2021-09-01,343.001,3034.0,3034.0
2021-10-01,216.177,1912.0,1912.0
2021-11-01,141.769,1254.0,1254.0
2021-12-01,88.293,781.0,781.0
2022-01-01,154.75,528.0,528.0
2022-02-01,227.827,777.0,777.0
2022-03-01,278.139,949.0,949.0
2022-04-01,342.556,1169.0,1169.0
2022-05-01,409.369,1397.0,1397.0
2022-06-01,433.315,1478.0,1478.0
2022-07-01,508.239,1734.0,1734.0
2022-08-01,449.359,1533.0,1533.0
2022-09-01,339.501,1158.0,1158.0
2022-10-01,282.488,964.0,964.0
2022-11-01,150.969,515.0,515.0
2022-12-01,101.488,346.0,346.0
2023-01-01,96.0,328.0,328.0
2023-02-01,165.0,563.0,563.0
2023-03-01,268.0,914.0,914.0
2023-04-01,325.0,1109.0,1109.0
2023-05-01,485.0,1655.0,1655.0
2023-06-01,521.0,1778.0,1778.0
2023-07-01,540.0,1842.0,1842.0
2023-08-01,452.0,1542.0,1542.0
2023-09-01,356.0,1215.0,1215.0
2023-10-01,240.0,819.0,819.0
2023-11-01,126.0,430.0,430.0
2023-12-01,68.0,232.0,232.0
2024-01-01,78.0,266.0,266.0
2024-02-01,164.0,560.0,560.0
2024-03-01,293.0,1000.0,1000.0
2024-04-01,376.0,1283.0,1283.0
2024-05-01,449.0,1532.0,1532.0
2024-06-01,447.0,1525.0,1525.0
2024-07-01,529.0,1805.0,1805.0
2024-08-01,438.0,1494.0,1494.0
2024-09-01,359.0,1225.0,1225.0
2024-10-01,273.0,931.0,931.0
2024-11-01,101.0,345.0,345.0
2024-12-01,79.0,270.0,270.0
