measured_on,Other Biomass Gas Generation,Other Biomass Gas Quantity Consumed For Electricity,Other Biomass Gas Total Fuel Consumed
2019-07-01,535.17,7498.0,7498.0
2019-08-01,558.325,7822.0,7822.0
2019-09-01,514.018,7202.0,7202.0
2019-10-01,457.653,6412.0,6412.0
2019-11-01,497.739,6973.0,6973.0
2019-12-01,537.095,7525.0,7525.0
2020-01-01,519.835,6896.0,6896.0
2020-02-01,467.6,6203.0,6203.0
2020-03-01,492.714,6536.0,6536.0
2020-04-01,461.135,6117.0,6117.0
2020-05-01,489.854,6498.0,6498.0
2020-06-01,451.488,5989.0,5989.0
2020-07-01,507.074,6727.0,6727.0
2020-08-01,484.131,6422.0,6422.0
2020-09-01,480.203,6370.0,6370.0
2020-10-01,462.151,6131.0,6131.0
2020-11-01,465.266,6172.0,6172.0
2020-12-01,415.549,5512.0,5512.0
2021-01-01,515.865,7707.0,7707.0
2021-02-01,479.138,7157.0,7157.0
2021-03-01,535.09,7993.0,7993.0
2021-04-01,443.989,6632.0,6632.0
2021-05-01,480.581,7179.0,7179.0
2021-06-01,493.787,7376.0,7376.0
2021-07-01,479.857,7168.0,7168.0
2021-08-01,476.782,7122.0,7122.0
2021-09-01,483.866,7228.0,7228.0
2021-10-01,474.021,7081.0,7081.0
2021-11-01,467.03,6976.0,6976.0
2021-12-01,467.994,6991.0,6991.0
2022-01-01,537.706,6842.0,6842.0
2022-02-01,476.187,6060.0,6060.0
2022-03-01,513.796,6538.0,6538.0
2022-04-01,399.87,5089.0,5089.0
2022-05-01,412.758,5253.0,5253.0
2022-06-01,458.408,5834.0,5834.0
2022-07-01,492.87,6272.0,6272.0
2022-08-01,518.487,6598.0,6598.0
2022-09-01,502.581,6396.0,6396.0
2022-10-01,505.914,6438.0,6438.0
2022-11-01,429.618,5467.0,5467.0
2022-12-01,489.805,6234.0,6234.0
2023-01-01,404.652,4790.0,4790.0
2023-02-01,392.979,4652.0,4652.0
2023-03-01,415.204,4915.0,4915.0
2023-04-01,395.789,4685.0,4685.0
2023-05-01,485.739,5750.0,5750.0
2023-06-01,434.252,5140.0,5140.0
2023-07-01,453.291,5366.0,5366.0
2023-08-01,486.77,5762.0,5762.0
2023-09-01,453.606,5369.0,5369.0
2023-10-01,427.576,5062.0,5062.0
2023-11-01,434.707,5146.0,5146.0
2023-12-01,490.435,5805.0,5805.0
2024-01-01,471.127,4966.0,4966.0
2024-02-01,410.063,4323.0,4323.0
2024-03-01,491.789,5185.0,5185.0
2024-04-01,402.981,4249.0,4249.0
2024-05-01,475.681,5015.0,5015.0
2024-06-01,443.839,4680.0,4680.0
2024-07-01,460.045,4850.0,4850.0
2024-08-01,464.92,4902.0,4902.0
2024-09-01,445.785,4700.0,4700.0
2024-10-01,431.395,4548.0,4548.0
2024-11-01,460.092,4851.0,4851.0
2024-12-01,481.283,5074.0,5074.0
