measured_on,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,238.395,2441.4,2441.4
2003-02-01,199.33700000000002,2041.41,2041.41
2003-03-01,205.005,2099.46,2099.46
2003-04-01,209.85,2149.07,2149.07
2003-05-01,228.69,2342.01,2342.01
2003-06-01,236.64,2423.43,2423.43
2003-07-01,263.269,2696.14,2696.14
2003-08-01,274.676,2812.96,2812.96
2003-09-01,233.75300000000001,2393.86,2393.86
2003-10-01,199.84300000000002,2046.59,2046.59
2003-11-01,193.27700000000002,1979.35,1979.35
2003-12-01,238.776,2445.31,2445.31
2004-01-01,231.98,2324.9,2324.9
2004-02-01,251.762,2523.16,2523.16
2004-03-01,177.436,1778.26,1778.26
2004-04-01,135.066,1353.63,1353.63
2004-05-01,142.888,1432.02,1432.02
2004-06-01,176.806,1771.95,1771.95
2004-07-01,210.235,2106.98,2106.98
2004-08-01,237.135,2376.57,2376.57
2004-09-01,426.74600000000004,4276.85,4276.85
2004-10-01,247.282,2478.26,2478.26
2004-11-01,237.17200000000003,2376.94,2376.94
2004-12-01,398.47200000000004,3993.49,3993.49
2005-01-01,295.822,2957.92,2957.92
2005-02-01,240.39100000000002,2403.67,2403.67
2005-03-01,262.652,2626.26,2626.26
2005-04-01,329.262,3292.29,3292.29
2005-05-01,243.955,2439.31,2439.31
2005-06-01,218.56900000000002,2185.48,2185.48
2005-07-01,185.578,1855.59,1855.59
2005-08-01,146.326,1463.11,1463.11
2005-09-01,126.402,1263.89,1263.89
2005-10-01,257.104,2570.78,2570.78
2005-11-01,282.335,2823.07,2823.07
2005-12-01,298.60400000000004,2985.74,2985.74
2006-01-01,97.43100000000001,966.0,966.0
2006-02-01,87.854,871.0,871.0
2006-03-01,77.4,768.0,768.0
2006-04-01,84.248,836.0,836.0
2006-05-01,99.60900000000001,988.0,988.0
2006-06-01,97.872,971.0,971.0
2006-07-01,102.63300000000001,1018.0,1018.0
2006-08-01,101.891,1011.0,1011.0
2006-09-01,66.13900000000001,656.0,656.0
2006-10-01,58.306000000000004,578.0,578.0
2006-11-01,68.296,677.0,677.0
2006-12-01,72.32,717.0,717.0
