measured_on,Other Biomass Gas Generation,Other Biomass Gas Quantity Consumed For Electricity,Other Biomass Gas Total Fuel Consumed
2016-10-01,596.566,8360.0,8360.0
2016-11-01,608.628,8530.0,8530.0
2016-12-01,603.806,8462.0,8462.0
2017-01-01,583.847,8889.0,8889.0
2017-02-01,528.177,8042.0,8042.0
2017-03-01,591.47,9006.0,9006.0
2017-04-01,531.672,8095.0,8095.0
2017-05-01,579.476,8823.0,8823.0
2017-06-01,593.052,9030.0,9030.0
2017-07-01,588.03,8953.0,8953.0
2017-08-01,589.848,8981.0,8981.0
2017-09-01,553.124,8421.0,8421.0
2017-10-01,466.675,7105.0,7105.0
2017-11-01,557.105,8483.0,8483.0
2017-12-01,613.524,9341.0,9341.0
2018-01-01,629.721,9541.0,9541.0
2018-02-01,588.49,8917.0,8917.0
2018-03-01,584.4,8855.0,8855.0
2018-04-01,555.133,8411.0,8411.0
2018-05-01,567.875,8604.0,8604.0
2018-06-01,568.526,8614.0,8614.0
2018-07-01,610.27,9247.0,9247.0
2018-08-01,635.949,9635.0,9635.0
2018-09-01,614.712,9314.0,9314.0
2018-10-01,619.487,9386.0,9386.0
2018-11-01,607.409,9203.0,9203.0
2018-12-01,646.028,9788.0,9788.0
2019-01-01,357.209,5305.0,5305.0
2019-02-01,326.851,4853.0,4853.0
2019-03-01,362.134,5377.0,5377.0
2019-04-01,335.965,4989.0,4989.0
2019-05-01,312.577,4642.0,4642.0
2019-06-01,317.553,4715.0,4715.0
2019-07-01,350.401,5203.0,5203.0
2019-08-01,365.56,5428.0,5428.0
2019-09-01,336.551,4997.0,4997.0
2019-10-01,299.646,4450.0,4450.0
2019-11-01,325.892,4840.0,4840.0
2019-12-01,351.661,5222.0,5222.0
2020-01-01,70.258,856.0,856.0
2020-02-01,63.2,769.0,769.0
2020-03-01,66.595,811.0,811.0
2020-04-01,62.327,759.0,759.0
2020-05-01,66.208,806.0,806.0
2020-06-01,61.023,743.0,743.0
2020-07-01,68.536,834.0,834.0
2020-08-01,65.435,796.0,796.0
2020-09-01,64.904,790.0,790.0
2020-10-01,62.464,760.0,760.0
2020-11-01,62.885,766.0,766.0
2020-12-01,56.165,684.0,684.0
2021-01-01,5.873,66.0,66.0
2021-02-01,5.454,62.0,62.0
2021-03-01,6.091,69.0,69.0
2021-04-01,5.054,57.0,57.0
2021-05-01,5.471,62.0,62.0
2021-06-01,5.621,64.0,64.0
2021-07-01,5.462,62.0,62.0
2021-08-01,5.427,61.0,61.0
2021-09-01,5.508,63.0,63.0
2021-10-01,5.396,61.0,61.0
2021-11-01,5.316,60.0,60.0
2021-12-01,5.327,60.0,60.0
2022-01-01,6.933,71.0,71.0
2022-02-01,6.141,63.0,63.0
2022-03-01,6.626,68.0,68.0
2022-04-01,5.157,53.0,53.0
2022-05-01,5.323,55.0,55.0
2022-06-01,5.912,60.0,60.0
2022-07-01,6.356,65.0,65.0
2022-08-01,6.687,68.0,68.0
2022-09-01,6.482,66.0,66.0
2022-10-01,6.525,67.0,67.0
2022-11-01,5.541,56.0,56.0
2022-12-01,6.317,64.0,64.0
2023-01-01,27.618,274.0,274.0
2023-02-01,26.819,266.0,266.0
2023-03-01,28.336,280.0,280.0
2023-04-01,27.011,267.0,267.0
2023-05-01,33.15,328.0,328.0
2023-06-01,29.636,294.0,294.0
2023-07-01,30.935,306.0,306.0
2023-08-01,33.22,329.0,329.0
2023-09-01,30.957,307.0,307.0
2023-10-01,29.181,289.0,289.0
2023-11-01,29.667,294.0,294.0
2023-12-01,33.47,331.0,331.0
2024-01-01,78.097,855.0,855.0
2024-02-01,67.974,744.0,744.0
2024-03-01,81.522,892.0,892.0
2024-04-01,66.8,731.0,731.0
2024-05-01,78.852,863.0,863.0
2024-06-01,73.573,805.0,805.0
2024-07-01,76.26,834.0,834.0
2024-08-01,77.068,844.0,844.0
2024-09-01,73.896,809.0,809.0
2024-10-01,71.511,783.0,783.0
2024-11-01,76.267,834.0,834.0
2024-12-01,79.78,873.0,873.0
