measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,15.0,343.0,493.0,7762.0,179234.0,257375.0
2003-02-01,0.0,0.0,0.0,40.0,1111.0,1514.0,6731.0,187961.0,255922.0
2003-03-01,0.0,0.0,0.0,27.0,802.0,1009.0,,,
2003-04-01,0.0,0.0,0.0,29.0,767.0,887.0,9128.146,257022.5,297308.0
2003-05-01,0.0,0.0,0.0,114.0,3285.0,3480.0,10056.0,289123.0,306272.0
2003-06-01,0.0,0.0,0.0,,,,,,
2003-08-01,0.0,0.0,0.0,92.0,2488.0,2761.0,6167.0,166702.0,184993.0
2003-09-01,0.0,0.0,0.0,,,,,,
2003-10-01,0.0,0.0,0.0,7.0,147.0,162.0,10812.5,236219.0,261260.0
2003-11-01,0.0,0.0,0.0,,,,,,
2003-12-01,0.0,0.0,0.0,71.0,2009.0,2749.0,6315.0,178701.5,244528.0
2004-01-01,0.0,0.0,0.0,326.40335,3000.26,13385.8,6673.942325,61346.015,273698.35
2004-02-01,0.0,0.0,0.0,68.45185,629.2,3118.6,5529.104074999999,50822.81,251900.64
2004-03-01,0.0,0.0,0.0,93.76214999999999,861.85,3596.0,7753.890425,71272.76,297380.035
2004-04-01,0.0,0.0,0.0,46.87014,430.82,1835.2,8152.2614300000005,74934.535,319201.745
2004-05-01,0.0,0.0,0.0,37.73844,346.89,1221.4,9225.24728,84797.29000000001,298574.02
2004-06-01,0.0,0.0,0.0,47.350649999999995,435.24,1760.8,9001.075175,82736.725,334717.53500000003
2004-07-01,0.0,0.0,0.0,70.39089,647.02,3112.4,7537.360555,69282.45,333271.55500000005
2004-08-01,0.0,0.0,0.0,68.18274,626.73,2771.4,7473.726130000001,68697.53,303781.95
2004-09-01,0.0,0.0,0.0,123.38963,1134.18,4904.2,5704.70019,52436.869999999995,226736.975
2004-10-01,0.0,0.0,0.0,87.90728,808.03,3007.0,7545.834854999999,69360.345,258116.56
2004-11-01,0.0,0.0,0.0,197.91833,1819.24,7520.6,7006.91983,64406.705,266252.45
2004-12-01,0.0,0.0,0.0,94.71132,870.57,3899.8,7823.743339999999,71914.84,322147.70499999996
2005-01-01,0.0,0.0,0.0,121.25858,1114.59,4631.4,7789.045705,71595.9,297498.0
2005-02-01,0.0,0.0,0.0,26.603489999999997,244.54,967.2,7609.55476,69946.045,276654.0
2005-03-01,0.0,0.0,0.0,78.33966,720.09,3118.6,8084.3631700000005,74310.42499999999,321828.0
2005-04-01,0.0,0.0,0.0,43.14598,396.59,1574.8,9048.820510000001,83175.595,330276.0
2005-05-01,0.0,0.0,0.0,29.353119999999997,269.81,1004.4,10050.549439999999,92383.35500000001,343908.0
2005-06-01,0.0,0.0,0.0,16.69181,153.43,651.0,9043.883595,83130.215,352722.0
2005-07-01,0.0,0.0,0.0,37.634479999999996,345.93,1444.6,9290.96926,85401.39499999999,356634.0
2005-08-01,0.0,0.0,0.0,41.844919999999995,384.63,1328.2,9096.97704,83618.24,288747.22
2005-09-01,0.0,0.0,0.0,38.24276,351.52,1136.8,8654.45712,79550.655,257261.43
2005-10-01,0.0,0.0,0.0,122.74434,1128.25,3509.0,8085.447825,74320.4,231145.78
2005-11-01,0.0,0.0,0.0,57.235119999999995,526.1,1780.6,9151.22644,84116.895,284697.115
