measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed",Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,160.135,1024.0,1024.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,112.178,717.0,717.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,117.008,748.0,748.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,135.947,869.0,869.0,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,138.784,887.0,887.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,159.508,1020.0,1020.0,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,166.642,1065.0,1065.0,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,170.387,1090.0,1090.0,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,142.214,909.0,909.0,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,147.714,945.0,945.0,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,163.274,1044.0,1044.0,0.0,0.0,0.0
2021-12-01,3.0,17.0,17.0,-1.0,0.0,0.0,170.209,1089.0,1089.0,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,144.331,981.0,981.0,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,119.596,814.0,814.0,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,113.6,774.0,774.0,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,110.836,754.0,754.0,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,140.383,956.0,956.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,164.297,1119.0,1119.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,171.288,1166.0,1166.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,169.986,1157.0,1157.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,149.617,1019.0,1019.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,123.992,844.0,844.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,130.258,887.0,887.0,0.0,0.0,0.0
2022-12-01,3.0,17.0,17.0,-1.0,0.0,0.0,137.816,938.0,938.0,0.0,0.0,0.0
2023-01-01,0.021,6.0,6.0,-1.0,0.0,0.0,115.129,811.0,811.0,0.24,60.0,60.0
2023-02-01,0.017,6.0,6.0,0.0,0.0,0.0,110.192,775.0,775.0,0.229,57.0,57.0
2023-03-01,0.018,6.0,6.0,0.0,0.0,0.0,106.366,748.0,748.0,0.221,55.0,55.0
2023-04-01,0.012,6.0,6.0,0.0,0.0,0.0,96.058,675.0,675.0,0.2,49.0,49.0
2023-05-01,0.011,0.0,0.0,0.0,0.0,0.0,123.615,868.0,868.0,0.257,64.0,64.0
2023-06-01,0.011,0.0,0.0,0.0,0.0,0.0,127.485,896.0,896.0,0.265,66.0,66.0
2023-07-01,0.008,0.0,0.0,0.0,0.0,0.0,128.675,904.0,904.0,0.268,67.0,67.0
2023-08-01,0.01,0.0,0.0,0.0,0.0,0.0,130.657,918.0,918.0,0.272,68.0,68.0
2023-09-01,0.009,0.0,0.0,0.0,0.0,0.0,123.181,865.0,865.0,0.256,64.0,64.0
2023-10-01,0.012,6.0,6.0,0.0,0.0,0.0,94.865,666.0,666.0,0.197,49.0,49.0
2023-11-01,0.016,6.0,6.0,0.0,0.0,0.0,92.991,653.0,653.0,0.193,48.0,48.0
2023-12-01,0.018,6.0,6.0,0.0,0.0,0.0,114.786,806.0,806.0,0.239,60.0,60.0
2024-01-01,0.0,0.0,0.0,-43.0,0.0,0.0,1245.0,8283.0,8283.0,0.267,64.0,64.0
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,56.0,56.0
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,46.0,46.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186,45.0,45.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226,56.0,56.0
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253,62.0,62.0
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301,73.0,73.0
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,73.0,73.0
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243,60.0,60.0
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,56.0,56.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218,54.0,54.0
2024-12-01,0.119,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239,59.0,59.0
