measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,0.183,2.0,2.0,0.73,8.0,8.0
2003-02-01,0.155,2.0,2.0,0.621,7.0,7.0
2003-03-01,0.171,2.0,2.0,0.686,8.0,8.0
2003-04-01,0.149,2.0,2.0,0.595,7.0,7.0
2003-05-01,0.134,2.0,2.0,0.535,6.0,6.0
2003-06-01,0.16,2.0,2.0,0.64,7.0,7.0
2003-07-01,0.194,2.0,2.0,0.774,8.0,8.0
2003-08-01,0.182,2.0,2.0,0.73,8.0,8.0
2003-09-01,0.17,2.0,2.0,0.678,7.0,7.0
2003-10-01,0.166,2.0,2.0,0.663,7.0,7.0
2003-11-01,0.158,2.0,2.0,0.632,7.0,7.0
2003-12-01,0.17900000000000002,2.0,2.0,0.7140000000000001,8.0,8.0
2004-01-01,0.129,5.0,5.0,2.4170000000000003,69.0,69.0
2004-02-01,0.11800000000000001,5.0,5.0,2.4170000000000003,69.0,69.0
2004-03-01,0.109,5.0,5.0,2.4170000000000003,69.0,69.0
2004-04-01,0.0,0.0,0.0,2.4170000000000003,69.0,69.0
2004-05-01,0.0,0.0,0.0,2.4170000000000003,69.0,69.0
2004-06-01,0.0,0.0,0.0,2.4170000000000003,69.0,69.0
2004-07-01,0.24700000000000003,10.0,10.0,2.4170000000000003,69.0,69.0
2004-08-01,0.117,5.0,5.0,2.4170000000000003,69.0,69.0
2004-09-01,0.279,12.0,12.0,2.4170000000000003,69.0,69.0
2004-10-01,0.0,0.0,0.0,2.4170000000000003,69.0,69.0
2004-11-01,0.0,0.0,0.0,2.4170000000000003,69.0,69.0
2004-12-01,0.0,0.0,0.0,2.4170000000000003,69.0,69.0
2005-01-01,6.432,28.92,28.92,9.791,42.55,42.55
2005-02-01,2.21,9.94,9.94,7.833,34.04,34.04
2005-03-01,2.4490000000000003,11.01,11.01,10.869,47.24,47.24
2005-04-01,2.967,13.34,13.34,10.318,44.84,44.84
2005-05-01,2.7560000000000002,12.38,12.38,9.866,42.88,42.88
2005-06-01,3.576,16.08,16.08,18.625,80.94,80.94
2005-07-01,3.64,16.37,16.37,24.519000000000002,106.55,106.55
