measured_on,"Solar - Energy Storage, Concentrated Solar Power - Solar - Generation","Solar - Energy Storage, Concentrated Solar Power - Solar - Quantity Consumed For Electricity","Solar - Energy Storage, Concentrated Solar Power - Solar - Total Fuel Consumed",Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2022-06-01,,,,463.475,1581.0,1581.0
2022-07-01,,,,543.614,1855.0,1855.0
2022-08-01,,,,480.636,1640.0,1640.0
2022-09-01,,,,363.132,1239.0,1239.0
2022-10-01,,,,302.15,1031.0,1031.0
2022-11-01,,,,161.477,551.0,551.0
2022-12-01,,,,108.551,370.0,370.0
2023-01-01,,,,112.0,382.0,382.0
2023-02-01,,,,231.0,788.0,788.0
2023-03-01,,,,261.0,891.0,891.0
2023-04-01,,,,376.0,1283.0,1283.0
2023-05-01,,,,451.0,1539.0,1539.0
2023-06-01,,,,464.0,1583.0,1583.0
2023-07-01,,,,500.0,1706.0,1706.0
2023-08-01,,,,499.0,1703.0,1703.0
2023-09-01,,,,355.0,1211.0,1211.0
2023-10-01,,,,270.0,921.0,921.0
2023-11-01,,,,176.0,601.0,601.0
2023-12-01,,,,118.0,403.0,403.0
2024-01-01,,,,115.0,392.0,392.0
2024-02-01,,,,184.0,628.0,628.0
2024-03-01,,,,299.0,1020.0,1020.0
2024-04-01,,,,381.0,1300.0,1300.0
2024-05-01,,,,525.0,1791.0,1791.0
2024-06-01,,,,471.0,1607.0,1607.0
2024-07-01,,,,523.0,1784.0,1784.0
2024-08-01,,,,473.0,1614.0,1614.0
2024-09-01,,,,347.0,1184.0,1184.0
2024-10-01,,,,297.0,1013.0,1013.0
2024-11-01,,,,142.0,485.0,485.0
2024-12-01,,,,116.0,396.0,396.0
