measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed
2024-01-01,-29.0,0.0,0.0
2024-02-01,-60.0,0.0,0.0
2024-03-01,-45.0,0.0,0.0
2024-04-01,-31.0,0.0,0.0
2024-05-01,-21.0,0.0,0.0
2024-06-01,-36.0,0.0,0.0
2024-07-01,-56.0,0.0,0.0
2024-08-01,-49.0,0.0,0.0
2024-09-01,-22.0,0.0,0.0
2024-10-01,-134.0,0.0,0.0
2024-11-01,-38.0,0.0,0.0
2024-12-01,-60.0,0.0,0.0
