measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Other Biomass Solids Generation,Other Biomass Solids Quantity Consumed For Electricity,Other Biomass Solids Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Waste Coal Generation,Waste Coal Quantity Consumed For Electricity,Waste Coal Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2001-01-01,,,,,,,,,,,,,124330.761,1265906.0,1306162.0,,,,,,,,,
2001-02-01,,,,,,,,,,,,,119718.0,1158275.0,1192510.0,,,,,,,,,
2001-03-01,,,,,,,,,,,,,128593.0,1234118.0,1268234.0,,,,,,,,,
2001-04-01,,,,,,,,,,,,,104113.0,951695.0,973192.0,,,,,,,,,
2001-05-01,,,,,,,,,,,,,132009.0,1213274.0,1249226.0,,,,,,,,,
2001-06-01,,,,,,,,,,,,,128623.0,1258158.0,1292434.0,,,,,,,,,
2001-07-01,,,,,,,,,,,,,129500.0,1278160.0,1314104.0,,,,,,,,,
2001-08-01,,,,,,,,,,,,,130967.0,1231977.0,1270126.0,,,,,,,,,
2001-09-01,,,,,,,,,,,,,125545.0,1176396.0,1203158.0,,,,,,,,,
2001-10-01,,,,,,,,,,,,,123056.0,1126488.0,1150534.0,,,,,,,,,
2001-11-01,,,,,,,,,,,,,128535.0,1188716.0,1214092.0,,,,,,,,,
2001-12-01,,,,,,,,,,,,,118629.0,1127418.0,1151172.0,,,,,,,,,
