measured_on,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Generation,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,2067.1620000000003,30844.0,30844.0,,,
2003-02-01,1831.275,27324.0,27324.0,,,
2003-03-01,1891.44,28222.0,28222.0,,,
2003-04-01,1660.893,24782.0,24782.0,,,
2003-05-01,1630.0040000000001,24321.0,24321.0,,,
2003-06-01,1551.0330000000001,23143.0,23143.0,,,
2003-07-01,1659.991,24769.0,24769.0,,,
2003-08-01,1589.28,23713.0,23713.0,,,
2003-09-01,1699.965,25365.0,25365.0,,,
2003-10-01,1832.53,27343.0,27343.0,,,
2003-11-01,1922.863,28691.0,28691.0,,,
2003-12-01,2147.565,32044.0,32044.0,,,
2004-01-01,1785.75,26659.0,26659.0,,,
2004-02-01,1785.75,26659.0,26659.0,,,
2004-03-01,1785.75,26659.0,26659.0,,,
2004-04-01,1785.75,26659.0,26659.0,,,
2004-05-01,1785.75,26659.0,26659.0,,,
2004-06-01,1785.75,26659.0,26659.0,,,
2004-07-01,1785.75,26659.0,26659.0,,,
2004-08-01,1785.75,26659.0,26659.0,,,
2004-09-01,1785.75,26659.0,26659.0,,,
2004-10-01,1785.75,26659.0,26659.0,,,
2004-11-01,1785.75,26659.0,26659.0,,,
2004-12-01,1785.75,26659.0,26659.0,,,
2005-01-01,3142.503,47278.45,47278.45,,,
2005-02-01,1079.663,16243.36,16243.36,,,
2005-03-01,1196.673,18003.75,18003.75,,,
2005-04-01,1449.51,21807.65,21807.65,,,
2005-05-01,1346.226,20253.75,20253.75,,,
2005-06-01,1747.2710000000002,26287.4,26287.4,,,
2005-07-01,1778.507,26757.34,26757.34,,,
2005-08-01,2089.315,31433.41,31433.41,,,
2005-09-01,1367.6860000000001,20576.61,20576.61,,,
2005-10-01,1518.836,22850.64,22850.64,,,
2005-11-01,1221.0120000000002,18369.92,18369.92,,,
2005-12-01,2581.7980000000002,38842.73,38842.73,,,
2006-01-01,2312.876,34815.0,34815.0,,,
2006-02-01,1210.255,18217.0,18217.0,,,
2006-03-01,1016.6260000000001,15303.0,15303.0,,,
2006-04-01,1947.39,29313.0,29313.0,,,
2006-05-01,1820.32,27401.0,27401.0,,,
2006-06-01,1654.545,24905.0,24905.0,,,
2006-07-01,2396.647,36076.0,36076.0,,,
2006-08-01,2324.735,34993.0,34993.0,,,
2006-09-01,1068.02,16076.0,16076.0,,,
2006-10-01,1128.175,16982.0,16982.0,,,
2006-11-01,1328.46,19997.0,19997.0,,,
2006-12-01,1471.952,22157.0,22157.0,,,
2007-01-01,2246.395,33408.0,33408.0,,,
2007-02-01,1739.675,25874.0,25874.0,,,
2007-03-01,3440.204,51162.0,51162.0,,,
2007-04-01,2092.5370000000003,31117.0,31117.0,,,
2007-05-01,1930.573,28710.0,28710.0,,,
2007-06-01,1887.3860000000002,28066.0,28066.0,,,
2007-07-01,2786.938,41447.0,41447.0,,,
2007-08-01,3517.9080000000004,52316.0,52316.0,,,
2007-09-01,2922.2980000000002,43459.0,43459.0,,,
2007-10-01,3529.157,52484.0,52484.0,,,
2007-11-01,2589.0260000000003,38500.0,38500.0,,,
2007-12-01,3711.902,55204.0,55204.0,,,
2008-01-01,3059.454,44904.0,44904.0,,,
2008-02-01,2800.3810000000003,41110.0,41110.0,,,
2008-03-01,1873.842,27509.0,27509.0,,,
2008-04-01,1890.923,27759.0,27759.0,,,
2008-05-01,1978.036,29041.0,29041.0,,,
2008-06-01,1325.064,19453.0,19453.0,,,
2008-07-01,1376.8390000000002,20213.0,20213.0,,,
2008-08-01,1362.559,20004.0,20004.0,,,
2008-09-01,1421.6970000000001,20868.0,20868.0,,,
2008-10-01,1618.5,23763.0,23763.0,,,
2008-11-01,1973.862,28977.0,28977.0,,,
2008-12-01,3349.8430000000003,49178.0,49178.0,,,
2009-01-01,933.129,14245.0,14245.0,,,
2009-02-01,684.851,10452.0,10452.0,,,
2009-03-01,711.331,10858.0,10858.0,,,
2009-04-01,730.8770000000001,11153.0,11153.0,,,
2009-05-01,438.177,6687.0,6687.0,,,
2009-06-01,430.29200000000003,6566.0,6566.0,,,
2009-07-01,485.11400000000003,7407.0,7407.0,,,
2009-08-01,482.6,7366.0,7366.0,,,
2009-09-01,321.475,4907.0,4907.0,,,
2009-10-01,318.525,4860.0,4860.0,,,
2009-11-01,605.467,9239.0,9239.0,,,
2009-12-01,614.162,9373.0,9373.0,,,
2010-01-01,3943.418,57513.0,57513.0,,,
2010-02-01,3133.121,45687.0,45687.0,,,
2010-03-01,2773.1730000000002,40438.0,40438.0,,,
2010-04-01,2455.203,35803.0,35803.0,,,
2010-05-01,2041.6200000000001,29771.0,29771.0,,,
2010-06-01,1602.6270000000002,23368.0,23368.0,,,
2010-07-01,1838.717,26813.0,26813.0,,,
2010-08-01,1874.632,27335.0,27335.0,,,
2010-09-01,1716.4920000000002,25033.0,25033.0,,,
2010-10-01,2057.563,30003.0,30003.0,,,
2010-11-01,2343.5530000000003,34174.0,34174.0,,,
2010-12-01,4262.881,62164.0,62164.0,,,
2011-01-01,2101.237,30960.0,30960.0,,,
2011-02-01,1876.493,27649.0,27649.0,,,
2011-03-01,1642.848,24209.0,24209.0,,,
2011-04-01,1064.42,15683.0,15683.0,,,
2011-05-01,1115.603,16437.0,16437.0,,,
2011-06-01,1036.484,15271.0,15271.0,,,
2011-07-01,1095.301,16141.0,16141.0,,,
2011-08-01,988.596,14564.0,14564.0,,,
2011-09-01,1095.58,16141.0,16141.0,,,
2011-10-01,1936.873,28542.0,28542.0,,,
2011-11-01,1793.263,26425.0,26425.0,,,
2011-12-01,1772.302,26112.0,26112.0,,,
2012-01-01,3280.508,41285.0,41285.0,,,
2012-02-01,1934.84,24355.0,24355.0,,,
2012-03-01,2934.55,36940.0,36940.0,,,
2012-04-01,1858.116,23390.0,23390.0,,,
2012-05-01,2325.164,29270.0,29270.0,,,
2012-06-01,1897.414,23885.0,23885.0,,,
2012-07-01,2966.743,37345.0,37345.0,,,
2012-08-01,2764.439,34800.0,34800.0,,,
2012-09-01,2573.594,32395.0,32395.0,,,
2012-10-01,1911.627,24065.0,24065.0,,,
2012-11-01,2050.201,25805.0,25805.0,,,
2012-12-01,3157.804,39750.0,39750.0,,,
2013-01-01,0.0,0.0,0.0,1969.788,23326.0,23326.0
2013-02-01,0.0,0.0,0.0,1359.083,16096.0,16096.0
2013-03-01,0.0,0.0,0.0,1374.711,16281.0,16281.0
2013-04-01,0.0,0.0,0.0,1585.672,18780.0,18780.0
2013-05-01,0.0,0.0,0.0,1598.068,18928.0,18928.0
2013-06-01,0.0,0.0,0.0,1147.639,13592.0,13592.0
2013-07-01,0.0,0.0,0.0,1086.643,12871.0,12871.0
2013-08-01,0.0,0.0,0.0,1072.136,12700.0,12700.0
2013-09-01,0.0,0.0,0.0,1258.264,14904.0,14904.0
2013-10-01,0.0,0.0,0.0,1210.794,14340.0,14340.0
2013-11-01,0.0,0.0,0.0,1578.18,18693.0,18693.0
2013-12-01,0.0,0.0,0.0,1786.022,21155.0,21155.0
2014-01-01,0.0,0.0,0.0,2199.475,25361.0,26061.0
2014-02-01,0.0,0.0,0.0,2086.888,24063.0,24730.0
2014-03-01,0.0,0.0,0.0,2037.185,23490.0,24139.0
2014-04-01,0.0,0.0,0.0,1914.077,22070.0,22683.0
2014-05-01,0.0,0.0,0.0,1616.131,18635.0,19152.0
2014-06-01,0.0,0.0,0.0,963.289,11107.0,11416.0
2014-07-01,0.0,0.0,0.0,1702.999,19636.0,20180.0
2014-08-01,0.0,0.0,0.0,1370.181,15799.0,16235.0
2014-09-01,0.0,0.0,0.0,1612.069,18588.0,19101.0
2014-10-01,0.0,0.0,0.0,2131.008,24571.0,25251.0
2014-11-01,0.0,0.0,0.0,1557.611,17960.0,18459.0
2014-12-01,0.0,0.0,0.0,2026.087,23362.0,24009.0
2015-01-01,0.0,0.0,0.0,2198.19,25266.0,26270.0
2015-02-01,0.0,0.0,0.0,1938.635,22283.0,23162.0
2015-03-01,0.0,0.0,0.0,1950.214,22416.0,23302.0
2015-04-01,0.0,0.0,0.0,2019.714,23214.0,24135.0
2015-05-01,0.0,0.0,0.0,1623.176,18657.0,19394.0
2015-06-01,0.0,0.0,0.0,1617.133,18587.0,19324.0
2015-07-01,0.0,0.0,0.0,1680.491,19315.0,20078.0
2015-08-01,0.0,0.0,0.0,1907.889,21929.0,22795.0
2015-09-01,0.0,0.0,0.0,1718.288,19750.0,20529.0
2015-10-01,0.0,0.0,0.0,1965.837,22595.0,23488.0
2015-11-01,0.0,0.0,0.0,1374.545,15799.0,16426.0
2015-12-01,0.0,0.0,0.0,1321.888,15194.0,15794.0
2016-01-01,0.0,0.0,0.0,1429.964,13799.0,17390.0
2016-02-01,0.0,0.0,0.0,1586.895,15313.0,19293.0
2016-03-01,0.0,0.0,0.0,1501.754,14492.0,18258.0
2016-04-01,0.0,0.0,0.0,1229.85,11868.0,14955.0
2016-05-01,0.0,0.0,0.0,1121.847,10826.0,13638.0
2016-06-01,0.0,0.0,0.0,1128.452,10889.0,13721.0
2016-07-01,0.0,0.0,0.0,944.004,9109.0,11476.0
2016-08-01,0.0,0.0,0.0,1237.191,11939.0,15043.0
2016-09-01,0.0,0.0,0.0,1260.62,12165.0,15329.0
2016-10-01,0.0,0.0,0.0,1447.617,13969.0,17602.0
2016-11-01,0.0,0.0,0.0,2020.044,19493.0,24560.0
