measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2012-01-01,5946.324,70425.0,392355.0,3148.678,37291.0,207758.0
2012-02-01,4398.961,52099.0,323589.0,2595.865,30744.0,190952.0
2012-03-01,7365.139,87229.0,484237.0,3548.67,42029.0,233315.0
2012-04-01,0.0,0.0,235527.0,0.0,0.0,136714.0
2012-05-01,0.0,0.0,467929.0,0.0,0.0,163914.0
2012-06-01,0.0,0.0,439145.0,0.0,0.0,161921.0
2012-07-01,0.0,0.0,472308.0,0.0,0.0,161433.0
2012-08-01,7126.321,84401.0,433934.0,3299.656,39080.0,200922.0
2012-09-01,6983.695,82712.0,442669.0,3097.535,36686.0,196341.0
2012-10-01,6105.543,72311.0,421070.0,3001.943,35554.0,207030.0
2012-11-01,6530.411,77343.0,440776.0,3068.748,36345.0,207128.0
2012-12-01,5249.926,62178.0,467153.0,2509.298,29719.0,223285.0
2013-01-01,6846.42,81086.0,465169.0,3193.516,37822.0,216978.0
2013-02-01,3039.789,36002.0,354254.0,1505.311,17828.0,175427.0
2013-03-01,7257.451,85954.0,477099.0,3489.266,41325.0,229382.0
2013-04-01,0.0,0.0,281713.0,0.0,0.0,149271.0
2013-05-01,0.0,0.0,483450.0,0.0,0.0,181635.0
2013-06-01,0.0,0.0,480060.0,0.0,0.0,153239.0
2013-07-01,2008.435,23787.0,512696.0,684.246,8104.0,174668.0
2013-08-01,2716.875,32177.0,509499.0,1011.97,11985.0,189776.0
2013-09-01,2023.021,23960.0,409031.0,873.244,10342.0,176560.0
2013-10-01,2423.696,28705.0,425449.0,1123.652,13308.0,197243.0
2013-11-01,2669.622,31618.0,462672.0,1167.737,13830.0,202381.0
2013-12-01,2685.188,31802.0,445413.0,1265.486,14988.0,209916.0
2014-01-01,2218.324,26273.0,415377.0,1174.416,13909.0,219907.0
2014-02-01,1664.707,19716.0,400450.0,799.423,9468.0,192303.0
2014-03-01,1192.084,14118.0,460036.0,523.972,6206.0,202206.0
2014-04-01,0.0,0.0,343928.0,0.0,0.0,183926.0
2014-05-01,0.0,0.0,458278.0,0.0,0.0,198080.0
2014-06-01,0.0,0.0,443058.0,0.0,0.0,174230.0
2014-07-01,0.0,0.0,443610.0,0.0,0.0,161442.0
2014-08-01,2826.094,33471.0,480022.0,1111.136,13160.0,188730.0
2014-09-01,2913.646,34508.0,454313.0,1256.937,14887.0,195989.0
2014-10-01,2924.996,34642.0,452578.0,1427.084,16902.0,220809.0
2014-11-01,1694.839,20073.0,404066.0,824.028,9759.0,196457.0
2014-12-01,2969.579,35170.0,454797.0,1352.731,16021.0,207174.0
2015-01-01,1249.399,14797.0,310288.0,607.821,7199.0,150952.0
2015-02-01,1473.667,17453.0,353279.0,678.365,8034.0,162623.0
2015-03-01,0.0,0.0,272322.0,0.0,0.0,168903.0
2015-04-01,0.0,0.0,438968.0,0.0,0.0,173303.0
2015-05-01,2460.689,29143.0,424548.0,1175.007,13916.0,202726.0
2015-06-01,3274.508,38782.0,447609.0,1227.378,14536.0,167777.0
2015-07-01,4065.101,48145.0,460779.0,1729.349,20482.0,196022.0
2015-08-01,3108.446,36815.0,447857.0,1220.586,14456.0,175859.0
2015-09-01,4137.251,49000.0,459360.0,1421.926,16841.0,157877.0
2015-10-01,3707.63,43911.0,440625.0,1530.807,18130.0,181925.0
2015-11-01,3126.428,37028.0,422892.0,1393.704,16506.0,188517.0
2015-12-01,3463.911,41025.0,450730.0,1588.227,18810.0,206663.0
2016-01-01,1604.722,16290.0,427128.0,694.236,7048.0,184784.0
2016-02-01,0.0,0.0,311753.0,0.0,0.0,151916.0
2016-03-01,0.0,0.0,234276.0,0.0,0.0,130626.0
